id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-04-27 21:05:50.399864,,,,,,f,,question,1,1,time,12
2,2018-04-27 21:05:50.54966,,,,,,f,,question,1,2,multi-confusing,no
3,2018-04-27 21:05:50.720381,,,,,,f,,question,1,3,"",""
4,2018-04-27 21:05:50.854413,,,,,,f,,question,1,4,"",""
5,2018-04-27 21:51:59.942045,,,,,,f,,question,2,1,time,10
6,2018-04-27 21:51:59.991649,,,,,,f,,question,2,2,multi-confusing,That seemed real difficult. Because the things switched I didn't have much to base off my selection so it was kind of random. Took me a bit towards the end to decide how I wantd to do it. Sorry if my data is so screwy. Wasn't sure if my selections had some kind of meaning behind it.
7,2018-04-27 21:52:00.059749,,,,,,f,,question,2,3,"",""
8,2018-04-27 21:52:00.162624,,,,,,f,,question,2,4,"",""
9,2018-04-27 22:06:58.14082,,,,,,f,,question,3,1,time,5
10,2018-04-27 22:06:58.266934,,,,,,f,,question,3,2,multi-confusing,Not at all.
11,2018-04-27 22:06:58.343595,,,,,,f,,question,3,3,"",""
12,2018-04-27 22:06:58.414678,,,,,,f,,question,3,4,"",""
13,2018-04-27 22:55:50.989314,,,,,,f,,question,6,1,time,12
14,2018-04-27 22:55:51.398993,,,,,,f,,question,6,2,multi-confusing,Nothing
15,2018-04-27 22:55:51.771677,,,,,,f,,question,6,3,"",""
16,2018-04-27 22:55:52.120921,,,,,,f,,question,6,4,"",""
17,2018-04-27 23:02:02.519923,,,,,,f,,question,7,1,time,10
18,2018-04-27 23:02:02.657523,,,,,,f,,question,7,2,multi-confusing,I do not think so
19,2018-04-27 23:02:02.785255,,,,,,f,,question,7,3,"",""
20,2018-04-27 23:02:02.914053,,,,,,f,,question,7,4,"",""
21,2018-04-28 00:22:00.508266,,,,,,f,,question,8,1,time,12
22,2018-04-28 00:22:00.596472,,,,,,f,,question,8,2,multi-confusing,no
23,2018-04-28 00:22:00.694571,,,,,,f,,question,8,3,"",""
24,2018-04-28 00:22:00.779015,,,,,,f,,question,8,4,"",""
25,2018-04-28 00:28:51.923148,,,,,,f,,question,9,1,time,5
26,2018-04-28 00:28:52.062972,,,,,,f,,question,9,2,multi-confusing,No.
27,2018-04-28 00:28:52.133337,,,,,,f,,question,9,3,"",""
28,2018-04-28 00:28:52.206665,,,,,,f,,question,9,4,"",""
29,2018-04-28 00:48:05.173422,,,,,,f,,question,10,1,time,7
30,2018-04-28 00:48:05.225247,,,,,,f,,question,10,2,multi-confusing,It was hard being the first person to create a ship. While it made the experiment go faster because I had less data to analyze from other ships it also made it much harder to score points because I didn't have any other data about what parts were good and what were bad
31,2018-04-28 00:48:05.268115,,,,,,f,,question,10,3,"",""
32,2018-04-28 00:48:05.309526,,,,,,f,,question,10,4,"",""
33,2018-04-28 00:56:34.8255,,,,,,f,,question,12,1,time,5
34,2018-04-28 00:56:34.952317,,,,,,f,,question,12,2,multi-confusing,"I seemed to be playing alone, even though the experiment indicated otherwise."
35,2018-04-28 00:56:35.074513,,,,,,f,,question,12,3,"",""
36,2018-04-28 00:56:35.191701,,,,,,f,,question,12,4,"",""
37,2018-04-28 01:24:18.086613,,,,,,f,,question,13,1,time,0
38,2018-04-28 01:24:18.191368,,,,,,f,,question,13,2,multi-confusing,"No penalty for unused objects is what you stated, correct? Is there a penalty for using no objects at all?"
39,2018-04-28 01:24:18.285001,,,,,,f,,question,13,3,"",""
40,2018-04-28 01:24:18.392999,,,,,,f,,question,13,4,"",""
41,2018-04-28 02:03:42.412486,,,,,,f,,question,14,1,time,10
42,2018-04-28 02:03:42.498475,,,,,,f,,question,14,2,multi-confusing,Not at all! Thank you This was fun!
43,2018-04-28 02:03:42.57578,,,,,,f,,question,14,3,"",""
44,2018-04-28 02:03:42.663525,,,,,,f,,question,14,4,"",""
45,2018-04-28 04:01:27.583537,,,,,,f,,question,15,1,time,5
46,2018-04-28 04:01:27.663574,,,,,,f,,question,15,2,multi-confusing,I couldn't really understand which parts to use to win
47,2018-04-28 04:01:27.753071,,,,,,f,,question,15,3,"",""
48,2018-04-28 04:01:27.836233,,,,,,f,,question,15,4,"",""
49,2018-04-28 04:48:17.997325,,,,,,f,,question,16,1,time,5
50,2018-04-28 04:48:18.065751,,,,,,f,,question,16,2,multi-confusing,No
51,2018-04-28 04:48:18.136891,,,,,,f,,question,16,3,"",""
52,2018-04-28 04:48:18.198493,,,,,,f,,question,16,4,"",""
53,2018-04-28 05:05:42.166151,,,,,,f,,question,17,1,time,5
54,2018-04-28 05:05:42.313461,,,,,,f,,question,17,2,multi-confusing,No
55,2018-04-28 05:05:42.431646,,,,,,f,,question,17,3,"",""
56,2018-04-28 05:05:42.531579,,,,,,f,,question,17,4,"",""
57,2018-04-28 05:13:21.043633,,,,,,f,,question,18,1,time,0
58,2018-04-28 05:13:21.34762,,,,,,f,,question,18,2,multi-confusing,no
59,2018-04-28 05:13:21.697052,,,,,,f,,question,18,3,"",""
60,2018-04-28 05:13:21.995128,,,,,,f,,question,18,4,"",""
61,2018-04-28 05:25:29.80389,,,,,,f,,question,19,1,time,5
62,2018-04-28 05:25:30.329701,,,,,,f,,question,19,2,multi-confusing,None
63,2018-04-28 05:25:30.600886,,,,,,f,,question,19,3,"",""
64,2018-04-28 05:25:30.882636,,,,,,f,,question,19,4,"",""
65,2018-04-28 05:59:10.050439,,,,,,f,,question,20,1,time,10
66,2018-04-28 05:59:10.105093,,,,,,f,,question,20,2,multi-confusing,No
67,2018-04-28 05:59:10.165537,,,,,,f,,question,20,3,"",""
68,2018-04-28 05:59:10.224519,,,,,,f,,question,20,4,"",""
69,2018-04-28 06:05:40.964867,,,,,,f,,question,21,1,time,5
70,2018-04-28 06:05:41.043268,,,,,,f,,question,21,2,multi-confusing,Little bit
71,2018-04-28 06:05:41.107854,,,,,,f,,question,21,3,"",""
72,2018-04-28 06:05:41.173987,,,,,,f,,question,21,4,"",""
73,2018-04-28 06:15:20.000265,,,,,,f,,question,22,1,time,10
74,2018-04-28 06:15:20.15003,,,,,,f,,question,22,2,multi-confusing,not really it seemed pretty random as far as the outcome 
75,2018-04-28 06:15:20.298637,,,,,,f,,question,22,3,"",""
76,2018-04-28 06:15:20.425839,,,,,,f,,question,22,4,"",""
77,2018-04-28 06:31:47.335618,,,,,,f,,question,23,1,time,7
78,2018-04-28 06:31:47.688111,,,,,,f,,question,23,2,multi-confusing,"random is always confusing. since I was first, there wasn't even that hint of previous ship parts available. picking different parts each time with no history and no way to change gives me little choice to improve. other than that perfect"
79,2018-04-28 06:31:47.792803,,,,,,f,,question,23,3,"",""
80,2018-04-28 06:31:47.894553,,,,,,f,,question,23,4,"",""
81,2018-04-28 10:05:04.821176,,,,,,f,,question,24,1,time,5
82,2018-04-28 10:05:04.885334,,,,,,f,,question,24,2,multi-confusing,"No, I was not confused but curious."
83,2018-04-28 10:05:04.938963,,,,,,f,,question,24,3,"",""
84,2018-04-28 10:05:04.991771,,,,,,f,,question,24,4,"",""
85,2018-04-28 12:40:12.10848,,,,,,f,,question,25,1,time,12
86,2018-04-28 12:40:12.233005,,,,,,f,,question,25,2,multi-confusing,I didn't understand why we did four flights per round when we were not able to change our parts. 
94,2018-04-28 13:07:23.189103,,,,,,f,,question,28,2,multi-confusing,no
98,2018-04-28 13:38:34.53235,,,,,,f,,question,30,2,multi-confusing,no
107,2018-04-28 18:39:47.764396,,,,,,f,,question,32,3,"",""
87,2018-04-28 12:40:12.389645,,,,,,f,,question,25,3,"",""
88,2018-04-28 12:40:12.514891,,,,,,f,,question,25,4,"",""
100,2018-04-28 13:38:34.648056,,,,,,f,,question,30,4,"",""
105,2018-04-28 18:39:47.599072,,,,,,f,,question,32,1,time,12
106,2018-04-28 18:39:47.679615,,,,,,f,,question,32,2,multi-confusing,"Most of it, actually.  The only feedback I got was seeing whether I had a reasonably small number of failures as I proceeded through my 'flights'."
89,2018-04-28 12:56:06.315541,,,,,,f,,question,26,1,time,12
90,2018-04-28 12:56:06.411905,,,,,,f,,question,26,2,multi-confusing,no
95,2018-04-28 13:07:23.529168,,,,,,f,,question,28,3,"",""
91,2018-04-28 12:56:06.517897,,,,,,f,,question,26,3,"",""
92,2018-04-28 12:56:06.625152,,,,,,f,,question,26,4,"",""
102,2018-04-28 15:49:53.609295,,,,,,f,,question,31,2,multi-confusing,""
103,2018-04-28 15:49:53.643421,,,,,,f,,question,31,3,"",""
104,2018-04-28 15:49:53.67694,,,,,,f,,question,31,4,"",""
93,2018-04-28 13:07:22.849567,,,,,,f,,question,28,1,time,12
96,2018-04-28 13:07:23.839079,,,,,,f,,question,28,4,"",""
101,2018-04-28 15:49:53.573009,,,,,,f,,question,31,1,time,7
97,2018-04-28 13:38:34.467162,,,,,,f,,question,30,1,time,12
99,2018-04-28 13:38:34.589423,,,,,,f,,question,30,3,"",""
108,2018-04-28 18:39:47.845336,,,,,,f,,question,32,4,"",""
109,2018-04-28 19:52:23.071235,,,,,,f,,question,33,1,time,5
110,2018-04-28 19:52:23.279936,,,,,,f,,question,33,2,multi-confusing,No
111,2018-04-28 19:52:23.509897,,,,,,f,,question,33,3,"",""
112,2018-04-28 19:52:23.749018,,,,,,f,,question,33,4,"",""
113,2018-04-28 20:15:31.292612,,,,,,f,,question,34,1,time,12
114,2018-04-28 20:15:31.368226,,,,,,f,,question,34,2,multi-confusing,Not at all. 
115,2018-04-28 20:15:31.43885,,,,,,f,,question,34,3,"",""
116,2018-04-28 20:15:31.513679,,,,,,f,,question,34,4,"",""
117,2018-04-28 21:37:47.2423,,,,,,f,,question,35,1,time,5
118,2018-04-28 21:37:47.67241,,,,,,f,,question,35,2,multi-confusing,NO
119,2018-04-28 21:37:48.271971,,,,,,f,,question,35,3,"",""
120,2018-04-28 21:37:48.343837,,,,,,f,,question,35,4,"",""
121,2018-04-28 21:56:58.880395,,,,,,f,,question,36,1,time,5
122,2018-04-28 21:56:59.005604,,,,,,f,,question,36,2,multi-confusing,no
123,2018-04-28 21:56:59.122431,,,,,,f,,question,36,3,"",""
124,2018-04-28 21:56:59.255235,,,,,,f,,question,36,4,"",""
125,2018-04-28 22:27:55.894646,,,,,,f,,question,40,1,time,12
126,2018-04-28 22:27:55.985248,,,,,,f,,question,40,2,multi-confusing,No
127,2018-04-28 22:27:56.073701,,,,,,f,,question,40,3,"",""
128,2018-04-28 22:27:56.154623,,,,,,f,,question,40,4,"",""
129,2018-04-28 22:42:39.389915,,,,,,f,,question,42,1,time,12
130,2018-04-28 22:42:39.462587,,,,,,f,,question,42,2,multi-confusing,""
131,2018-04-28 22:42:39.556003,,,,,,f,,question,42,3,"",""
132,2018-04-28 22:42:39.627229,,,,,,f,,question,42,4,"",""
133,2018-04-29 00:54:08.194887,,,,,,f,,question,44,1,time,7
134,2018-04-29 00:54:08.330281,,,,,,f,,question,44,2,multi-confusing,I didn't find anything confusing but felt I did better when I randomly chose parts rather than go by parts that didn't work before.
135,2018-04-29 00:54:08.445282,,,,,,f,,question,44,3,"",""
136,2018-04-29 00:54:08.567778,,,,,,f,,question,44,4,"",""
137,2018-04-29 02:55:01.503215,,,,,,f,,question,45,1,time,15
138,2018-04-29 02:55:01.564979,,,,,,f,,question,45,2,multi-confusing,no
139,2018-04-29 02:55:01.63307,,,,,,f,,question,45,3,"",""
140,2018-04-29 02:55:01.701254,,,,,,f,,question,45,4,"",""
141,2018-04-29 05:08:09.283656,,,,,,f,,question,46,1,time,10
142,2018-04-29 05:08:09.408025,,,,,,f,,question,46,2,multi-confusing,A little. Wasn't sure if you used no parts each time how that would effect the outcome vs 1 or all? Was interesting either way =) Thank you!
143,2018-04-29 05:08:09.520818,,,,,,f,,question,46,3,"",""
144,2018-04-29 05:08:09.619876,,,,,,f,,question,46,4,"",""
145,2018-04-29 06:36:42.175726,,,,,,f,,question,47,1,time,15
146,2018-04-29 06:36:42.42046,,,,,,f,,question,47,2,multi-confusing,Nothing. The instructions were easy to follow.
