id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-03-13 06:02:27.976023,,,,,,f,,question,1,1,time,0
2,2018-03-13 06:02:28.144614,,,,,,f,,question,1,2,multi-confusing,"Yes, I was not sure if I could/should select all the parts, or whether the type of parts put in the ship mattered. As I didn't play with others, I think I felt like the game wasn't exactly a game."
3,2018-03-13 06:02:28.2382,,,,,,f,,question,1,3,"",""
4,2018-03-13 06:02:28.356898,,,,,,f,,question,1,4,"",""
5,2018-03-13 07:40:46.85494,,,,,,f,,question,3,1,time,7
6,2018-03-13 07:40:46.953078,,,,,,f,,question,3,2,multi-confusing,No
7,2018-03-13 07:40:47.051273,,,,,,f,,question,3,3,"",""
8,2018-03-13 07:40:47.146308,,,,,,f,,question,3,4,"",""
9,2018-03-13 07:54:33.071492,,,,,,f,,question,4,1,time,5
10,2018-03-13 07:54:33.232021,,,,,,f,,question,4,2,multi-confusing,It wasn't clear what (if any) strategy there was for this
11,2018-03-13 07:54:33.331435,,,,,,f,,question,4,3,"",""
12,2018-03-13 07:54:33.416552,,,,,,f,,question,4,4,"",""
13,2018-03-13 08:06:21.701664,,,,,,f,,question,5,1,time,5
14,2018-03-13 08:06:21.790279,,,,,,f,,question,5,2,multi-confusing,No.
15,2018-03-13 08:06:21.876661,,,,,,f,,question,5,3,"",""
16,2018-03-13 08:06:21.974966,,,,,,f,,question,5,4,"",""
17,2018-03-13 08:15:56.727845,,,,,,f,,question,6,1,time,10
18,2018-03-13 08:15:57.597872,,,,,,f,,question,6,2,multi-confusing,No
19,2018-03-13 08:15:58.483223,,,,,,f,,question,6,3,"",""
20,2018-03-13 08:15:59.355029,,,,,,f,,question,6,4,"",""
21,2018-03-13 08:16:01.083572,,,,,,f,,question,6,1,time,10
22,2018-03-13 08:16:02.483244,,,,,,f,,question,6,2,multi-confusing,No
23,2018-03-13 08:27:49.622918,,,,,,f,,question,7,1,time,10
