id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-01-19 11:59:33.193688,,,,,,f,,3A9AA95ATXF0O3BF03JPZZQB6J1P5Z,AssignmentAccepted
2,2018-01-19 12:12:40.344427,,,,,,f,,3A9AA95ATXF0O3BF03JPZZQB6J1P5Z,AssignmentReturned
3,2018-01-19 12:13:13.131912,,,,,,f,,39PAAFCODNTFEPJ1NBAM87L78AOVTH,AssignmentAccepted
4,2018-01-19 12:24:56.722791,,,,,,f,,39PAAFCODNTFEPJ1NBAM87L78AOVTH,AssignmentSubmitted
5,2018-01-19 12:25:12.231011,,,,,,f,,3TXWC2NHN0JG2ITJVA006K0OFZS9SR,AssignmentAccepted
6,2018-01-19 12:34:44.56693,,,,,,f,,3TXWC2NHN0JG2ITJVA006K0OFZS9SR,AssignmentSubmitted
7,2018-01-19 12:35:02.459536,,,,,,f,,3L2IS5HSFBBH6XPHLPE53MDW5LUNUK,AssignmentAccepted
8,2018-01-19 12:42:37.292022,,,,,,f,,3L2IS5HSFBBH6XPHLPE53MDW5LUNUK,AssignmentSubmitted
9,2018-01-19 12:42:43.003119,,,,,,f,,3X4JMASXCN2ZP2O4KSVCNKPV87DB0H,AssignmentAccepted
10,2018-01-19 13:02:09.578738,,,,,,f,,3X4JMASXCN2ZP2O4KSVCNKPV87DB0H,AssignmentSubmitted
11,2018-01-19 13:02:19.84783,,,,,,f,,3KMS4QQVK3JRF97OTNRQPUVP13BFK9,AssignmentAccepted
12,2018-01-19 13:34:26.243377,,,,,,f,,3KMS4QQVK3JRF97OTNRQPUVP13BFK9,AssignmentSubmitted
13,2018-01-19 13:34:39.275089,,,,,,f,,3TVSS0C0E2TSTEJ6DLFIU94LFJTWTV,AssignmentAccepted
14,2018-01-19 13:45:11.291704,,,,,,f,,3TVSS0C0E2TSTEJ6DLFIU94LFJTWTV,AssignmentSubmitted
15,2018-01-19 13:45:20.263249,,,,,,f,,3UNH76FOCTYS5OOMJPWUTSU9WJXYMV,AssignmentAccepted
16,2018-01-19 14:16:05.276988,,,,,,f,,3UNH76FOCTYS5OOMJPWUTSU9WJXYMV,AssignmentReturned
17,2018-01-19 14:16:43.471061,,,,,,f,,32SCWG5HIIXW77BT5MTUR54B2EH6P1,AssignmentAccepted
18,2018-01-19 15:00:52.131783,,,,,,f,,32SCWG5HIIXW77BT5MTUR54B2EH6P1,AssignmentSubmitted
19,2018-01-19 15:01:04.26026,,,,,,f,,3BWI6RSP7H2BEG08FIIB3753JI17EI,AssignmentAccepted
20,2018-01-19 15:23:46.335232,,,,,,f,,3BWI6RSP7H2BEG08FIIB3753JI17EI,AssignmentSubmitted
21,2018-01-19 15:23:57.09602,,,,,,f,,3PZDLQMM0UEPVHJODFVLHSOSNQ32C5,AssignmentAccepted
22,2018-01-19 15:39:44.097032,,,,,,f,,3PZDLQMM0UEPVHJODFVLHSOSNQ32C5,AssignmentSubmitted
23,2018-01-19 15:39:52.986467,,,,,,f,,3IAS3U3I0G96LCRIZFZQ68IA5542BZ,AssignmentAccepted
24,2018-01-19 16:05:58.815071,,,,,,f,,3IAS3U3I0G96LCRIZFZQ68IA5542BZ,AssignmentSubmitted
25,2018-01-19 16:06:18.146109,,,,,,f,,3QEMNNSB2YS6MAM8JN7RXPNIJ647DT,AssignmentAccepted
26,2018-01-19 17:00:31.380244,,,,,,f,,3QEMNNSB2YS6MAM8JN7RXPNIJ647DT,AssignmentSubmitted
27,2018-01-19 17:00:46.676416,,,,,,f,,3N4BPTXIO9LGYR4EOCMPBUWSBQ2KUP,AssignmentAccepted
28,2018-01-19 17:12:54.255255,,,,,,f,,3N4BPTXIO9LGYR4EOCMPBUWSBQ2KUP,AssignmentSubmitted
29,2018-01-19 17:12:58.609162,,,,,,f,,3QL2OFSM97BLK38HZYT59GRQYL1NCO,AssignmentAccepted
30,2018-01-19 17:45:54.167999,,,,,,f,,3QL2OFSM97BLK38HZYT59GRQYL1NCO,AssignmentReturned
31,2018-01-19 17:45:55.026864,,,,,,f,,3QL2OFSM97BLK38HZYT59GRQYL1NCO,AssignmentAccepted
32,2018-01-19 18:37:51.735361,,,,,,f,,3QL2OFSM97BLK38HZYT59GRQYL1NCO,AssignmentSubmitted
33,2018-01-19 18:38:07.03353,,,,,,f,,3ITXP059PXC58U6SHMRDVEERB4PSJQ,AssignmentAccepted
34,2018-01-19 19:38:32.103158,,,,,,f,,3ITXP059PXC58U6SHMRDVEERB4PSJQ,AssignmentAbandoned
35,2018-01-19 19:38:50.648852,,,,,,f,,3JC6VJ2SACCT1Z5DBK1S941G7XRA5U,AssignmentAccepted
36,2018-01-19 19:53:36.362338,,,,,,f,,3JC6VJ2SACCT1Z5DBK1S941G7XRA5U,AssignmentSubmitted
37,2018-01-19 19:53:50.76715,,,,,,f,,3OXV7EAXLFJP0I667OWNE21AXIB63B,AssignmentAccepted
38,2018-01-19 19:58:56.721917,,,,,,f,,3OXV7EAXLFJP0I667OWNE21AXIB63B,AssignmentSubmitted
39,2018-01-19 19:59:00.042248,,,,,,f,,3FE2ERCCZY1MWDHX5IFO85Q2NEXOPU,AssignmentAccepted
40,2018-01-19 20:05:35.431269,,,,,,f,,3FE2ERCCZY1MWDHX5IFO85Q2NEXOPU,AssignmentSubmitted
