id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-01-19 12:12:19.290722,,,,,,f,,participant,1,3A9AA95ATXF0O3BF03JPZZQB6J1P5Z,1:3A9AA95ATXF0O3BF03JPZZQB6J1P5Z,3H4IKZHALBB1ON7EYMXH17PHZNANNL,live,2018-01-19 12:12:40.3529,,,returned
2,2018-01-19 12:17:54.985985,,,,,,f,,participant,2,39PAAFCODNTFEPJ1NBAM87L78AOVTH,2:39PAAFCODNTFEPJ1NBAM87L78AOVTH,3H4IKZHALBB1ON7EYMXH17PHZNANNL,live,2018-01-19 12:24:56.730478,1,0,approved
11,2018-01-19 15:18:49.329671,,,,,,f,,participant,11,3BWI6RSP7H2BEG08FIIB3753JI17EI,11:3BWI6RSP7H2BEG08FIIB3753JI17EI,3XDJY5RK5SESX5HHDIU7GTBBG29U4Q,live,2018-01-19 15:23:46.34368,1,0,approved
3,2018-01-19 12:31:47.018715,,,,,,f,,participant,3,3TXWC2NHN0JG2ITJVA006K0OFZS9SR,3:3TXWC2NHN0JG2ITJVA006K0OFZS9SR,3YLPJ8OXX86KE9BCIN5U00AFAKQ4XS,live,2018-01-19 12:34:44.574696,1,0,approved
4,2018-01-19 12:39:32.940943,,,,,,f,,participant,4,3L2IS5HSFBBH6XPHLPE53MDW5LUNUK,4:3L2IS5HSFBBH6XPHLPE53MDW5LUNUK,3G3AJKPCXLL9EE1MNJRWJEHOCQJY4R,live,2018-01-19 12:42:37.299192,1,0,approved
5,2018-01-19 12:53:17.683926,,,,,,f,,participant,5,3X4JMASXCN2ZP2O4KSVCNKPV87DB0H,5:3X4JMASXCN2ZP2O4KSVCNKPV87DB0H,3VJ4PFXFJ307ZUXYMJ4YTWXB8C5AUH,live,2018-01-19 13:02:09.645904,1,0,approved
7,2018-01-19 13:29:08.23096,,,,,,f,,participant,7,3KMS4QQVK3JRF97OTNRQPUVP13BFK9,7:3KMS4QQVK3JRF97OTNRQPUVP13BFK9,3X0EMNLXEPIEZDS0GSW0FDOPL5DVP6,live,2018-01-19 13:34:26.253852,1,0,approved
12,2018-01-19 15:25:45.843212,,,,,,f,,participant,12,3PZDLQMM0UEPVHJODFVLHSOSNQ32C5,12:3PZDLQMM0UEPVHJODFVLHSOSNQ32C5,3RWSQDNYL9FDC3HG2AVRLX7ZV53FF0,live,2018-01-19 15:39:44.104776,1,0,approved
8,2018-01-19 13:41:53.769093,,,,,,f,,participant,8,3TVSS0C0E2TSTEJ6DLFIU94LFJTWTV,8:3TVSS0C0E2TSTEJ6DLFIU94LFJTWTV,388FBO7JZRMV0MBS5O6SINNO37EYNM,live,2018-01-19 13:45:11.299479,1,0,approved
9,2018-01-19 14:12:30.653802,,,,,,f,,participant,9,3UNH76FOCTYS5OOMJPWUTSU9WJXYMV,9:3UNH76FOCTYS5OOMJPWUTSU9WJXYMV,3BS6ERDL930KVQA9ABXX3RR1QTK6DD,live,2018-01-19 14:16:05.339811,,,returned
10,2018-01-19 14:52:50.35482,,,,,,f,,participant,10,32SCWG5HIIXW77BT5MTUR54B2EH6P1,10:32SCWG5HIIXW77BT5MTUR54B2EH6P1,3BS6ERDL930KVQA9ABXX3RR1QTK6DD,live,2018-01-19 15:00:52.215272,1,0,approved
13,2018-01-19 15:55:58.909578,,,,,,f,,participant,13,3IAS3U3I0G96LCRIZFZQ68IA5542BZ,13:3IAS3U3I0G96LCRIZFZQ68IA5542BZ,3ZTE0JGGCEL0F4AZABOG0LVAQT3OCL,live,2018-01-19 16:05:58.823832,1,0,approved
19,2018-01-19 19:46:51.622825,,,,,,f,,participant,19,3JC6VJ2SACCT1Z5DBK1S941G7XRA5U,19:3JC6VJ2SACCT1Z5DBK1S941G7XRA5U,3KVQ0UJWPXENLSAMMNSI392M1EHW5Y,live,2018-01-19 19:53:36.371523,1,0,approved
14,2018-01-19 16:50:09.848313,,,,,,f,,participant,14,3QEMNNSB2YS6MAM8JN7RXPNIJ647DT,14:3QEMNNSB2YS6MAM8JN7RXPNIJ647DT,3IZPORCT1F2UTPDVOVJL57XVE8SHRW,live,2018-01-19 17:00:31.388676,1,0,approved
15,2018-01-19 17:04:21.56542,,,,,,f,,participant,15,3N4BPTXIO9LGYR4EOCMPBUWSBQ2KUP,15:3N4BPTXIO9LGYR4EOCMPBUWSBQ2KUP,3PUV2Q8SV4XQ12R462E5E7DT4UXBD5,live,2018-01-19 17:12:54.262691,1,0,approved
18,2018-01-19 18:25:59.650782,,,,,,f,,participant,18,3QL2OFSM97BLK38HZYT59GRQYL1NCO,18:3QL2OFSM97BLK38HZYT59GRQYL1NCO,3KA7IJSNW6YZQZUUBB50E1UIID0BPJ,live,2018-01-19 18:37:51.743353,1,0,approved
21,2018-01-19 19:55:05.413143,,,,,,f,,participant,21,3OXV7EAXLFJP0I667OWNE21AXIB63B,21:3OXV7EAXLFJP0I667OWNE21AXIB63B,338GLSUI434MG8M28UVQSWQEKV0FSM,live,2018-01-19 19:58:56.733172,1,0,approved
22,2018-01-19 20:00:30.411156,,,,,,f,,participant,22,3FE2ERCCZY1MWDHX5IFO85Q2NEXOPU,22:3FE2ERCCZY1MWDHX5IFO85Q2NEXOPU,32XN26MTXZC8FRCML3F4D3PFMZ3L0A,live,2018-01-19 20:05:35.439175,1,0,approved
