id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-19 12:24:47.108523,,,,,,f,,question,2,1,time,10
2,2018-01-19 12:24:47.566438,,,,,,f,,question,2,2,multi-confusing,no
3,2018-01-19 12:24:48.059343,,,,,,f,,question,2,3,"",""
4,2018-01-19 12:24:48.126539,,,,,,f,,question,2,4,"",""
5,2018-01-19 12:34:30.48927,,,,,,f,,question,3,1,time,7
6,2018-01-19 12:34:30.575887,,,,,,f,,question,3,2,multi-confusing,no
7,2018-01-19 12:34:30.648187,,,,,,f,,question,3,3,"",""
8,2018-01-19 12:34:30.972739,,,,,,f,,question,3,4,"",""
9,2018-01-19 12:42:23.260747,,,,,,f,,question,4,1,time,3
10,2018-01-19 12:42:23.369775,,,,,,f,,question,4,2,multi-confusing,No.
11,2018-01-19 12:42:23.49081,,,,,,f,,question,4,3,"",""
12,2018-01-19 12:42:23.610758,,,,,,f,,question,4,4,"",""
13,2018-01-19 13:01:42.239559,,,,,,f,,question,5,1,time,7
14,2018-01-19 13:01:42.349437,,,,,,f,,question,5,2,multi-confusing,""
15,2018-01-19 13:01:42.445546,,,,,,f,,question,5,3,"",""
16,2018-01-19 13:01:42.586963,,,,,,f,,question,5,4,"",""
17,2018-01-19 13:34:04.254648,,,,,,f,,question,7,1,time,12
18,2018-01-19 13:34:04.368248,,,,,,f,,question,7,2,multi-confusing,No but at first it would not load and I received an error code which I was about to use to email you.
19,2018-01-19 13:34:04.480405,,,,,,f,,question,7,3,"",""
20,2018-01-19 13:34:04.520896,,,,,,f,,question,7,4,"",""
21,2018-01-19 13:44:59.470041,,,,,,f,,question,8,1,time,7
22,2018-01-19 13:44:59.619335,,,,,,f,,question,8,2,multi-confusing,nope
23,2018-01-19 13:44:59.922213,,,,,,f,,question,8,3,"",""
24,2018-01-19 13:44:59.989504,,,,,,f,,question,8,4,"",""
25,2018-01-19 15:00:33.500113,,,,,,f,,question,10,1,time,10
26,2018-01-19 15:00:33.572198,,,,,,f,,question,10,2,multi-confusing,I don't know why some would never fail for the other participants but fail every time for me.
27,2018-01-19 15:00:33.629398,,,,,,f,,question,10,3,"",""
28,2018-01-19 15:00:33.692221,,,,,,f,,question,10,4,"",""
29,2018-01-19 15:23:34.632987,,,,,,f,,question,11,1,time,12
30,2018-01-19 15:23:34.752972,,,,,,f,,question,11,2,multi-confusing,no
31,2018-01-19 15:23:34.823105,,,,,,f,,question,11,3,"",""
32,2018-01-19 15:23:34.877635,,,,,,f,,question,11,4,"",""
33,2018-01-19 15:39:29.337466,,,,,,f,,question,12,1,time,12
34,2018-01-19 15:39:29.467474,,,,,,f,,question,12,2,multi-confusing,in each game I had to keep all the same tools for each flight
35,2018-01-19 15:39:29.559299,,,,,,f,,question,12,3,"",""
36,2018-01-19 15:39:29.651215,,,,,,f,,question,12,4,"",""
37,2018-01-19 16:05:45.008226,,,,,,f,,question,13,1,time,12
38,2018-01-19 16:05:45.113948,,,,,,f,,question,13,2,multi-confusing,No
39,2018-01-19 16:05:45.235772,,,,,,f,,question,13,3,"",""
40,2018-01-19 16:05:45.332037,,,,,,f,,question,13,4,"",""
41,2018-01-19 17:00:02.21671,,,,,,f,,question,14,1,time,12
42,2018-01-19 17:00:02.299647,,,,,,f,,question,14,2,multi-confusing,No
43,2018-01-19 17:00:02.37867,,,,,,f,,question,14,3,"",""
44,2018-01-19 17:00:02.491323,,,,,,f,,question,14,4,"",""
45,2018-01-19 17:12:38.429455,,,,,,f,,question,15,1,time,10
46,2018-01-19 17:12:38.506316,,,,,,f,,question,15,2,multi-confusing,""
47,2018-01-19 17:12:38.603431,,,,,,f,,question,15,3,"",""
48,2018-01-19 17:12:38.694424,,,,,,f,,question,15,4,"",""
49,2018-01-19 18:37:42.564893,,,,,,f,,question,18,1,time,12
50,2018-01-19 18:37:42.766424,,,,,,f,,question,18,2,multi-confusing,The instructions were not as clarifying as the game itself.
51,2018-01-19 18:37:42.870773,,,,,,f,,question,18,3,"",""
52,2018-01-19 18:37:42.963112,,,,,,f,,question,18,4,"",""
53,2018-01-19 19:53:28.841822,,,,,,f,,question,19,1,time,10
54,2018-01-19 19:53:28.91246,,,,,,f,,question,19,2,multi-confusing,No
55,2018-01-19 19:53:29.0138,,,,,,f,,question,19,3,"",""
56,2018-01-19 19:53:29.090011,,,,,,f,,question,19,4,"",""
57,2018-01-19 19:58:49.59154,,,,,,f,,question,21,1,time,5
58,2018-01-19 19:58:49.681431,,,,,,f,,question,21,2,multi-confusing,No
59,2018-01-19 19:58:49.767378,,,,,,f,,question,21,3,"",""
60,2018-01-19 19:58:49.860293,,,,,,f,,question,21,4,"",""
61,2018-01-19 20:05:01.714278,,,,,,f,,question,22,1,time,5
62,2018-01-19 20:05:01.826858,,,,,,f,,question,22,2,multi-confusing,no.
63,2018-01-19 20:05:01.935143,,,,,,f,,question,22,3,"",""
64,2018-01-19 20:05:02.066436,,,,,,f,,question,22,4,"",""
