id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-01-19 12:18:27.994935,,,,,,f,,1,1,1,9,1,2018-01-19 12:18:28.042007,received
2,2018-01-19 12:18:28.030435,,,,,,f,,1,2,1,9,1,2018-01-19 12:18:28.042049,received
3,2018-01-19 12:19:11.918176,,,,,,f,,2,4,2,10,2,2018-01-19 12:19:11.948395,received
4,2018-01-19 12:19:11.943019,,,,,,f,,2,5,2,10,2,2018-01-19 12:19:11.94845,received
5,2018-01-19 12:19:30.946607,,,,,,f,,3,7,3,11,3,2018-01-19 12:19:30.974761,received
6,2018-01-19 12:19:30.969272,,,,,,f,,3,8,3,11,3,2018-01-19 12:19:30.974792,received
7,2018-01-19 12:19:49.893629,,,,,,f,,4,10,4,12,4,2018-01-19 12:19:49.930016,received
8,2018-01-19 12:19:49.922995,,,,,,f,,4,11,4,12,4,2018-01-19 12:19:49.930063,received
9,2018-01-19 12:20:03.784686,,,,,,f,,5,13,6,13,6,2018-01-19 12:20:03.827084,received
10,2018-01-19 12:20:03.818742,,,,,,f,,5,14,6,13,6,2018-01-19 12:20:03.827192,received
11,2018-01-19 12:20:28.910917,,,,,,f,,6,16,5,14,5,2018-01-19 12:20:28.955266,received
12,2018-01-19 12:20:28.946529,,,,,,f,,6,17,5,14,5,2018-01-19 12:20:28.955328,received
13,2018-01-19 12:20:46.720115,,,,,,f,,7,19,7,15,7,2018-01-19 12:20:46.749514,received
14,2018-01-19 12:20:46.744897,,,,,,f,,7,20,7,15,7,2018-01-19 12:20:46.749548,received
15,2018-01-19 12:24:23.41902,,,,,,f,,8,22,8,16,8,2018-01-19 12:24:23.450085,received
16,2018-01-19 12:24:23.445003,,,,,,f,,8,23,8,16,8,2018-01-19 12:24:23.450114,received
19,2018-01-19 12:31:54.654819,,,,,,f,,1,26,1,9,1,,pending
17,2018-01-19 12:31:54.630722,,,,,,f,,9,25,1,17,1,2018-01-19 12:31:54.659201,received
18,2018-01-19 12:31:54.65326,,,,,,f,,9,26,1,17,1,2018-01-19 12:31:54.659249,received
22,2018-01-19 12:32:47.010722,,,,,,f,,2,29,2,10,2,,pending
20,2018-01-19 12:32:46.943132,,,,,,f,,10,28,2,18,2,2018-01-19 12:32:47.020504,received
21,2018-01-19 12:32:47.006669,,,,,,f,,10,29,2,18,2,2018-01-19 12:32:47.020621,received
24,2018-01-19 12:33:11.94907,,,,,,f,,3,32,3,11,3,,pending
23,2018-01-19 12:33:11.921782,,,,,,f,,11,31,3,19,3,2018-01-19 12:33:11.95562,received
25,2018-01-19 12:33:11.950968,,,,,,f,,11,32,3,19,3,2018-01-19 12:33:11.955659,received
27,2018-01-19 12:33:29.338486,,,,,,f,,4,35,4,12,4,,pending
26,2018-01-19 12:33:29.316144,,,,,,f,,12,34,4,20,4,2018-01-19 12:33:29.344565,received
28,2018-01-19 12:33:29.340138,,,,,,f,,12,35,4,20,4,2018-01-19 12:33:29.344606,received
30,2018-01-19 12:33:40.71102,,,,,,f,,7,38,7,15,7,,pending
29,2018-01-19 12:33:40.690382,,,,,,f,,13,37,7,21,7,2018-01-19 12:33:40.716669,received
31,2018-01-19 12:33:40.71252,,,,,,f,,13,38,7,21,7,2018-01-19 12:33:40.7167,received
34,2018-01-19 12:33:50.415091,,,,,,f,,6,41,5,14,5,,pending
32,2018-01-19 12:33:50.368567,,,,,,f,,14,40,5,22,5,2018-01-19 12:33:50.429951,received
33,2018-01-19 12:33:50.408698,,,,,,f,,14,41,5,22,5,2018-01-19 12:33:50.430018,received
36,2018-01-19 12:33:59.49457,,,,,,f,,8,44,8,16,8,,pending
35,2018-01-19 12:33:59.473376,,,,,,f,,15,43,8,23,8,2018-01-19 12:33:59.500446,received
37,2018-01-19 12:33:59.496108,,,,,,f,,15,44,8,23,8,2018-01-19 12:33:59.500476,received
39,2018-01-19 12:34:09.288662,,,,,,f,,5,47,6,13,6,,pending
38,2018-01-19 12:34:09.261709,,,,,,f,,16,46,6,24,6,2018-01-19 12:34:09.29512,received
40,2018-01-19 12:34:09.290198,,,,,,f,,16,47,6,24,6,2018-01-19 12:34:09.295151,received
42,2018-01-19 12:40:12.002616,,,,,,f,,1,50,1,9,1,,pending
43,2018-01-19 12:40:12.004513,,,,,,f,,9,50,1,17,1,,pending
41,2018-01-19 12:40:11.967188,,,,,,f,,17,49,1,25,1,2018-01-19 12:40:12.018099,received
44,2018-01-19 12:40:12.009284,,,,,,f,,17,50,1,25,1,2018-01-19 12:40:12.018156,received
46,2018-01-19 12:40:56.817858,,,,,,f,,10,53,2,18,2,,pending
47,2018-01-19 12:40:56.819896,,,,,,f,,2,53,2,10,2,,pending
45,2018-01-19 12:40:56.780765,,,,,,f,,18,52,2,26,2,2018-01-19 12:40:56.841707,received
48,2018-01-19 12:40:56.825288,,,,,,f,,18,53,2,26,2,2018-01-19 12:40:56.841772,received
51,2018-01-19 12:41:09.287864,,,,,,f,,3,56,3,11,3,,pending
52,2018-01-19 12:41:09.289367,,,,,,f,,11,56,3,19,3,,pending
49,2018-01-19 12:41:09.264038,,,,,,f,,19,55,3,27,3,2018-01-19 12:41:09.293825,received
50,2018-01-19 12:41:09.286378,,,,,,f,,19,56,3,27,3,2018-01-19 12:41:09.293853,received
54,2018-01-19 12:41:19.597927,,,,,,f,,12,59,4,20,4,,pending
55,2018-01-19 12:41:19.599605,,,,,,f,,4,59,4,12,4,,pending
53,2018-01-19 12:41:19.572127,,,,,,f,,20,58,4,28,4,2018-01-19 12:41:19.606627,received
56,2018-01-19 12:41:19.601393,,,,,,f,,20,59,4,28,4,2018-01-19 12:41:19.606658,received
59,2018-01-19 12:41:28.992903,,,,,,f,,8,62,8,16,8,,pending
60,2018-01-19 12:41:28.994707,,,,,,f,,15,62,8,23,8,,pending
57,2018-01-19 12:41:28.960057,,,,,,f,,21,61,8,29,8,2018-01-19 12:41:29.000946,received
58,2018-01-19 12:41:28.990994,,,,,,f,,21,62,8,29,8,2018-01-19 12:41:29.000999,received
62,2018-01-19 12:41:38.967619,,,,,,f,,13,65,7,21,7,,pending
63,2018-01-19 12:41:38.969909,,,,,,f,,7,65,7,15,7,,pending
61,2018-01-19 12:41:38.931819,,,,,,f,,22,64,7,30,7,2018-01-19 12:41:38.978719,received
64,2018-01-19 12:41:38.971837,,,,,,f,,22,65,7,30,7,2018-01-19 12:41:38.978776,received
66,2018-01-19 12:41:45.98622,,,,,,f,,14,68,5,22,5,,pending
67,2018-01-19 12:41:45.989196,,,,,,f,,6,68,5,14,5,,pending
65,2018-01-19 12:41:45.915622,,,,,,f,,23,67,5,31,5,2018-01-19 12:41:46.001188,received
68,2018-01-19 12:41:45.99188,,,,,,f,,23,68,5,31,5,2018-01-19 12:41:46.001257,received
70,2018-01-19 12:41:55.535558,,,,,,f,,5,71,6,13,6,,pending
