id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-01-20 00:15:56.70931,,,,,,f,,31EUONYN2WWZ1XETRUONEXFK939OVS,AssignmentAccepted
2,2018-01-20 00:23:03.683616,,,,,,f,,31EUONYN2WWZ1XETRUONEXFK939OVS,AssignmentSubmitted
3,2018-01-20 00:23:27.183793,,,,,,f,,3PS7W85Z80VHHI6YKA5QGPWAHJ7T93,AssignmentAccepted
4,2018-01-20 01:13:11.856771,,,,,,f,,3PS7W85Z80VHHI6YKA5QGPWAHJ7T93,AssignmentReturned
5,2018-01-20 01:13:36.484455,,,,,,f,,3PS7W85Z80VHHI6YKA5QGPWAHJ7T93,AssignmentAccepted
6,2018-01-20 01:26:24.193813,,,,,,f,,3PS7W85Z80VHHI6YKA5QGPWAHJ7T93,AssignmentSubmitted
7,2018-01-20 01:26:40.900715,,,,,,f,,37Q970SNZF1YDDQORXL7REI5HO7S16,AssignmentAccepted
8,2018-01-20 01:31:59.328865,,,,,,f,,37Q970SNZF1YDDQORXL7REI5HO7S16,AssignmentReturned
9,2018-01-20 01:32:12.542043,,,,,,f,,37Q970SNZF1YDDQORXL7REI5HO7S16,AssignmentAccepted
10,2018-01-20 01:41:47.335707,,,,,,f,,37Q970SNZF1YDDQORXL7REI5HO7S16,AssignmentSubmitted
11,2018-01-20 01:42:04.411861,,,,,,f,,3WZ36BJEV4905BLVIUJM7VR05JDTBG,AssignmentAccepted
