id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-20 00:22:44.753425,,,,,,f,,question,2,1,time,5
2,2018-01-20 00:22:44.94966,,,,,,f,,question,2,2,multi-confusing,Only that I wish I could've changed the parts for each of the 4 test flights during each round
3,2018-01-20 00:22:44.940154,,,,,,f,,question,2,3,"",""
4,2018-01-20 00:22:45.057337,,,,,,f,,question,2,4,"",""
5,2018-01-20 01:26:09.024175,,,,,,f,,question,4,1,time,10
6,2018-01-20 01:26:09.152382,,,,,,f,,question,4,2,multi-confusing,"No, nothing was confusing."
7,2018-01-20 01:26:09.269131,,,,,,f,,question,4,3,"",""
8,2018-01-20 01:26:09.590639,,,,,,f,,question,4,4,"",""
9,2018-01-20 01:41:22.503557,,,,,,f,,question,6,1,time,12
10,2018-01-20 01:41:22.577324,,,,,,f,,question,6,2,multi-confusing,No.
11,2018-01-20 01:41:22.723038,,,,,,f,,question,6,3,"",""
12,2018-01-20 01:41:22.828135,,,,,,f,,question,6,4,"",""
