id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
1,2018-01-20 00:18:01.986267,,,,,,f,,1,9,1
2,2018-01-20 00:19:07.378386,,,,,,f,,2,10,2
3,2018-01-20 00:19:39.399013,,,,,,f,,3,11,3
4,2018-01-20 00:20:03.851335,,,,,,f,,4,12,4
5,2018-01-20 00:20:22.738814,,,,,,f,,7,13,7
6,2018-01-20 00:20:42.356456,,,,,,f,,8,14,8
7,2018-01-20 00:21:02.070293,,,,,,f,,6,15,6
8,2018-01-20 00:21:24.157353,,,,,,f,,5,16,5
9,2018-01-20 01:12:56.040716,,,,,,t,2018-01-20 01:13:11.95943,9,17,1
10,2018-01-20 01:15:35.027406,,,,,,f,,9,18,1
11,2018-01-20 01:17:40.582323,,,,,,f,,10,19,2
12,2018-01-20 01:19:01.847059,,,,,,f,,11,20,3
13,2018-01-20 01:20:15.099436,,,,,,f,,12,21,4
14,2018-01-20 01:21:33.381824,,,,,,f,,15,22,6
15,2018-01-20 01:22:22.807263,,,,,,f,,13,23,7
16,2018-01-20 01:23:09.990197,,,,,,f,,16,24,5
17,2018-01-20 01:24:25.625083,,,,,,f,,14,25,8
18,2018-01-20 01:33:32.899316,,,,,,f,,18,26,1
19,2018-01-20 01:35:23.171106,,,,,,f,,19,27,2
20,2018-01-20 01:36:35.667973,,,,,,f,,20,28,3
21,2018-01-20 01:37:11.606585,,,,,,f,,21,29,4
22,2018-01-20 01:38:01.502973,,,,,,f,,25,30,8
23,2018-01-20 01:38:56.021792,,,,,,f,,22,31,6
24,2018-01-20 01:39:52.492976,,,,,,f,,24,32,5
25,2018-01-20 01:40:37.067895,,,,,,f,,23,33,7
