id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-23 09:05:16.64419,,,,,,f,,question,1,1,time,5
2,2018-01-23 09:05:16.95645,,,,,,f,,question,1,2,multi-confusing,no
3,2018-01-23 09:05:17.271052,,,,,,f,,question,1,3,"",""
4,2018-01-23 09:05:17.580658,,,,,,f,,question,1,4,"",""
5,2018-01-23 09:27:15.326086,,,,,,f,,question,3,1,time,10
6,2018-01-23 09:27:15.484545,,,,,,f,,question,3,2,multi-confusing,"Nothing seemed confusing, although the failed parts in the previous trial were hard to discern because of their small size and the obscuring red circle."
7,2018-01-23 09:27:15.957468,,,,,,f,,question,3,3,"",""
8,2018-01-23 09:27:16.101557,,,,,,f,,question,3,4,"",""
9,2018-01-23 09:54:24.149617,,,,,,f,,question,4,1,time,12
10,2018-01-23 09:54:24.233826,,,,,,f,,question,4,2,multi-confusing,no
11,2018-01-23 09:54:24.569815,,,,,,f,,question,4,3,"",""
12,2018-01-23 09:54:24.899016,,,,,,f,,question,4,4,"",""
13,2018-01-23 10:15:00.075363,,,,,,f,,question,5,1,time,5
14,2018-01-23 10:15:00.150499,,,,,,f,,question,5,2,multi-confusing,no
15,2018-01-23 10:15:00.244962,,,,,,f,,question,5,3,"",""
16,2018-01-23 10:15:00.315181,,,,,,f,,question,5,4,"",""
