id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-01-23 09:03:13.878566,,,,,,f,,1,1,1,9,1,2018-01-23 09:03:13.902645,received
2,2018-01-23 09:03:13.898061,,,,,,f,,1,2,1,9,1,2018-01-23 09:03:13.902679,received
3,2018-01-23 09:03:35.980351,,,,,,f,,2,4,2,10,2,2018-01-23 09:03:36.004105,received
4,2018-01-23 09:03:35.999837,,,,,,f,,2,5,2,10,2,2018-01-23 09:03:36.004154,received
5,2018-01-23 09:03:48.878058,,,,,,f,,3,7,3,11,3,2018-01-23 09:03:48.903884,received
6,2018-01-23 09:03:48.899313,,,,,,f,,3,8,3,11,3,2018-01-23 09:03:48.903919,received
7,2018-01-23 09:04:01.44384,,,,,,f,,4,10,4,12,4,2018-01-23 09:04:01.471027,received
8,2018-01-23 09:04:01.46694,,,,,,f,,4,11,4,12,4,2018-01-23 09:04:01.471075,received
9,2018-01-23 09:04:17.702587,,,,,,f,,5,13,7,13,7,2018-01-23 09:04:17.728498,received
10,2018-01-23 09:04:17.721437,,,,,,f,,5,14,7,13,7,2018-01-23 09:04:17.728531,received
11,2018-01-23 09:04:30.454005,,,,,,f,,6,16,6,14,6,2018-01-23 09:04:30.478811,received
12,2018-01-23 09:04:30.475333,,,,,,f,,6,17,6,14,6,2018-01-23 09:04:30.478843,received
13,2018-01-23 09:04:40.533266,,,,,,f,,7,19,8,15,8,2018-01-23 09:04:40.553535,received
14,2018-01-23 09:04:40.550482,,,,,,f,,7,20,8,15,8,2018-01-23 09:04:40.553567,received
15,2018-01-23 09:04:49.878226,,,,,,f,,8,22,5,16,5,2018-01-23 09:04:49.908328,received
16,2018-01-23 09:04:49.903207,,,,,,f,,8,23,5,16,5,2018-01-23 09:04:49.908364,received
17,2018-01-23 09:23:14.662609,,,,,,f,,9,3,9,17,1,2018-01-23 09:23:14.701893,received
18,2018-01-23 09:23:14.693842,,,,,,f,,9,3,9,17,1,2018-01-23 09:23:14.701932,received
19,2018-01-23 09:24:18.021967,,,,,,f,,10,6,10,18,2,2018-01-23 09:24:18.052407,received
