id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
1,2018-01-23 09:03:13.868363,,,,,,f,,1,9,1
2,2018-01-23 09:03:35.969132,,,,,,f,,2,10,2
3,2018-01-23 09:03:48.865492,,,,,,f,,3,11,3
4,2018-01-23 09:04:01.43321,,,,,,f,,4,12,4
5,2018-01-23 09:04:17.694057,,,,,,f,,7,13,7
6,2018-01-23 09:04:30.447133,,,,,,f,,6,14,6
7,2018-01-23 09:04:40.525166,,,,,,f,,8,15,8
8,2018-01-23 09:04:49.860159,,,,,,f,,5,16,5
9,2018-01-23 09:23:14.643684,,,,,,f,,9,17,1
10,2018-01-23 09:24:18.007175,,,,,,f,,10,18,2
11,2018-01-23 09:24:44.673242,,,,,,f,,11,19,3
12,2018-01-23 09:24:56.248764,,,,,,f,,12,20,4
13,2018-01-23 09:25:43.893244,,,,,,f,,16,21,5
14,2018-01-23 09:25:58.997599,,,,,,f,,13,22,7
15,2018-01-23 09:26:12.642131,,,,,,f,,14,23,6
16,2018-01-23 09:26:23.582314,,,,,,f,,15,24,8
17,2018-01-23 09:47:14.719217,,,,,,f,,17,25,1
18,2018-01-23 09:48:03.285011,,,,,,f,,18,26,2
19,2018-01-23 09:48:23.675427,,,,,,f,,19,27,3
20,2018-01-23 09:49:26.019747,,,,,,f,,20,28,4
21,2018-01-23 09:49:44.030362,,,,,,f,,23,29,6
22,2018-01-23 09:52:01.884062,,,,,,f,,21,30,5
23,2018-01-23 09:52:19.535936,,,,,,f,,24,31,8
24,2018-01-23 09:53:59.686386,,,,,,f,,22,32,7
25,2018-01-23 10:09:06.126756,,,,,,f,,25,33,1
26,2018-01-23 10:10:58.263783,,,,,,f,,26,34,2
27,2018-01-23 10:11:32.635813,,,,,,f,,27,35,3
28,2018-01-23 10:12:12.251857,,,,,,f,,28,36,4
29,2018-01-23 10:12:34.000368,,,,,,f,,30,37,5
30,2018-01-23 10:13:03.48736,,,,,,f,,31,38,8
31,2018-01-23 10:13:45.450462,,,,,,f,,29,39,6
32,2018-01-23 10:14:17.317861,,,,,,f,,32,40,7
