id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-18 09:12:04.417705,,,,,,f,,question,1,1,engagement,7
2,2018-01-18 09:15:50.643635,,,,,,f,,question,2,1,engagement,9
3,2018-01-18 09:15:50.751488,,,,,,f,,question,2,2,difficulty,2
4,2018-01-18 09:15:50.868597,,,,,,f,,question,2,3,"",""
5,2018-01-18 09:15:50.960428,,,,,,f,,question,2,4,"",""
6,2018-01-18 09:49:25.49006,,,,,,f,,question,5,1,engagement,10
7,2018-01-18 09:49:26.062947,,,,,,f,,question,5,2,difficulty,5
8,2018-01-18 09:59:14.995509,,,,,,f,,question,7,1,engagement,2
9,2018-01-18 09:59:15.140904,,,,,,f,,question,7,2,difficulty,1
10,2018-01-18 09:59:15.303509,,,,,,f,,question,7,3,"",""
11,2018-01-18 10:14:29.87652,,,,,,f,,question,8,1,engagement,8
12,2018-01-18 10:14:30.006972,,,,,,f,,question,8,2,difficulty,7
13,2018-01-18 10:14:30.172968,,,,,,f,,question,8,3,"",""
14,2018-01-18 10:37:19.090932,,,,,,f,,question,9,1,engagement,10
15,2018-01-18 10:37:19.185096,,,,,,f,,question,9,2,difficulty,6
16,2018-01-18 10:37:19.28209,,,,,,f,,question,9,3,"",""
17,2018-01-18 10:37:19.357265,,,,,,f,,question,9,4,"",""
18,2018-01-18 10:39:51.265296,,,,,,f,,question,10,1,engagement,10
19,2018-01-18 10:39:51.397702,,,,,,f,,question,10,2,difficulty,10
20,2018-01-18 10:42:03.68261,,,,,,f,,question,11,1,engagement,9
21,2018-01-18 10:42:03.835161,,,,,,f,,question,11,2,difficulty,8
22,2018-01-18 11:16:01.589574,,,,,,f,,question,12,1,engagement,8
23,2018-01-18 11:16:01.679303,,,,,,f,,question,12,2,difficulty,1
24,2018-01-18 11:16:01.765196,,,,,,f,,question,12,3,"",""
25,2018-01-18 11:16:01.938234,,,,,,f,,question,12,4,"",""
26,2018-01-18 11:38:48.76651,,,,,,f,,question,13,1,engagement,10
27,2018-01-18 11:38:48.914161,,,,,,f,,question,13,2,difficulty,4
28,2018-01-18 11:38:48.99133,,,,,,f,,question,13,3,"",""
29,2018-01-18 11:54:01.027443,,,,,,f,,question,14,1,engagement,8
30,2018-01-18 11:54:01.107583,,,,,,f,,question,14,2,difficulty,3
31,2018-01-18 11:54:01.212986,,,,,,f,,question,14,3,"",""
32,2018-01-18 11:54:01.293672,,,,,,f,,question,14,4,"",""
33,2018-01-18 12:12:11.320906,,,,,,f,,question,15,1,engagement,3
34,2018-01-18 12:12:11.382305,,,,,,f,,question,15,2,difficulty,4
35,2018-01-18 12:12:11.449579,,,,,,f,,question,15,3,"",""
36,2018-01-18 12:33:53.58763,,,,,,f,,question,16,1,engagement,10
37,2018-01-18 12:33:53.897464,,,,,,f,,question,16,2,difficulty,1
38,2018-01-18 12:33:54.210603,,,,,,f,,question,16,3,"",""
39,2018-01-18 12:55:39.804308,,,,,,f,,question,17,1,engagement,8
40,2018-01-18 12:55:39.882885,,,,,,f,,question,17,2,difficulty,5
41,2018-01-18 12:55:39.981047,,,,,,f,,question,17,3,"",""
42,2018-01-18 12:55:40.103621,,,,,,f,,question,17,4,"",""
43,2018-01-18 13:18:31.909429,,,,,,f,,question,18,1,engagement,9
44,2018-01-18 13:18:31.987968,,,,,,f,,question,18,2,difficulty,7
45,2018-01-18 13:18:32.060871,,,,,,f,,question,18,3,"",""
46,2018-01-18 13:25:15.102781,,,,,,f,,question,19,1,engagement,8
47,2018-01-18 13:25:15.17025,,,,,,f,,question,19,2,difficulty,7
48,2018-01-18 13:25:15.24667,,,,,,f,,question,19,3,"",""
