id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
1,2018-05-04 20:14:24.787452,,,,,,f,,1,9,1
2,2018-05-04 20:15:04.08765,,,,,,f,,2,10,2
3,2018-05-04 20:15:23.045234,,,,,,f,,3,11,3
4,2018-05-04 20:15:37.016355,,,,,,f,,4,12,4
5,2018-05-04 20:15:53.499079,,,,,,f,,7,13,7
6,2018-05-04 20:16:05.302505,,,,,,f,,6,14,6
7,2018-05-04 20:16:16.455682,,,,,,f,,8,15,8
8,2018-05-04 20:16:28.58838,,,,,,f,,5,16,5
9,2018-05-04 20:24:51.073408,,,,,,f,,1,17,1
10,2018-05-04 20:25:41.276497,,,,,,f,,2,18,2
11,2018-05-04 20:25:57.028724,,,,,,f,,3,19,3
12,2018-05-04 20:26:10.963268,,,,,,f,,4,20,4
13,2018-05-04 20:26:20.773704,,,,,,f,,8,21,8
14,2018-05-04 20:26:30.482918,,,,,,f,,7,22,7
15,2018-05-04 20:26:48.627836,,,,,,f,,6,23,6
16,2018-05-04 20:26:57.56735,,,,,,f,,5,24,5
17,2018-05-04 20:33:24.392679,,,,,,f,,1,25,1
18,2018-05-04 20:34:10.093334,,,,,,f,,2,26,2
19,2018-05-04 20:34:36.299873,,,,,,f,,3,27,3
20,2018-05-04 20:34:59.566165,,,,,,f,,4,28,4
21,2018-05-04 20:35:14.311607,,,,,,f,,5,29,5
22,2018-05-04 20:35:26.72444,,,,,,f,,8,30,8
23,2018-05-04 20:35:40.174243,,,,,,f,,7,31,7
24,2018-05-04 20:35:52.397074,,,,,,f,,6,32,6
25,2018-05-04 20:41:11.648901,,,,,,f,,1,33,1
26,2018-05-04 20:42:34.372569,,,,,,f,,2,34,2
27,2018-05-04 20:43:10.820653,,,,,,f,,3,35,3
28,2018-05-04 20:43:34.702084,,,,,,f,,4,36,4
29,2018-05-04 20:44:01.554362,,,,,,f,,6,37,6
30,2018-05-04 20:44:22.868943,,,,,,f,,5,38,5
31,2018-05-04 20:44:54.768296,,,,,,f,,7,39,7
32,2018-05-04 20:45:12.873193,,,,,,f,,8,40,8
33,2018-05-04 21:15:00.432664,,,,,,f,,1,41,1
34,2018-05-04 21:16:53.672848,,,,,,f,,2,42,2
35,2018-05-04 21:18:20.215879,,,,,,f,,3,43,3
36,2018-05-04 21:19:43.393954,,,,,,f,,4,44,4
37,2018-05-04 21:19:54.051365,,,,,,f,,8,45,8
38,2018-05-04 21:20:09.775277,,,,,,f,,6,46,6
39,2018-05-04 21:20:36.050239,,,,,,f,,7,47,7
40,2018-05-04 21:20:45.628593,,,,,,f,,5,48,5
41,2018-05-04 22:49:23.801264,,,,,,f,,1,49,1
42,2018-05-04 22:50:08.522833,,,,,,f,,2,50,2
43,2018-05-04 22:50:32.045052,,,,,,f,,3,51,3
44,2018-05-04 22:50:51.889623,,,,,,f,,4,52,4
45,2018-05-04 22:51:16.342193,,,,,,f,,8,53,8
46,2018-05-04 22:51:30.80986,,,,,,f,,5,54,5
47,2018-05-04 22:51:46.92771,,,,,,f,,6,55,6
48,2018-05-04 22:52:01.682461,,,,,,f,,7,56,7
49,2018-05-04 23:37:44.301016,,,,,,f,,1,57,1
50,2018-05-04 23:38:01.286268,,,,,,f,,2,58,2
51,2018-05-04 23:38:13.175948,,,,,,f,,3,59,3
52,2018-05-04 23:38:22.846012,,,,,,f,,4,60,4
53,2018-05-04 23:38:30.825888,,,,,,f,,5,61,5
54,2018-05-04 23:38:38.417057,,,,,,f,,8,62,8
55,2018-05-04 23:38:45.345846,,,,,,f,,7,63,7
56,2018-05-04 23:38:54.098872,,,,,,f,,6,64,6
57,2018-05-04 23:44:41.633609,,,,,,f,,1,65,1
58,2018-05-04 23:45:26.012032,,,,,,f,,2,66,2
59,2018-05-04 23:45:55.46212,,,,,,f,,3,67,3
60,2018-05-04 23:46:16.900497,,,,,,f,,4,68,4
61,2018-05-04 23:46:49.684855,,,,,,f,,5,69,5
62,2018-05-04 23:47:01.761915,,,,,,f,,6,70,6
63,2018-05-04 23:47:17.400568,,,,,,f,,8,71,8
64,2018-05-04 23:47:29.384079,,,,,,f,,7,72,7
65,2018-05-04 23:52:38.813907,,,,,,f,,1,73,1
66,2018-05-04 23:54:28.887892,,,,,,f,,2,74,2
67,2018-05-04 23:55:03.163054,,,,,,f,,3,75,3
68,2018-05-04 23:55:51.938465,,,,,,f,,4,76,4
69,2018-05-04 23:56:20.389019,,,,,,f,,7,77,7
70,2018-05-04 23:56:34.293845,,,,,,f,,6,78,6
71,2018-05-04 23:56:49.418349,,,,,,f,,8,79,8
72,2018-05-04 23:57:11.119566,,,,,,f,,5,80,5
73,2018-05-05 01:03:18.46032,,,,,,f,,1,81,1
74,2018-05-05 01:04:03.308258,,,,,,f,,2,82,2
75,2018-05-05 01:04:30.986908,,,,,,f,,3,83,3
76,2018-05-05 01:04:49.716588,,,,,,f,,4,84,4
77,2018-05-05 01:05:15.589853,,,,,,f,,7,85,7
78,2018-05-05 01:05:31.425779,,,,,,f,,8,86,8
79,2018-05-05 01:05:47.309808,,,,,,f,,6,87,6
80,2018-05-05 01:06:02.428497,,,,,,f,,5,88,5
81,2018-05-05 01:29:17.515624,,,,,,f,,1,89,1
82,2018-05-05 01:29:48.823789,,,,,,f,,2,90,2
83,2018-05-05 01:30:23.841599,,,,,,f,,3,91,3
84,2018-05-05 01:30:41.375306,,,,,,f,,4,92,4
85,2018-05-05 01:30:59.642042,,,,,,f,,7,93,7
86,2018-05-05 01:31:13.684764,,,,,,f,,6,94,6
87,2018-05-05 01:31:33.757332,,,,,,f,,8,95,8
88,2018-05-05 01:31:48.998791,,,,,,f,,5,96,5
89,2018-05-05 01:36:25.54467,,,,,,f,,1,97,1
90,2018-05-05 01:36:53.873021,,,,,,f,,2,98,2
91,2018-05-05 01:37:09.270196,,,,,,f,,3,99,3
92,2018-05-05 01:37:28.862063,,,,,,f,,4,100,4
93,2018-05-05 01:37:41.08205,,,,,,f,,7,101,7
94,2018-05-05 01:37:57.451827,,,,,,f,,6,102,6
95,2018-05-05 01:38:11.177924,,,,,,f,,5,103,5
96,2018-05-05 01:38:22.435692,,,,,,f,,8,104,8
97,2018-05-05 02:52:27.573017,,,,,,f,,1,105,1
98,2018-05-05 02:53:53.30983,,,,,,f,,2,106,2
