id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-25 13:08:29.839531,,,,,,f,,question,1,1,time,7
2,2018-01-25 13:08:29.988574,,,,,,f,,question,1,2,multi-confusing,No
3,2018-01-25 13:08:30.074,,,,,,f,,question,1,3,"",""
4,2018-01-25 13:08:30.17121,,,,,,f,,question,1,4,"",""
5,2018-01-25 14:35:12.339232,,,,,,f,,question,2,1,time,5
6,2018-01-25 14:35:12.424414,,,,,,f,,question,2,2,multi-confusing,no
7,2018-01-25 14:35:12.527858,,,,,,f,,question,2,3,"",""
8,2018-01-25 14:35:12.622089,,,,,,f,,question,2,4,"",""
9,2018-01-25 16:30:41.426639,,,,,,f,,question,4,1,time,10
10,2018-01-25 16:30:41.681278,,,,,,f,,question,4,2,multi-confusing,no
11,2018-01-25 16:30:41.863655,,,,,,f,,question,4,3,"",""
12,2018-01-25 16:30:41.953865,,,,,,f,,question,4,4,"",""
13,2018-01-25 17:25:13.934454,,,,,,f,,question,5,1,time,5
14,2018-01-25 17:25:13.995891,,,,,,f,,question,5,2,multi-confusing,"Yes, I was never shown results from a previous experimenter's spaceship, and each trial used different parts from my last one, so I could never build any sort of data about what parts worked."
15,2018-01-25 17:25:14.05952,,,,,,f,,question,5,3,"",""
16,2018-01-25 17:25:14.125526,,,,,,f,,question,5,4,"",""
17,2018-01-25 18:03:42.739783,,,,,,f,,question,6,1,time,5
18,2018-01-25 18:03:42.889779,,,,,,f,,question,6,2,multi-confusing,"I felt like everything was really random and my choices didn't matter. Also, It went into other people building the ship but I was always the first one. I was a little confused by that. "
19,2018-01-25 18:03:43.035972,,,,,,f,,question,6,3,"",""
20,2018-01-25 18:03:43.11962,,,,,,f,,question,6,4,"",""
21,2018-01-25 18:25:22.548543,,,,,,f,,question,7,1,time,12
22,2018-01-25 18:25:22.84359,,,,,,f,,question,7,2,multi-confusing,no
23,2018-01-25 18:25:23.130315,,,,,,f,,question,7,3,"",""
24,2018-01-25 18:25:23.247024,,,,,,f,,question,7,4,"",""
25,2018-01-25 18:31:08.291537,,,,,,f,,question,8,1,time,5
26,2018-01-25 18:31:08.363926,,,,,,f,,question,8,2,multi-confusing,"no, thanks!"
27,2018-01-25 18:31:08.426153,,,,,,f,,question,8,3,"",""
28,2018-01-25 18:31:08.491551,,,,,,f,,question,8,4,"",""
29,2018-01-25 19:19:15.231519,,,,,,f,,question,9,1,time,12
30,2018-01-25 19:19:15.357572,,,,,,f,,question,9,2,multi-confusing,Not really.
31,2018-01-25 19:19:15.36846,,,,,,f,,question,9,3,"",""
32,2018-01-25 19:19:15.51973,,,,,,f,,question,9,4,"",""
33,2018-01-25 21:03:57.154838,,,,,,f,,question,10,1,time,10
34,2018-01-25 21:03:57.17272,,,,,,f,,question,10,2,multi-confusing,""
35,2018-01-25 21:03:57.278157,,,,,,f,,question,10,3,"",""
36,2018-01-25 21:03:57.382019,,,,,,f,,question,10,4,"",""
37,2018-01-25 21:16:12.50329,,,,,,f,,question,11,1,time,10
38,2018-01-25 21:16:12.576335,,,,,,f,,question,11,2,multi-confusing,yes
39,2018-01-25 21:16:12.652142,,,,,,f,,question,11,3,"",""
40,2018-01-25 21:16:12.858935,,,,,,f,,question,11,4,"",""
41,2018-01-25 21:53:40.636649,,,,,,f,,question,15,1,time,12
42,2018-01-25 21:53:40.616727,,,,,,f,,question,15,2,multi-confusing,no
43,2018-01-25 21:53:40.693343,,,,,,f,,question,15,3,"",""
44,2018-01-25 21:53:40.882667,,,,,,f,,question,15,4,"",""
45,2018-01-25 22:09:57.416182,,,,,,f,,question,16,1,time,7
46,2018-01-25 22:09:57.370329,,,,,,f,,question,16,2,multi-confusing,No.
47,2018-01-25 22:09:57.409543,,,,,,f,,question,16,3,"",""
48,2018-01-25 22:09:57.555458,,,,,,f,,question,16,4,"",""
49,2018-01-25 22:57:06.785467,,,,,,f,,question,17,1,time,5
50,2018-01-25 22:57:06.959829,,,,,,f,,question,17,2,multi-confusing,Nothing about the experiment was confusing.
51,2018-01-25 22:57:07.007424,,,,,,f,,question,17,3,"",""
52,2018-01-25 22:57:07.118426,,,,,,f,,question,17,4,"",""
53,2018-01-25 23:05:38.599608,,,,,,f,,question,18,1,time,12
54,2018-01-25 23:05:38.716405,,,,,,f,,question,18,2,multi-confusing,no
55,2018-01-25 23:05:38.861598,,,,,,f,,question,18,3,"",""
56,2018-01-25 23:05:38.969422,,,,,,f,,question,18,4,"",""
57,2018-01-26 01:56:18.012789,,,,,,f,,question,22,1,time,12
58,2018-01-26 01:56:18.073014,,,,,,f,,question,22,2,multi-confusing,no
59,2018-01-26 01:56:18.119483,,,,,,f,,question,22,3,"",""
60,2018-01-26 01:56:18.146774,,,,,,f,,question,22,4,"",""
61,2018-01-26 02:10:47.497091,,,,,,f,,question,24,1,time,12
62,2018-01-26 02:10:47.777449,,,,,,f,,question,24,2,multi-confusing,n/a
63,2018-01-26 02:10:47.859714,,,,,,f,,question,24,3,"",""
64,2018-01-26 02:10:47.892321,,,,,,f,,question,24,4,"",""
65,2018-01-26 03:34:55.723572,,,,,,f,,question,27,1,time,0
66,2018-01-26 03:34:55.839072,,,,,,f,,question,27,2,multi-confusing,nothing
67,2018-01-26 03:34:55.941414,,,,,,f,,question,27,3,"",""
68,2018-01-26 03:34:56.043463,,,,,,f,,question,27,4,"",""
69,2018-01-26 04:01:59.652966,,,,,,f,,question,28,1,time,12
70,2018-01-26 04:01:59.725947,,,,,,f,,question,28,2,multi-confusing,No
71,2018-01-26 04:01:59.796724,,,,,,f,,question,28,3,"",""
72,2018-01-26 04:01:59.855998,,,,,,f,,question,28,4,"",""
73,2018-01-26 04:14:47.945028,,,,,,f,,question,29,1,time,10
74,2018-01-26 04:14:48.043073,,,,,,f,,question,29,2,multi-confusing,"...All of it? Part failure being random and being able to only see one previous iteration, I didn't feel like I was doing anything with much chance of success or that there indeed was much chance of success. Using every thing every time or using nothing at all might have given equivalent results. Quite curious what was being studied! :)"
75,2018-01-26 04:14:48.136239,,,,,,f,,question,29,3,"",""
76,2018-01-26 04:14:48.207357,,,,,,f,,question,29,4,"",""
77,2018-01-26 04:23:24.677146,,,,,,f,,question,30,1,time,5
78,2018-01-26 04:23:24.733918,,,,,,f,,question,30,2,multi-confusing,Nope
