id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-01-26 12:14:07.788856,,,,,,f,,1,1,1,9,1,2018-01-26 12:14:07.900347,received
2,2018-01-26 12:14:07.861918,,,,,,f,,1,2,1,9,1,2018-01-26 12:14:07.900413,received
3,2018-01-26 12:14:37.090722,,,,,,f,,2,4,2,10,2,2018-01-26 12:14:37.152487,received
4,2018-01-26 12:14:37.132541,,,,,,f,,2,5,2,10,2,2018-01-26 12:14:37.152549,received
5,2018-01-26 12:14:56.406164,,,,,,f,,3,7,3,11,3,2018-01-26 12:14:56.588964,received
6,2018-01-26 12:14:56.545235,,,,,,f,,3,8,3,11,3,2018-01-26 12:14:56.589028,received
7,2018-01-26 12:15:11.301378,,,,,,f,,4,10,4,12,4,2018-01-26 12:15:11.371611,received
8,2018-01-26 12:15:11.361935,,,,,,f,,4,11,4,12,4,2018-01-26 12:15:11.37168,received
9,2018-01-26 12:15:22.053762,,,,,,f,,5,13,7,13,7,2018-01-26 12:15:22.080621,received
10,2018-01-26 12:15:22.0754,,,,,,f,,5,14,7,13,7,2018-01-26 12:15:22.080661,received
11,2018-01-26 12:15:38.576491,,,,,,f,,6,16,8,14,8,2018-01-26 12:15:38.602972,received
12,2018-01-26 12:15:38.597871,,,,,,f,,6,17,8,14,8,2018-01-26 12:15:38.60301,received
13,2018-01-26 12:15:50.729123,,,,,,f,,7,19,5,15,5,2018-01-26 12:15:50.753023,received
14,2018-01-26 12:15:50.748819,,,,,,f,,7,20,5,15,5,2018-01-26 12:15:50.753055,received
15,2018-01-26 12:16:02.261119,,,,,,f,,8,22,6,16,6,2018-01-26 12:16:02.284222,received
16,2018-01-26 12:16:02.280289,,,,,,f,,8,23,6,16,6,2018-01-26 12:16:02.284254,received
18,2018-01-26 13:23:34.189603,,,,,,f,,1,26,1,9,1,,pending
17,2018-01-26 13:23:34.154598,,,,,,f,,9,25,1,17,1,2018-01-26 13:23:34.197581,received
19,2018-01-26 13:23:34.191261,,,,,,f,,9,26,1,17,1,2018-01-26 13:23:34.19763,received
22,2018-01-26 13:25:22.049254,,,,,,f,,2,29,2,10,2,,pending
20,2018-01-26 13:25:22.027505,,,,,,f,,10,28,2,18,2,2018-01-26 13:25:22.053395,received
21,2018-01-26 13:25:22.047845,,,,,,f,,10,29,2,18,2,2018-01-26 13:25:22.053428,received
24,2018-01-26 13:26:39.488015,,,,,,f,,3,32,3,11,3,,pending
23,2018-01-26 13:26:39.466735,,,,,,f,,11,31,3,19,3,2018-01-26 13:26:39.494921,received
25,2018-01-26 13:26:39.489587,,,,,,f,,11,32,3,19,3,2018-01-26 13:26:39.494955,received
