id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,network_id,participant_id
19,2018-01-09 16:47:18.892612,,2,,,,f,,particle,2,9
3,2018-01-09 12:59:19.237323,,0,,,,f,,particle,1,1
1,2018-01-09 12:57:31.247209,,"{""turn"": 0, ""fails"": [[""fail"", ""success"", ""fail"", ""fail"", ""fail"", ""success"", ""fail"", ""success""], [""success"", ""success"", ""fail"", ""success"", ""success"", ""success"", ""success"", ""fail""], [""fail"", ""fail"", ""success"", ""success"", ""fail"", ""success"", ""success"", ""success""], [""fail"", ""fail"", ""fail"", ""success"", ""success"", ""success"", ""fail"", ""fail""], [""success"", ""success"", ""fail"", ""success"", ""success"", ""fail"", ""success"", ""success""], [""success"", ""success"", ""success"", ""fail"", ""fail"", ""success"", ""fail"", ""success""], [""success"", ""success"", ""fail"", ""success"", ""success"", ""success"", ""fail"", ""fail""], [""success"", ""fail"", ""fail"", ""success"", ""success"", ""fail"", ""success"", ""success""], [""fail"", ""success"", ""fail"", ""fail"", ""success"", ""fail"", ""fail"", ""success""], [""fail"", ""success"", ""fail"", ""success"", ""success"", ""success"", ""success"", ""fail""], [""success"", ""fail"", ""fail"", ""success"", ""fail"", ""success"", ""fail"", ""fail""], [""success"", ""success"", ""success"", ""success"", ""fail"", ""fail"", ""fail"", ""fail""], [""fail"", ""fail"", ""success"", ""success"", ""fail"", ""success"", ""fail"", ""fail""], [""fail"", ""fail"", ""fail"", ""fail"", ""fail"", ""success"", ""fail"", ""fail""], [""fail"", ""success"", ""success"", ""fail"", ""fail"", ""fail"", ""success"", ""fail""], [""fail"", ""success"", ""success"", ""fail"", ""success"", ""success"", ""success"", ""fail""], [""success"", ""fail"", ""fail"", ""fail"", ""success"", ""success"", ""success"", ""success""], [""fail"", ""fail"", ""fail"", ""fail"", ""success"", ""success"", ""fail"", ""success""], [""success"", ""success"", ""fail"", ""fail"", ""success"", ""success"", ""success"", ""success""], [""fail"", ""success"", ""success"", ""fail"", ""fail"", ""success"", ""success"", ""success""]], ""action"": """", ""set"": 2, ""part_probs"": [0.4, 0.6, 0.4, 0.6, 0.6, 0.6, 0.4, 0.4]}",2,,,f,,ship_source,1,
4,2018-01-09 12:59:28.480793,,0,,,,f,,particle,2,1
2,2018-01-09 12:57:31.26877,,"{""turn"": 0, ""fails"": [[""success"", ""fail"", ""success"", ""success"", ""success"", ""fail"", ""success"", ""fail""], [""success"", ""success"", ""fail"", ""fail"", ""success"", ""fail"", ""fail"", ""success""], [""fail"", ""success"", ""fail"", ""fail"", ""fail"", ""fail"", ""fail"", ""success""], [""fail"", ""success"", ""fail"", ""fail"", ""success"", ""fail"", ""fail"", ""success""], [""fail"", ""fail"", ""fail"", ""fail"", ""success"", ""success"", ""success"", ""fail""], [""fail"", ""fail"", ""fail"", ""success"", ""success"", ""fail"", ""fail"", ""fail""], [""fail"", ""success"", ""fail"", ""fail"", ""success"", ""fail"", ""success"", ""fail""], [""success"", ""success"", ""success"", ""fail"", ""fail"", ""fail"", ""success"", ""fail""], [""success"", ""success"", ""success"", ""fail"", ""success"", ""success"", ""success"", ""fail""], [""fail"", ""success"", ""fail"", ""fail"", ""fail"", ""success"", ""fail"", ""success""], [""fail"", ""success"", ""success"", ""fail"", ""fail"", ""success"", ""success"", ""success""], [""fail"", ""fail"", ""fail"", ""success"", ""success"", ""fail"", ""success"", ""fail""], [""fail"", ""fail"", ""fail"", ""fail"", ""success"", ""fail"", ""success"", ""fail""], [""fail"", ""success"", ""success"", ""fail"", ""success"", ""success"", ""success"", ""success""], [""fail"", ""success"", ""fail"", ""fail"", ""success"", ""fail"", ""fail"", ""success""], [""fail"", ""fail"", ""fail"", ""success"", ""success"", ""fail"", ""fail"", ""fail""], [""success"", ""success"", ""fail"", ""fail"", ""success"", ""fail"", ""success"", ""success""], [""success"", ""fail"", ""success"", ""fail"", ""success"", ""fail"", ""fail"", ""fail""], [""success"", ""success"", ""fail"", ""fail"", ""fail"", ""success"", ""success"", ""success""], [""fail"", ""success"", ""fail"", ""success"", ""fail"", ""fail"", ""fail"", ""fail""]], ""action"": """", ""set"": 3, ""part_probs"": [0.4, 0.6, 0.4, 0.4, 0.6, 0.4, 0.6, 0.6]}",3,,,f,,ship_source,2,
5,2018-01-09 13:05:46.511543,,0,,,,f,,particle,2,2
6,2018-01-09 13:06:20.235188,,0,,,,f,,particle,1,2
7,2018-01-09 13:47:34.824858,,0,,,,f,,particle,2,3
8,2018-01-09 13:47:59.867402,,0,,,,f,,particle,1,3
9,2018-01-09 14:09:39.417816,,0,,,,f,,particle,2,4
