id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-01-09 12:57:44.644201,,,,,,f,,3ZGVPD4G6UAWN9OBO8ZPTDY3V1ZTZF,AssignmentAccepted
2,2018-01-09 13:01:31.978115,,,,,,f,,3ZGVPD4G6UAWN9OBO8ZPTDY3V1ZTZF,AssignmentSubmitted
3,2018-01-09 13:01:41.680161,,,,,,f,,3IHR8NYAM8UISK7FMY0FU7KX53BP4U,AssignmentAccepted
4,2018-01-09 13:07:35.477233,,,,,,f,,3IHR8NYAM8UISK7FMY0FU7KX53BP4U,AssignmentSubmitted
5,2018-01-09 13:07:51.930709,,,,,,f,,3WLEIWSYHPAGCPU4Z79MSJL8ZY62H7,AssignmentAccepted
6,2018-01-09 13:48:57.181236,,,,,,f,,3WLEIWSYHPAGCPU4Z79MSJL8ZY62H7,AssignmentSubmitted
7,2018-01-09 13:49:04.947396,,,,,,f,,3OLQQLKKNTI4YB1AGR786XAC9T1JEW,AssignmentAccepted
8,2018-01-09 14:10:31.228069,,,,,,f,,3OLQQLKKNTI4YB1AGR786XAC9T1JEW,AssignmentSubmitted
9,2018-01-09 14:10:36.851959,,,,,,f,,3MD9PLUKKJ7YSWJRRCDDKESB6JGZNN,AssignmentAccepted
10,2018-01-09 14:13:37.678226,,,,,,f,,3MD9PLUKKJ7YSWJRRCDDKESB6JGZNN,AssignmentSubmitted
11,2018-01-09 14:13:54.492589,,,,,,f,,37KGEN7NJ4J4HDTYKIS3X5VSWZBPPP,AssignmentAccepted
12,2018-01-09 15:14:14.284403,,,,,,f,,37KGEN7NJ4J4HDTYKIS3X5VSWZBPPP,AssignmentAbandoned
13,2018-01-09 15:14:15.807782,,,,,,f,,37KGEN7NJ4J4HDTYKIS3X5VSWZBPPP,AssignmentAbandoned
14,2018-01-09 15:14:17.389163,,,,,,f,,37KGEN7NJ4J4HDTYKIS3X5VSWZBPPP,AssignmentAbandoned
15,2018-01-09 15:14:19.85901,,,,,,f,,37KGEN7NJ4J4HDTYKIS3X5VSWZBPPP,AssignmentAbandoned
16,2018-01-09 15:14:45.316871,,,,,,f,,3RWE2M8QWI31QBD1NI0LEFPPOC30N2,AssignmentAccepted
17,2018-01-09 15:17:28.473345,,,,,,f,,3RWE2M8QWI31QBD1NI0LEFPPOC30N2,AssignmentSubmitted
18,2018-01-09 15:17:42.855315,,,,,,f,,3QECW5O0KIUYGV4MHKS949R8U20T5H,AssignmentAccepted
19,2018-01-09 15:50:52.941376,,,,,,f,,3QECW5O0KIUYGV4MHKS949R8U20T5H,AssignmentSubmitted
20,2018-01-09 15:51:09.660542,,,,,,f,,39GHHAVOMGKM694HRLVVXBYLW4GJ4Z,AssignmentAccepted
21,2018-01-09 16:45:40.900269,,,,,,f,,39GHHAVOMGKM694HRLVVXBYLW4GJ4Z,AssignmentSubmitted
22,2018-01-09 16:45:53.448557,,,,,,f,,33PPO7FECW83BU342EBOOEDRW2PDIZ,AssignmentAccepted
23,2018-01-09 16:46:09.842617,,,,,,f,,33PPO7FECW83BU342EBOOEDRW2PDIZ,AssignmentReturned
24,2018-01-09 16:46:43.298146,,,,,,f,,3OONKJ5DKDCKSJGNMDXNDLLD5QCOBY,AssignmentAccepted
25,2018-01-09 16:48:41.714634,,,,,,f,,3OONKJ5DKDCKSJGNMDXNDLLD5QCOBY,AssignmentSubmitted
26,2018-01-09 16:48:59.886154,,,,,,f,,30JNVC0ORADX48WP1IZNO1JBF4ZHQF,AssignmentAccepted
27,2018-01-09 17:23:01.888036,,,,,,f,,30JNVC0ORADX48WP1IZNO1JBF4ZHQF,AssignmentSubmitted
28,2018-01-09 17:23:30.194643,,,,,,f,,3R6P78PK7L4WWST6YGB086IXKBNTG8,AssignmentAccepted
29,2018-01-09 17:24:06.657908,,,,,,f,,3R6P78PK7L4WWST6YGB086IXKBNTG8,AssignmentReturned
30,2018-01-09 17:25:06.420568,,,,,,f,,3VSOLARPKC2CI1845VZZYCSCMZG39B,AssignmentAccepted
31,2018-01-09 17:52:06.290557,,,,,,f,,3VSOLARPKC2CI1845VZZYCSCMZG39B,AssignmentSubmitted
32,2018-01-09 17:52:16.95759,,,,,,f,,358UUM7WR0W0NK5D1O2B2E4MXN9R7S,AssignmentAccepted
33,2018-01-09 17:52:48.407815,,,,,,f,,358UUM7WR0W0NK5D1O2B2E4MXN9R7S,AssignmentReturned
34,2018-01-09 17:53:05.909639,,,,,,f,,358UUM7WR0W0NK5D1O2B2E4MXN9R7S,AssignmentAccepted
35,2018-01-09 17:54:41.989524,,,,,,f,,358UUM7WR0W0NK5D1O2B2E4MXN9R7S,AssignmentSubmitted
36,2018-01-09 17:54:58.091392,,,,,,f,,3TVSS0C0E2TSTEJ6DLFIU94LEZFWTC,AssignmentAccepted
