id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
9,2018-01-09 16:47:03.620162,,,,,,f,,participant,9,3OONKJ5DKDCKSJGNMDXNDLLD5QCOBY,9:3OONKJ5DKDCKSJGNMDXNDLLD5QCOBY,3GKAWYFRAPMS5WSEP7W69RIILUXPDH,live,2018-01-09 16:48:41.781902,0.2,0,approved
1,2018-01-09 12:58:35.841799,,,,,,f,,participant,1,3ZGVPD4G6UAWN9OBO8ZPTDY3V1ZTZF,1:3ZGVPD4G6UAWN9OBO8ZPTDY3V1ZTZF,3T5ZXGO9DEHG89YPH20S0ORVE8NZQB,live,2018-01-09 13:01:32.13255,0.2,0,approved
2,2018-01-09 13:02:22.9458,,,,,,f,,participant,2,3IHR8NYAM8UISK7FMY0FU7KX53BP4U,2:3IHR8NYAM8UISK7FMY0FU7KX53BP4U,33W1NHWFYHET0PQHY6UN5T2IYFMZTP,live,2018-01-09 13:07:35.513576,0.2,0,approved
3,2018-01-09 13:47:09.233176,,,,,,f,,participant,3,3WLEIWSYHPAGCPU4Z79MSJL8ZY62H7,3:3WLEIWSYHPAGCPU4Z79MSJL8ZY62H7,3KWGG5KP6JVCF1PNXV938H65VP5CM3,live,2018-01-09 13:48:57.199935,0.2,0,approved
4,2018-01-09 14:09:31.025491,,,,,,f,,participant,4,3OLQQLKKNTI4YB1AGR786XAC9T1JEW,4:3OLQQLKKNTI4YB1AGR786XAC9T1JEW,37OPIVELUUW2U8REMKXZAH8LE0MHAY,live,2018-01-09 14:10:31.252021,0.2,0,approved
10,2018-01-09 17:20:42.879925,,,,,,f,,participant,10,30JNVC0ORADX48WP1IZNO1JBF4ZHQF,10:30JNVC0ORADX48WP1IZNO1JBF4ZHQF,3ZQA3IO31BKGS101UEZWJPCJMSZ1ON,live,2018-01-09 17:23:01.902117,0.2,0,approved
5,2018-01-09 14:11:47.190844,,,,,,f,,participant,5,3MD9PLUKKJ7YSWJRRCDDKESB6JGZNN,5:3MD9PLUKKJ7YSWJRRCDDKESB6JGZNN,3GMLHYZ0LEQ8VCV12PIEWIFIBZRYUQ,live,2018-01-09 14:13:37.749989,0.2,0,approved
6,2018-01-09 15:15:18.756475,,,,,,f,,participant,6,3RWE2M8QWI31QBD1NI0LEFPPOC30N2,6:3RWE2M8QWI31QBD1NI0LEFPPOC30N2,3BJKPTD2QC5KYY4QOP0AJQ0JPY5TRS,live,2018-01-09 15:17:28.542147,0.2,0,approved
7,2018-01-09 15:48:06.760404,,,,,,f,,participant,7,3QECW5O0KIUYGV4MHKS949R8U20T5H,7:3QECW5O0KIUYGV4MHKS949R8U20T5H,38G0E1M85MYRRI0WXEVUPJBOTIQVUF,live,2018-01-09 15:50:52.954085,0.2,0,approved
8,2018-01-09 16:44:02.685338,,,,,,f,,participant,8,39GHHAVOMGKM694HRLVVXBYLW4GJ4Z,8:39GHHAVOMGKM694HRLVVXBYLW4GJ4Z,3X0EMNLXEPIEZDS0GSW0FDOPL10PVF,live,2018-01-09 16:45:40.919312,0.2,0,approved
11,2018-01-09 17:50:17.433823,,,,,,f,,participant,11,3VSOLARPKC2CI1845VZZYCSCMZG39B,11:3VSOLARPKC2CI1845VZZYCSCMZG39B,31D0ZWOD0ASRJ8LIOCQE4P94SJQA0V,live,2018-01-09 17:52:06.303062,0.2,0,approved
12,2018-01-09 17:53:07.667726,,,,,,f,,participant,12,358UUM7WR0W0NK5D1O2B2E4MXN9R7S,12:358UUM7WR0W0NK5D1O2B2E4MXN9R7S,3IV1AEQ4DR6K2QTPDMG6Q3I514WJ87,live,2018-01-09 17:54:42.003374,0.2,0,approved
13,2018-01-09 18:12:49.262097,,,,,,f,,participant,13,3TVSS0C0E2TSTEJ6DLFIU94LEZFWTC,13:3TVSS0C0E2TSTEJ6DLFIU94LEZFWTC,3BS6ERDL930KVQA9ABXX3RR1QP96DU,live,2018-01-09 18:14:59.962634,0.2,0,approved
17,2018-01-09 19:02:53.927478,,,,,,f,,participant,17,30MVJZJNHN6N3FAT8GRMEJ91IXB9J4,17:30MVJZJNHN6N3FAT8GRMEJ91IXB9J4,3M0556243SDP0VUX0YE4T2G8XSFFNP,live,2018-01-09 19:04:49.893164,0.2,0,approved
14,2018-01-09 18:27:15.904618,,,,,,f,,participant,14,3G0WWMR1UWDPE4I04GU0TLG71GEQN3,14:3G0WWMR1UWDPE4I04GU0TLG71GEQN3,3NQUW096N61QBL0ZLZYX6EQ8PZJ9LO,live,2018-01-09 18:28:28.670431,0.2,0,approved
15,2018-01-09 18:30:04.499652,,,,,,f,,participant,15,3XXU1SWE8NOU6SJCEEVGS95PP6JA09,15:3XXU1SWE8NOU6SJCEEVGS95PP6JA09,3YD0MU1NC2U51JL29BBNJ4JR0XXA7W,live,2018-01-09 18:35:14.830501,0.2,0,approved
