id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-09 12:59:50.325078,,,,,,f,,question,1,1,engagement,10
2,2018-01-09 13:07:00.996818,,,,,,f,,question,2,1,engagement,9
3,2018-01-09 13:07:01.309573,,,,,,f,,question,2,2,difficulty,5
4,2018-01-09 13:07:01.574978,,,,,,f,,question,2,3,"",""
5,2018-01-09 13:07:01.932069,,,,,,f,,question,2,4,"",""
6,2018-01-09 13:48:25.564293,,,,,,f,,question,3,1,engagement,10
7,2018-01-09 14:10:07.14244,,,,,,f,,question,4,1,engagement,9
8,2018-01-09 14:10:07.210541,,,,,,f,,question,4,2,difficulty,2
9,2018-01-09 14:10:07.301712,,,,,,f,,question,4,3,"",""
10,2018-01-09 14:10:07.374858,,,,,,f,,question,4,4,"",""
11,2018-01-09 14:13:22.718494,,,,,,f,,question,5,1,engagement,10
12,2018-01-09 14:13:22.85405,,,,,,f,,question,5,2,difficulty,3
13,2018-01-09 14:13:23.040977,,,,,,f,,question,5,3,"",""
14,2018-01-09 15:17:06.932525,,,,,,f,,question,6,1,engagement,10
15,2018-01-09 15:17:07.094192,,,,,,f,,question,6,2,difficulty,2
16,2018-01-09 15:17:08.21773,,,,,,f,,question,6,3,"",""
17,2018-01-09 15:17:08.526776,,,,,,f,,question,6,4,"",""
18,2018-01-09 15:50:41.086556,,,,,,f,,question,7,1,engagement,5
19,2018-01-09 15:50:41.343807,,,,,,f,,question,7,2,difficulty,8
20,2018-01-09 15:50:41.722517,,,,,,f,,question,7,3,"",""
21,2018-01-09 16:45:19.375526,,,,,,f,,question,8,1,engagement,9
22,2018-01-09 16:48:04.965344,,,,,,f,,question,9,1,engagement,9
23,2018-01-09 16:48:05.490308,,,,,,f,,question,9,2,difficulty,1
24,2018-01-09 16:48:05.952327,,,,,,f,,question,9,3,"",""
25,2018-01-09 17:22:46.28661,,,,,,f,,question,10,1,engagement,10
26,2018-01-09 17:22:46.441949,,,,,,f,,question,10,2,difficulty,1
27,2018-01-09 17:51:51.780516,,,,,,f,,question,11,1,engagement,10
28,2018-01-09 17:51:51.951292,,,,,,f,,question,11,2,difficulty,1
29,2018-01-09 17:51:52.148609,,,,,,f,,question,11,3,"",""
30,2018-01-09 17:51:52.36295,,,,,,f,,question,11,4,"",""
31,2018-01-09 17:54:17.805586,,,,,,f,,question,12,1,engagement,9
32,2018-01-09 17:54:18.275505,,,,,,f,,question,12,2,difficulty,2
33,2018-01-09 18:14:53.135228,,,,,,f,,question,13,1,engagement,10
34,2018-01-09 18:14:56.452411,,,,,,f,,question,13,2,difficulty,10
35,2018-01-09 18:28:04.611034,,,,,,f,,question,14,1,engagement,5
36,2018-01-09 18:34:59.928649,,,,,,f,,question,15,1,engagement,7
37,2018-01-09 18:35:00.094579,,,,,,f,,question,15,2,difficulty,4
38,2018-01-09 18:35:00.271762,,,,,,f,,question,15,3,"",""
39,2018-01-09 18:35:00.900208,,,,,,f,,question,15,4,"",""
40,2018-01-09 19:03:51.258073,,,,,,f,,question,17,1,engagement,10
41,2018-01-09 19:03:51.396975,,,,,,f,,question,17,2,difficulty,7
