id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-01-09 12:59:19.378561,,,,,,f,,1,1,1,3,1,2018-01-09 12:59:19.422791,received
2,2018-01-09 12:59:19.415338,,,,,,f,,1,2,1,3,1,2018-01-09 12:59:19.422859,received
3,2018-01-09 12:59:28.557088,,,,,,f,,2,4,2,4,2,2018-01-09 12:59:28.594885,received
4,2018-01-09 12:59:28.589326,,,,,,f,,2,5,2,4,2,2018-01-09 12:59:28.594915,received
6,2018-01-09 13:05:46.697071,,,,,,f,,2,8,2,4,2,,pending
5,2018-01-09 13:05:46.661241,,,,,,f,,3,7,2,5,2,2018-01-09 13:05:46.704401,received
7,2018-01-09 13:05:46.698986,,,,,,f,,3,8,2,5,2,2018-01-09 13:05:46.70444,received
9,2018-01-09 13:06:20.344492,,,,,,f,,1,11,1,3,1,,pending
8,2018-01-09 13:06:20.309218,,,,,,f,,4,10,1,6,1,2018-01-09 13:06:20.354641,received
10,2018-01-09 13:06:20.34672,,,,,,f,,4,11,1,6,1,2018-01-09 13:06:20.354698,received
12,2018-01-09 13:47:34.939868,,,,,,f,,2,14,2,4,2,,pending
14,2018-01-09 13:47:34.943566,,,,,,f,,3,14,2,5,2,,pending
11,2018-01-09 13:47:34.908485,,,,,,f,,5,13,2,7,2,2018-01-09 13:47:34.952389,received
13,2018-01-09 13:47:34.941831,,,,,,f,,5,14,2,7,2,2018-01-09 13:47:34.952448,received
17,2018-01-09 13:47:59.951216,,,,,,f,,1,17,1,3,1,,pending
18,2018-01-09 13:47:59.952955,,,,,,f,,4,17,1,6,1,,pending
15,2018-01-09 13:47:59.919667,,,,,,f,,6,16,1,8,1,2018-01-09 13:47:59.958088,received
16,2018-01-09 13:47:59.949517,,,,,,f,,6,17,1,8,1,2018-01-09 13:47:59.95812,received
20,2018-01-09 14:09:39.513287,,,,,,f,,2,20,2,4,2,,pending
22,2018-01-09 14:09:39.51656,,,,,,f,,3,20,2,5,2,,pending
23,2018-01-09 14:09:39.518091,,,,,,f,,5,20,2,7,2,,pending
19,2018-01-09 14:09:39.480129,,,,,,f,,7,19,2,9,2,2018-01-09 14:09:39.523908,received
21,2018-01-09 14:09:39.515026,,,,,,f,,7,20,2,9,2,2018-01-09 14:09:39.523939,received
25,2018-01-09 14:09:53.162877,,,,,,f,,1,23,1,3,1,,pending
27,2018-01-09 14:09:53.209673,,,,,,f,,6,23,1,8,1,,pending
28,2018-01-09 14:09:53.21448,,,,,,f,,4,23,1,6,1,,pending
24,2018-01-09 14:09:52.95955,,,,,,f,,8,22,1,10,1,2018-01-09 14:09:53.261632,received
26,2018-01-09 14:09:53.205435,,,,,,f,,8,23,1,10,1,2018-01-09 14:09:53.261702,received
29,2018-01-09 14:12:39.561507,,,,,,f,,9,18,8,11,1,2018-01-09 14:12:39.607272,received
30,2018-01-09 14:12:39.600591,,,,,,f,,9,18,8,11,1,2018-01-09 14:12:39.607325,received
31,2018-01-09 14:12:58.448218,,,,,,f,,10,21,9,12,2,2018-01-09 14:12:58.640401,received
32,2018-01-09 14:12:58.603254,,,,,,f,,10,21,9,12,2,2018-01-09 14:12:58.640471,received
33,2018-01-09 15:16:09.269114,,,,,,f,,11,15,7,13,2,2018-01-09 15:16:09.417255,received
