id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-20 07:55:39.812994,,,,,,f,,question,3,1,time,10
2,2018-01-20 07:55:39.888427,,,,,,f,,question,3,2,multi-confusing,Could not really tell what I was equipping the spaceship with
3,2018-01-20 07:55:40.122875,,,,,,f,,question,3,3,"",""
4,2018-01-20 07:55:40.213413,,,,,,f,,question,3,4,"",""
5,2018-01-20 08:39:05.346363,,,,,,f,,question,5,1,time,7
6,2018-01-20 08:39:05.538763,,,,,,f,,question,5,2,multi-confusing,all of it
7,2018-01-20 08:39:06.113657,,,,,,f,,question,5,3,"",""
8,2018-01-20 08:39:06.258521,,,,,,f,,question,5,4,"",""
9,2018-01-20 08:47:17.75104,,,,,,f,,question,6,1,time,5
10,2018-01-20 08:47:17.817572,,,,,,f,,question,6,2,multi-confusing,I don't really understand the point of that. It didn't let me select/deselect other options for the remaining 3 flights for each round so all I could really do was pick a few parts and hit next. Unsure if that is how it was supposed to be or not!
11,2018-01-20 08:47:17.873727,,,,,,f,,question,6,3,"",""
12,2018-01-20 08:47:17.928556,,,,,,f,,question,6,4,"",""
13,2018-01-20 08:57:33.583886,,,,,,f,,question,8,1,time,15
14,2018-01-20 08:57:33.695709,,,,,,f,,question,8,2,multi-confusing,I didn't know what the parts were
15,2018-01-20 08:57:33.817052,,,,,,f,,question,8,3,"",""
16,2018-01-20 08:57:33.912932,,,,,,f,,question,8,4,"",""
17,2018-01-20 09:06:29.188789,,,,,,f,,question,9,1,time,7
18,2018-01-20 09:06:29.534012,,,,,,f,,question,9,2,multi-confusing,"I was a bit confused the first round as I thought I could change the parts between each flight, but I figured it out by the second spaceship."
19,2018-01-20 09:06:29.876776,,,,,,f,,question,9,3,"",""
20,2018-01-20 09:06:30.228077,,,,,,f,,question,9,4,"",""
21,2018-01-20 09:15:42.100104,,,,,,f,,question,10,1,time,5
22,2018-01-20 09:15:42.381707,,,,,,f,,question,10,2,multi-confusing,"was under the impression i would be able to select/deselect items between flights, but apparently not"
23,2018-01-20 09:15:42.598117,,,,,,f,,question,10,3,"",""
24,2018-01-20 09:15:42.871605,,,,,,f,,question,10,4,"",""
25,2018-01-20 09:55:06.61174,,,,,,f,,question,11,1,time,15
26,2018-01-20 09:55:06.881249,,,,,,f,,question,11,2,multi-confusing,no
27,2018-01-20 09:55:07.171587,,,,,,f,,question,11,3,"",""
28,2018-01-20 09:55:07.456061,,,,,,f,,question,11,4,"",""
29,2018-01-20 11:00:01.64395,,,,,,f,,question,13,1,time,15
30,2018-01-20 11:00:01.915953,,,,,,f,,question,13,2,multi-confusing,no
31,2018-01-20 11:00:02.190169,,,,,,f,,question,13,3,"",""
32,2018-01-20 11:00:02.478383,,,,,,f,,question,13,4,"",""
33,2018-01-20 11:44:22.896607,,,,,,f,,question,14,1,time,12
34,2018-01-20 11:44:23.308915,,,,,,f,,question,14,2,multi-confusing,No
35,2018-01-20 11:44:23.876856,,,,,,f,,question,14,3,"",""
36,2018-01-20 11:44:24.276213,,,,,,f,,question,14,4,"",""
37,2018-01-20 11:52:22.338324,,,,,,f,,question,15,1,time,5
38,2018-01-20 11:52:22.40039,,,,,,f,,question,15,2,multi-confusing,The only thing I found confusing would be the purpose of the study.
39,2018-01-20 11:52:22.454482,,,,,,f,,question,15,3,"",""
40,2018-01-20 11:52:22.505235,,,,,,f,,question,15,4,"",""
41,2018-01-20 12:39:52.263951,,,,,,f,,question,16,1,time,0
42,2018-01-20 12:39:52.318991,,,,,,f,,question,16,2,multi-confusing,not really
43,2018-01-20 12:39:52.3759,,,,,,f,,question,16,3,"",""
44,2018-01-20 12:39:52.431755,,,,,,f,,question,16,4,"",""
45,2018-01-20 12:45:26.61123,,,,,,f,,question,17,1,time,10
46,2018-01-20 12:45:26.71377,,,,,,f,,question,17,2,multi-confusing,yes everything.
47,2018-01-20 12:45:26.805056,,,,,,f,,question,17,3,"",""
48,2018-01-20 12:45:26.914187,,,,,,f,,question,17,4,"",""
49,2018-01-20 12:56:06.076831,,,,,,f,,question,18,1,time,7
50,2018-01-20 12:56:06.193024,,,,,,f,,question,18,2,multi-confusing,NO
51,2018-01-20 12:56:06.284082,,,,,,f,,question,18,3,"",""
52,2018-01-20 12:56:06.361674,,,,,,f,,question,18,4,"",""
53,2018-01-20 13:19:33.027204,,,,,,f,,question,19,1,time,12
54,2018-01-20 13:19:33.134225,,,,,,f,,question,19,2,multi-confusing,"no I did not, it was fun and interesting"
55,2018-01-20 13:19:33.49297,,,,,,f,,question,19,3,"",""
56,2018-01-20 13:19:33.587066,,,,,,f,,question,19,4,"",""
57,2018-01-20 13:43:54.083438,,,,,,f,,question,20,1,time,5
58,2018-01-20 13:43:54.145614,,,,,,f,,question,20,2,multi-confusing,"Not confusing, but maybe impossible for this mind. There appeared to be no rhyme nor reason although I tried to deduce one."
59,2018-01-20 13:43:54.206375,,,,,,f,,question,20,3,"",""
60,2018-01-20 13:43:54.266037,,,,,,f,,question,20,4,"",""
61,2018-01-20 13:48:48.331952,,,,,,f,,question,21,1,time,0
62,2018-01-20 13:48:48.419937,,,,,,f,,question,21,2,multi-confusing,no it was interesting to watch the different parts work 
63,2018-01-20 13:48:48.49458,,,,,,f,,question,21,3,"",""
64,2018-01-20 13:48:48.565217,,,,,,f,,question,21,4,"",""
65,2018-01-20 14:03:35.78787,,,,,,f,,question,22,1,time,5
66,2018-01-20 14:03:35.975575,,,,,,f,,question,22,2,multi-confusing,I didn't know how the scoring worked.
67,2018-01-20 14:03:36.15575,,,,,,f,,question,22,3,"",onlhphabpmijgblopkcjmphbbmeliagn
68,2018-01-20 14:03:36.317604,,,,,,f,,question,22,4,"",""
69,2018-01-20 14:03:36.508116,,,,,,f,,question,22,5,"",""
70,2018-01-20 14:07:58.976187,,,,,,f,,question,23,1,time,7
71,2018-01-20 14:07:59.043483,,,,,,f,,question,23,2,multi-confusing,I was never able to determine a pattern for how the components fail
72,2018-01-20 14:07:59.134422,,,,,,f,,question,23,3,"",""
73,2018-01-20 14:07:59.225562,,,,,,f,,question,23,4,"",""
74,2018-01-20 14:36:37.647994,,,,,,f,,question,24,1,time,7
75,2018-01-20 14:36:37.709866,,,,,,f,,question,24,2,multi-confusing,Nothing was confusing
76,2018-01-20 14:36:37.770146,,,,,,f,,question,24,3,"",""
77,2018-01-20 14:36:37.841328,,,,,,f,,question,24,4,"",""
78,2018-01-20 15:07:39.832375,,,,,,f,,question,26,1,time,12
79,2018-01-20 15:07:39.897003,,,,,,f,,question,26,2,multi-confusing,no
80,2018-01-20 15:07:39.959699,,,,,,f,,question,26,3,"",""
81,2018-01-20 15:07:40.024294,,,,,,f,,question,26,4,"",""
82,2018-01-20 16:17:55.755849,,,,,,f,,question,27,1,time,10
83,2018-01-20 16:17:55.836023,,,,,,f,,question,27,2,multi-confusing,No
