id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-01-20 07:52:19.406459,,,,,,f,,1,1,1,9,1,2018-01-20 07:52:19.446553,received
2,2018-01-20 07:52:19.438155,,,,,,f,,1,2,1,9,1,2018-01-20 07:52:19.446613,received
3,2018-01-20 07:53:27.247691,,,,,,f,,2,4,2,10,2,2018-01-20 07:53:27.319348,received
4,2018-01-20 07:53:27.305333,,,,,,f,,2,5,2,10,2,2018-01-20 07:53:27.319425,received
5,2018-01-20 07:53:50.854421,,,,,,f,,3,7,3,11,3,2018-01-20 07:53:50.927785,received
6,2018-01-20 07:53:50.916211,,,,,,f,,3,8,3,11,3,2018-01-20 07:53:50.92786,received
7,2018-01-20 07:54:04.809411,,,,,,f,,4,10,4,12,4,2018-01-20 07:54:04.888739,received
8,2018-01-20 07:54:04.876476,,,,,,f,,4,11,4,12,4,2018-01-20 07:54:04.888815,received
9,2018-01-20 07:54:16.069254,,,,,,f,,5,13,7,13,7,2018-01-20 07:54:16.138801,received
10,2018-01-20 07:54:16.127918,,,,,,f,,5,14,7,13,7,2018-01-20 07:54:16.138879,received
11,2018-01-20 07:54:26.212646,,,,,,f,,6,16,6,14,6,2018-01-20 07:54:26.243094,received
12,2018-01-20 07:54:26.237363,,,,,,f,,6,17,6,14,6,2018-01-20 07:54:26.243148,received
13,2018-01-20 07:54:37.190456,,,,,,f,,7,19,5,15,5,2018-01-20 07:54:37.216583,received
14,2018-01-20 07:54:37.212101,,,,,,f,,7,20,5,15,5,2018-01-20 07:54:37.216613,received
15,2018-01-20 07:54:46.205909,,,,,,f,,8,22,8,16,8,2018-01-20 07:54:46.245895,received
16,2018-01-20 07:54:46.239422,,,,,,f,,8,23,8,16,8,2018-01-20 07:54:46.245955,received
19,2018-01-20 08:36:17.968149,,,,,,f,,1,26,1,9,1,,pending
17,2018-01-20 08:36:17.901466,,,,,,f,,9,25,1,17,1,2018-01-20 08:36:17.983452,received
18,2018-01-20 08:36:17.963904,,,,,,f,,9,26,1,17,1,2018-01-20 08:36:17.983502,received
22,2018-01-20 08:37:19.13069,,,,,,f,,2,29,2,10,2,,pending
20,2018-01-20 08:37:19.097707,,,,,,f,,10,28,2,18,2,2018-01-20 08:37:19.136151,received
21,2018-01-20 08:37:19.128319,,,,,,f,,10,29,2,18,2,2018-01-20 08:37:19.136194,received
24,2018-01-20 08:37:33.54457,,,,,,f,,3,32,3,11,3,,pending
23,2018-01-20 08:37:33.517671,,,,,,f,,11,31,3,19,3,2018-01-20 08:37:33.553061,received
25,2018-01-20 08:37:33.546685,,,,,,f,,11,32,3,19,3,2018-01-20 08:37:33.553099,received
28,2018-01-20 08:37:44.672369,,,,,,f,,4,35,4,12,4,,pending
26,2018-01-20 08:37:44.644189,,,,,,f,,12,34,4,20,4,2018-01-20 08:37:44.677922,received
27,2018-01-20 08:37:44.670205,,,,,,f,,12,35,4,20,4,2018-01-20 08:37:44.677965,received
30,2018-01-20 08:37:56.522562,,,,,,f,,6,38,6,14,6,,pending
29,2018-01-20 08:37:56.465424,,,,,,f,,13,37,6,21,6,2018-01-20 08:37:56.536565,received
31,2018-01-20 08:37:56.526301,,,,,,f,,13,38,6,21,6,2018-01-20 08:37:56.536613,received
33,2018-01-20 08:38:09.341133,,,,,,f,,7,41,5,15,5,,pending
32,2018-01-20 08:38:09.262796,,,,,,f,,14,40,5,22,5,2018-01-20 08:38:09.355942,received
34,2018-01-20 08:38:09.346227,,,,,,f,,14,41,5,22,5,2018-01-20 08:38:09.356029,received
37,2018-01-20 08:38:20.817881,,,,,,f,,5,44,7,13,7,,pending
