id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
1,2018-01-20 07:52:19.392243,,,,,,f,,1,9,1
2,2018-01-20 07:53:27.214046,,,,,,f,,2,10,2
3,2018-01-20 07:53:50.824595,,,,,,f,,3,11,3
4,2018-01-20 07:54:04.78466,,,,,,f,,4,12,4
5,2018-01-20 07:54:16.048504,,,,,,f,,7,13,7
6,2018-01-20 07:54:26.19313,,,,,,f,,6,14,6
7,2018-01-20 07:54:37.181976,,,,,,f,,5,15,5
8,2018-01-20 07:54:46.190429,,,,,,f,,8,16,8
9,2018-01-20 08:36:17.874942,,,,,,f,,1,17,1
10,2018-01-20 08:37:19.083948,,,,,,f,,2,18,2
11,2018-01-20 08:37:33.506512,,,,,,f,,3,19,3
12,2018-01-20 08:37:44.635158,,,,,,f,,4,20,4
13,2018-01-20 08:37:56.419069,,,,,,f,,6,21,6
14,2018-01-20 08:38:09.199936,,,,,,f,,5,22,5
15,2018-01-20 08:38:20.763035,,,,,,f,,7,23,7
16,2018-01-20 08:38:33.337957,,,,,,f,,8,24,8
17,2018-01-20 08:41:04.466287,,,,,,f,,1,25,1
18,2018-01-20 08:43:01.872157,,,,,,f,,2,26,2
19,2018-01-20 08:43:42.607133,,,,,,f,,3,27,3
20,2018-01-20 08:44:07.811515,,,,,,f,,4,28,4
21,2018-01-20 08:44:27.657533,,,,,,f,,8,29,8
22,2018-01-20 08:44:41.271142,,,,,,f,,5,30,5
23,2018-01-20 08:44:57.634665,,,,,,f,,6,31,6
24,2018-01-20 08:45:14.110538,,,,,,f,,7,32,7
25,2018-01-20 08:50:23.019429,,,,,,f,,1,33,1
26,2018-01-20 08:51:47.933543,,,,,,f,,2,34,2
27,2018-01-20 08:52:57.642427,,,,,,f,,3,35,3
28,2018-01-20 08:53:52.79323,,,,,,f,,4,36,4
29,2018-01-20 08:54:23.126243,,,,,,f,,5,37,5
30,2018-01-20 08:55:15.972069,,,,,,f,,6,38,6
31,2018-01-20 08:55:45.142438,,,,,,f,,8,39,8
32,2018-01-20 08:56:29.13466,,,,,,f,,7,40,7
33,2018-01-20 09:02:11.636331,,,,,,f,,1,41,1
34,2018-01-20 09:03:09.97123,,,,,,f,,2,42,2
35,2018-01-20 09:03:34.50222,,,,,,f,,3,43,3
36,2018-01-20 09:04:00.02137,,,,,,f,,4,44,4
37,2018-01-20 09:04:22.371116,,,,,,f,,5,45,5
38,2018-01-20 09:04:41.181017,,,,,,f,,6,46,6
39,2018-01-20 09:05:01.636691,,,,,,f,,8,47,8
40,2018-01-20 09:05:19.660987,,,,,,f,,7,48,7
41,2018-01-20 09:10:01.480073,,,,,,f,,1,49,1
42,2018-01-20 09:12:01.037143,,,,,,f,,2,50,2
43,2018-01-20 09:12:49.227989,,,,,,f,,3,51,3
44,2018-01-20 09:13:11.092893,,,,,,f,,4,52,4
45,2018-01-20 09:13:27.336537,,,,,,f,,5,53,5
46,2018-01-20 09:13:53.751472,,,,,,f,,6,54,6
47,2018-01-20 09:14:11.186935,,,,,,f,,8,55,8
48,2018-01-20 09:14:22.711827,,,,,,f,,7,56,7
49,2018-01-20 09:52:07.697719,,,,,,f,,1,57,1
50,2018-01-20 09:52:48.593112,,,,,,f,,2,58,2
51,2018-01-20 09:53:10.847298,,,,,,f,,3,59,3
52,2018-01-20 09:53:31.742459,,,,,,f,,4,60,4
53,2018-01-20 09:54:03.328362,,,,,,f,,8,61,8
54,2018-01-20 09:54:13.125246,,,,,,f,,6,62,6
55,2018-01-20 09:54:21.597662,,,,,,f,,7,63,7
56,2018-01-20 09:54:31.100709,,,,,,f,,5,64,5
57,2018-01-20 10:58:10.840738,,,,,,f,,1,65,1
58,2018-01-20 10:58:22.513422,,,,,,f,,2,66,2
59,2018-01-20 10:58:44.620744,,,,,,f,,3,67,3
60,2018-01-20 10:58:52.802281,,,,,,f,,4,68,4
61,2018-01-20 10:59:08.927788,,,,,,f,,7,69,7
62,2018-01-20 10:59:17.724247,,,,,,f,,5,70,5
63,2018-01-20 10:59:27.293348,,,,,,f,,8,71,8
64,2018-01-20 10:59:35.451548,,,,,,f,,6,72,6
65,2018-01-20 11:41:32.532588,,,,,,f,,1,73,1
66,2018-01-20 11:42:26.977175,,,,,,f,,2,74,2
67,2018-01-20 11:42:45.781621,,,,,,f,,3,75,3
68,2018-01-20 11:42:59.327251,,,,,,f,,4,76,4
69,2018-01-20 11:43:11.153412,,,,,,f,,7,77,7
70,2018-01-20 11:43:22.973814,,,,,,f,,6,78,6
71,2018-01-20 11:43:33.97683,,,,,,f,,8,79,8
72,2018-01-20 11:43:43.812892,,,,,,f,,5,80,5
73,2018-01-20 11:47:55.712856,,,,,,f,,1,81,1
74,2018-01-20 11:49:37.828196,,,,,,f,,2,82,2
75,2018-01-20 11:50:06.431114,,,,,,f,,3,83,3
76,2018-01-20 11:50:28.246382,,,,,,f,,4,84,4
77,2018-01-20 11:50:45.762247,,,,,,f,,8,85,8
78,2018-01-20 11:51:00.374322,,,,,,f,,5,86,5
79,2018-01-20 11:51:09.06739,,,,,,f,,7,87,7
80,2018-01-20 11:51:23.118333,,,,,,f,,6,88,6
81,2018-01-20 12:37:46.606785,,,,,,f,,1,89,1
