id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-01-29 00:03:55.69986,,,,,,f,,3LEP4MGT3HTTOMPYW4J72R9E2ENDBD,AssignmentAccepted
2,2018-01-29 01:03:59.560152,,,,,,f,,3LEP4MGT3HTTOMPYW4J72R9E2ENDBD,AssignmentAbandoned
3,2018-01-29 01:05:05.96764,,,,,,f,,3II4UPYCOK0GSSRNFMGXXG4DOEQQD4,AssignmentAccepted
4,2018-01-29 02:05:16.785702,,,,,,f,,3II4UPYCOK0GSSRNFMGXXG4DOEQQD4,AssignmentAbandoned
5,2018-01-29 02:06:13.37806,,,,,,f,,32M8BPYGAUF6NEDV44CWUZGOAWSGI4,AssignmentAccepted
6,2018-01-29 02:11:14.821288,,,,,,f,,32M8BPYGAUF6NEDV44CWUZGOAWSGI4,AssignmentSubmitted
7,2018-01-29 02:12:07.837426,,,,,,f,,3LEIZ60CDKSD3UFXQ2U82DXR2WZ9Z3,AssignmentAccepted
8,2018-01-29 02:36:41.511376,,,,,,f,,3LEIZ60CDKSD3UFXQ2U82DXR2WZ9Z3,AssignmentSubmitted
9,2018-01-29 02:36:59.116882,,,,,,f,,3B1NLC6UG0PY400ZHZ2G3WH0WAOGPH,AssignmentAccepted
10,2018-01-29 02:45:55.322625,,,,,,f,,3B1NLC6UG0PY400ZHZ2G3WH0WAOGPH,AssignmentSubmitted
11,2018-01-29 02:46:04.255408,,,,,,f,,3JJVG1YBECQYK9A5HY1O4FLMPXV5B3,AssignmentAccepted
12,2018-01-29 03:10:18.482104,,,,,,f,,3JJVG1YBECQYK9A5HY1O4FLMPXV5B3,AssignmentReturned
13,2018-01-29 03:10:19.959217,,,,,,f,,3JJVG1YBECQYK9A5HY1O4FLMPXV5B3,AssignmentAccepted
14,2018-01-29 03:15:14.289659,,,,,,f,,3JJVG1YBECQYK9A5HY1O4FLMPXV5B3,AssignmentSubmitted
15,2018-01-29 03:15:26.371128,,,,,,f,,37UQDCYH6YOSGRMUA87L3BTPJV77VR,AssignmentAccepted
16,2018-01-29 03:23:19.061739,,,,,,f,,37UQDCYH6YOSGRMUA87L3BTPJV77VR,AssignmentSubmitted
17,2018-01-29 03:23:23.502871,,,,,,f,,3LWJHTCVCDFDQC5J6SBNLG7Y0RBQFK,AssignmentAccepted
18,2018-01-29 03:36:47.044366,,,,,,f,,3LWJHTCVCDFDQC5J6SBNLG7Y0RBQFK,AssignmentSubmitted
19,2018-01-29 03:37:06.855515,,,,,,f,,32SVAV9L3G2QNKI9X1DZU73WTJLA3P,AssignmentAccepted
20,2018-01-29 04:20:17.528422,,,,,,f,,32SVAV9L3G2QNKI9X1DZU73WTJLA3P,AssignmentSubmitted
21,2018-01-29 04:20:35.973376,,,,,,f,,30X31N5D64JU713ONGE02FB8LZNASK,AssignmentAccepted
22,2018-01-29 04:37:41.344056,,,,,,f,,30X31N5D64JU713ONGE02FB8LZNASK,AssignmentSubmitted
23,2018-01-29 04:38:25.766608,,,,,,f,,3YDGXNSEO0NXMS8Y0HY48LP7HVM485,AssignmentAccepted
24,2018-01-29 04:53:34.252814,,,,,,f,,3YDGXNSEO0NXMS8Y0HY48LP7HVM485,AssignmentSubmitted
25,2018-01-29 04:53:52.310012,,,,,,f,,36WLNQG7803YGS3YSZUR89RZ2Q1EBK,AssignmentAccepted
26,2018-01-29 05:16:25.057047,,,,,,f,,36WLNQG7803YGS3YSZUR89RZ2Q1EBK,AssignmentSubmitted
27,2018-01-29 05:16:47.465899,,,,,,f,,3FFJ6VRIL2H9CA2AQ2NT97T83FCI0C,AssignmentAccepted
28,2018-01-29 05:29:07.59442,,,,,,f,,3FFJ6VRIL2H9CA2AQ2NT97T83FCI0C,AssignmentSubmitted
29,2018-01-29 05:29:16.183795,,,,,,f,,3KIBXJ1WD6NLLMKHSQAGCO43TMHOKJ,AssignmentAccepted
30,2018-01-29 05:46:02.011625,,,,,,f,,3KIBXJ1WD6NLLMKHSQAGCO43TMHOKJ,AssignmentSubmitted
31,2018-01-29 05:46:20.687329,,,,,,f,,3K3R2QNK8CWWHVLNKFV0LLIC0EU9UO,AssignmentAccepted
32,2018-01-29 06:19:07.289265,,,,,,f,,3K3R2QNK8CWWHVLNKFV0LLIC0EU9UO,AssignmentSubmitted
33,2018-01-29 06:19:18.756478,,,,,,f,,3BXQMRHWK0RBOF4H9OZ5Q7OW0D1MU0,AssignmentAccepted
34,2018-01-29 07:19:24.492396,,,,,,f,,3BXQMRHWK0RBOF4H9OZ5Q7OW0D1MU0,AssignmentAbandoned
35,2018-01-29 07:19:28.412704,,,,,,f,,3BXQMRHWK0RBOF4H9OZ5Q7OW0D1MU0,AssignmentAccepted
36,2018-01-29 08:19:51.935244,,,,,,f,,3BXQMRHWK0RBOF4H9OZ5Q7OW0D1MU0,AssignmentAbandoned
37,2018-01-29 08:20:11.209571,,,,,,f,,3VP0C6EFSHPQM4EGD612A1AGXRMM61,AssignmentAccepted
38,2018-01-29 09:20:38.381255,,,,,,f,,3VP0C6EFSHPQM4EGD612A1AGXRMM61,AssignmentAbandoned
39,2018-01-29 09:21:27.647783,,,,,,f,,33UKMF931AD01XFCIGA77PXMB7VTTM,AssignmentAccepted
40,2018-01-29 09:23:24.001539,,,,,,f,,33UKMF931AD01XFCIGA77PXMB7VTTM,AssignmentReturned
41,2018-01-29 09:24:13.624467,,,,,,f,,30LB5CDZND3V70RKQ6BF92WYZSKZ0W,AssignmentAccepted
42,2018-01-29 09:35:37.822466,,,,,,f,,30LB5CDZND3V70RKQ6BF92WYZSKZ0W,AssignmentSubmitted
43,2018-01-29 09:35:44.197073,,,,,,f,,3JJVG1YBECQYK9A5HY1O4FLMPXA5BI,AssignmentAccepted
44,2018-01-29 09:53:11.599792,,,,,,f,,3JJVG1YBECQYK9A5HY1O4FLMPXA5BI,AssignmentSubmitted
45,2018-01-29 09:53:38.021731,,,,,,f,,36ZN444YTSRUFRUTSNP4Z8PQ1IZIO9,AssignmentAccepted
46,2018-01-29 10:07:06.058103,,,,,,f,,36ZN444YTSRUFRUTSNP4Z8PQ1IZIO9,AssignmentSubmitted
47,2018-01-29 10:07:17.063816,,,,,,f,,3EA3QWIZ4JOASJZ1O4B3TIVD0QGTI6,AssignmentAccepted
48,2018-01-29 10:36:37.65204,,,,,,f,,3EA3QWIZ4JOASJZ1O4B3TIVD0QGTI6,AssignmentSubmitted
49,2018-01-29 10:36:51.565121,,,,,,f,,3UNH76FOCTYS5OOMJPWUTSU9W1IYMG,AssignmentAccepted
50,2018-01-29 10:44:48.503556,,,,,,f,,3UNH76FOCTYS5OOMJPWUTSU9W1IYMG,AssignmentSubmitted
51,2018-01-29 10:45:11.588595,,,,,,f,,3WR9XG3T644TME3FQC6YULTC6BP74U,AssignmentAccepted
52,2018-01-29 10:54:08.962444,,,,,,f,,3WR9XG3T644TME3FQC6YULTC6BP74U,AssignmentSubmitted
53,2018-01-29 10:54:25.864049,,,,,,f,,3B1NLC6UG0PY400ZHZ2G3WH0WA4PG6,AssignmentAccepted
54,2018-01-29 10:59:22.453474,,,,,,f,,3B1NLC6UG0PY400ZHZ2G3WH0WA4PG6,AssignmentSubmitted
55,2018-01-29 10:59:40.723611,,,,,,f,,3X1FV8S5JYKB9KXV3BBF9O6IIY5VGX,AssignmentAccepted
56,2018-01-29 11:18:03.471901,,,,,,f,,3X1FV8S5JYKB9KXV3BBF9O6IIY5VGX,AssignmentSubmitted
57,2018-01-29 11:18:25.561689,,,,,,f,,3SKEMFQBZ4YI0UX1L9LKF2E3EHMK8L,AssignmentAccepted
