,evidences,final_pops,net_evidences,nets,posteriors,probs,Experiment,exp_id
0,0.5,0.45,0.3333333333333333,4-d75786f7-data-2018-01-25-big-experiment,0.007648397776437493,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
1,0.75,0.7,0.75,4-d75786f7-data-2018-01-25-big-experiment,0.9993238180468095,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
2,0.0,0.35,0.4166666666666667,4-d75786f7-data-2018-01-25-big-experiment,0.08070617906683486,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
3,0.25,0.4,0.3611111111111111,4-d75786f7-data-2018-01-25-big-experiment,0.017045927454929853,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
4,0.5,0.5,0.4722222222222222,4-d75786f7-data-2018-01-25-big-experiment,0.30769230769230765,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
5,0.0,0.55,0.3333333333333333,4-d75786f7-data-2018-01-25-big-experiment,0.007648397776437493,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
6,0.5,0.5,0.5,4-d75786f7-data-2018-01-25-big-experiment,0.5,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
7,0.25,0.4,0.3611111111111111,4-d75786f7-data-2018-01-25-big-experiment,0.017045927454929853,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
8,0.5,0.2,0.3333333333333333,5-d75786f7-data-2018-01-25-big-experiment,0.007648397776437493,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
9,0.5,0.45,0.3333333333333333,5-d75786f7-data-2018-01-25-big-experiment,0.007648397776437493,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
10,0.75,0.7,0.6111111111111112,5-d75786f7-data-2018-01-25-big-experiment,0.9624468241161801,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
11,0.75,0.35,0.3888888888888889,5-d75786f7-data-2018-01-25-big-experiment,0.037553175883819886,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
12,0.5,0.45,0.5555555555555556,5-d75786f7-data-2018-01-25-big-experiment,0.8350515463917525,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
13,0.75,0.5,0.8055555555555556,5-d75786f7-data-2018-01-25-big-experiment,0.999866360679712,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
14,0.5,0.55,0.3888888888888889,5-d75786f7-data-2018-01-25-big-experiment,0.037553175883819886,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
15,0.25,0.3,0.3888888888888889,5-d75786f7-data-2018-01-25-big-experiment,0.037553175883819886,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
16,0.75,0.8,0.6666666666666666,6-d75786f7-data-2018-01-25-big-experiment,0.9923516022235626,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
17,0.0,0.4,0.4722222222222222,6-d75786f7-data-2018-01-25-big-experiment,0.30769230769230765,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
18,0.5,0.45,0.6388888888888888,6-d75786f7-data-2018-01-25-big-experiment,0.9829540725450702,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
19,0.25,0.4,0.3888888888888889,6-d75786f7-data-2018-01-25-big-experiment,0.037553175883819886,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
20,0.0,0.4,0.5,6-d75786f7-data-2018-01-25-big-experiment,0.5,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
21,0.5,0.7,0.5277777777777778,6-d75786f7-data-2018-01-25-big-experiment,0.6923076923076922,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
22,0.25,0.3,0.4166666666666667,6-d75786f7-data-2018-01-25-big-experiment,0.08070617906683486,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
23,0.75,0.65,0.5555555555555556,6-d75786f7-data-2018-01-25-big-experiment,0.8350515463917525,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
24,0.75,0.75,0.75,7-d75786f7-data-2018-01-25-big-experiment,0.9993238180468095,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
25,0.0,0.45,0.4166666666666667,7-d75786f7-data-2018-01-25-big-experiment,0.08070617906683486,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
26,0.5,0.55,0.3611111111111111,7-d75786f7-data-2018-01-25-big-experiment,0.017045927454929853,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
27,0.75,0.55,0.5833333333333334,7-d75786f7-data-2018-01-25-big-experiment,0.9192938209331651,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
28,0.5,0.25,0.3888888888888889,7-d75786f7-data-2018-01-25-big-experiment,0.037553175883819886,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
29,0.25,0.2,0.5555555555555556,7-d75786f7-data-2018-01-25-big-experiment,0.8350515463917525,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
30,0.5,0.5,0.3888888888888889,7-d75786f7-data-2018-01-25-big-experiment,0.037553175883819886,0.4,Experiment-1,d75786f7-data-2018-01-25-big-experiment
31,0.75,0.55,0.7222222222222222,7-d75786f7-data-2018-01-25-big-experiment,0.9984798754563001,0.6,Experiment-1,d75786f7-data-2018-01-25-big-experiment
0,0.75,0.4,0.3333333333333333,4-18a75a2d-data-2018-03-19-big-experiment,0.007648397776437493,0.4,Experiment-1,18a75a2d-data-2018-03-19-big-experiment
