,Up to Last Evidence,Total Evidence,Last Evidence,Posterior,Popularity,Class,Shift,Net,Game Net,Game,Nonsocial Probability Matching,Nonsocial Bayesian Probability Matching,Nonsocial Utility Maximizing,Naive Copying,Social Sampling (Probability Matching),Social Sampling (Bayesian)
0,0.75,0.875,1.0,0.9865125240847785,1.0,uthug,2,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.8,1.0,0.9524319500223115
1,0.25,0.375,0.5,0.32769310772430915,0.2,arpoep,2,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.15,0.4348611111111111,0.5012544870111191
2,0.5,0.625,0.75,0.856545378502719,0.9,azzitha,2,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.5,0.75,0.8205128205128205
3,0.75,0.75,0.75,0.9543336439888164,0.85,thuevil,2,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,1.0,0.8138500635324015,0.869487750556793
4,0.25,0.5,0.75,0.630444820686471,0.8,noviid,2,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.05,0.6814461118690314,0.7652423698384201
5,0.75,0.625,0.5,0.856545378502719,0.5,paked,2,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.8,0.5558333333333334,0.6204200276142724
6,0.25,0.5,0.75,0.630444820686471,0.85,cewab,2,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.1,0.6896758703481393,0.7720314960629922
7,0.75,0.625,0.5,0.856545378502719,0.5,edarti,2,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.8,0.5558333333333334,0.6204200276142724
8,0.875,0.8333333333333334,0.75,0.9970181950952355,0.85,uthug,3,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,1.0,0.8138500635324015,0.869487750556793
9,0.375,0.25,0.0,0.049401990668765286,0.0,arpoep,3,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.0,0.09634926608957475,0,0.2,0.0,0.07851247040275273
10,0.625,0.6666666666666666,0.75,0.9646584335487288,0.75,azzitha,3,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.9,0.8019648397104447,0.8605461638491548
11,0.75,0.6666666666666666,0.5,0.9646584335487288,0.3,thuevil,3,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.85,0.5651388888888889,0.6292749525777183
12,0.5,0.6666666666666666,1.0,0.9646584335487288,1.0,noviid,3,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.8,1.0,0.9524319500223115
