id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
31,2018-04-28 15:41:08.535287,,,,,,f,,participant,31,3ERMJ6L4DZL9Q4SLWG6UGFAC0FO7M1,31:3ERMJ6L4DZL9Q4SLWG6UGFAC0FO7M1,3WUVMVA7OBWOLTR8S636AOCQCQJZAO,live,2018-04-28 15:50:03.500775,1.8,0,approved
1,2018-04-27 21:01:35.159794,,,,,,f,,participant,1,3PJ71Z61R5VG8YUPIRLGAJDFXTI19Y,1:3PJ71Z61R5VG8YUPIRLGAJDFXTI19Y,38O9DZ0A62GXSGCTDMDG780XVYK62N,live,2018-04-27 21:06:16.817744,1.8,0,approved
30,2018-04-28 13:31:38.442051,,,,,,f,,participant,30,308Q0PEVB96R84QNQY6M2IU1EWMI92,30:308Q0PEVB96R84QNQY6M2IU1EWMI92,3KA7IJSNW6YZQZUUBB50E1UIK9XBPA,live,2018-04-28 13:38:55.12647,1.8,0,approved
2,2018-04-27 21:48:07.761911,,,,,,f,,participant,2,35GMH2SV3FAIZMS7W4ZDETRYH1BEOB,2:35GMH2SV3FAIZMS7W4ZDETRYH1BEOB,3BDORL6HKK63CH2F235KUG0F3CARCE,live,2018-04-27 21:52:10.84952,1.8,0,approved
22,2018-04-28 06:07:55.173512,,,,,,f,,participant,22,3ATTHHXXWBHH908LTEC0ILGJLY6IXC,22:3ATTHHXXWBHH908LTEC0ILGJLY6IXC,3Z3R5YC0P3GNV8ZHXU0G21M0OA7FTY,live,2018-04-28 06:15:48.495242,1.8,0,approved
3,2018-04-27 21:58:56.107301,,,,,,f,,participant,3,3IAS3U3I0G96LCRIZFZQ68IADZ42BV,3:3IAS3U3I0G96LCRIZFZQ68IADZ42BV,3KVQ0UJWPXENLSAMMNSI392M3A45WO,live,2018-04-27 22:07:23.094709,1.8,0,approved
4,2018-04-27 22:11:56.245762,,,,,,f,,participant,4,358UUM7WR0W0NK5D1O2B2E4M61TR7D,4:358UUM7WR0W0NK5D1O2B2E4M61TR7D,3MWOYZD5WVHJ687QZ1XUGWPMRT5NOK,live,2018-04-27 22:25:20.47127,,,returned
32,2018-04-28 18:19:26.761031,,,,,,f,,participant,32,3SITXWYCNW27MSUFN4KJWYC6Q94BXG,32:3SITXWYCNW27MSUFN4KJWYC6Q94BXG,3CZH926SIC7B89KVNIF2CBP8WAGE4O,live,2018-04-28 18:40:28.786737,1.8,0,approved
6,2018-04-27 22:45:02.620932,,,,,,f,,participant,6,358UUM7WR0W0NK5D1O2B2E4M61TR7D,6:358UUM7WR0W0NK5D1O2B2E4M61TR7D,3MWOYZD5WVHJ687QZ1XUGWPMRT5NOK,live,2018-04-27 22:56:05.823484,1.8,0,approved
33,2018-04-28 19:43:37.313398,,,,,,f,,participant,33,3DY4FPOOA2H2YA69JM5R8SKPSK2RV9,33:3DY4FPOOA2H2YA69JM5R8SKPSK2RV9,3PCPFX4U40JA3S7PGQ6LXWBD43EQF1,live,2018-04-28 19:53:10.649914,1.8,0,approved
