id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-04-27 21:02:46.735786,,,,,,f,,1,1,1,9,1,2018-04-27 21:02:46.78247,received
2,2018-04-27 21:02:46.773522,,,,,,f,,1,2,1,9,1,2018-04-27 21:02:46.782533,received
3,2018-04-27 21:03:39.751085,,,,,,f,,2,4,2,10,2,2018-04-27 21:03:39.780698,received
4,2018-04-27 21:03:39.774661,,,,,,f,,2,5,2,10,2,2018-04-27 21:03:39.780739,received
5,2018-04-27 21:03:58.682954,,,,,,f,,3,7,3,11,3,2018-04-27 21:03:58.778851,received
6,2018-04-27 21:03:58.76745,,,,,,f,,3,8,3,11,3,2018-04-27 21:03:58.778924,received
7,2018-04-27 21:04:14.711176,,,,,,f,,4,10,4,12,4,2018-04-27 21:04:14.740411,received
8,2018-04-27 21:04:14.734246,,,,,,f,,4,11,4,12,4,2018-04-27 21:04:14.740458,received
9,2018-04-27 21:04:33.225808,,,,,,f,,5,13,8,13,8,2018-04-27 21:04:33.26039,received
10,2018-04-27 21:04:33.254779,,,,,,f,,5,14,8,13,8,2018-04-27 21:04:33.260437,received
11,2018-04-27 21:04:48.869215,,,,,,f,,6,16,7,14,7,2018-04-27 21:04:48.906844,received
12,2018-04-27 21:04:48.901041,,,,,,f,,6,17,7,14,7,2018-04-27 21:04:48.906877,received
13,2018-04-27 21:05:02.07414,,,,,,f,,7,19,6,15,6,2018-04-27 21:05:02.129138,received
14,2018-04-27 21:05:02.121259,,,,,,f,,7,20,6,15,6,2018-04-27 21:05:02.129207,received
15,2018-04-27 21:05:17.373365,,,,,,f,,8,22,5,16,5,2018-04-27 21:05:17.40471,received
16,2018-04-27 21:05:17.398037,,,,,,f,,8,23,5,16,5,2018-04-27 21:05:17.404776,received
18,2018-04-27 21:48:40.612534,,,,,,f,,1,26,1,9,1,,pending
17,2018-04-27 21:48:40.582224,,,,,,f,,9,25,1,17,1,2018-04-27 21:48:40.619537,received
19,2018-04-27 21:48:40.614415,,,,,,f,,9,26,1,17,1,2018-04-27 21:48:40.61959,received
21,2018-04-27 21:49:32.236688,,,,,,f,,2,29,2,10,2,,pending
20,2018-04-27 21:49:32.172811,,,,,,f,,10,28,2,18,2,2018-04-27 21:49:32.248851,received
22,2018-04-27 21:49:32.239299,,,,,,f,,10,29,2,18,2,2018-04-27 21:49:32.248916,received
24,2018-04-27 21:49:47.328119,,,,,,f,,3,32,3,11,3,,pending
23,2018-04-27 21:49:47.302589,,,,,,f,,11,31,3,19,3,2018-04-27 21:49:47.334745,received
25,2018-04-27 21:49:47.329647,,,,,,f,,11,32,3,19,3,2018-04-27 21:49:47.334786,received
27,2018-04-27 21:50:00.598603,,,,,,f,,4,35,4,12,4,,pending
26,2018-04-27 21:50:00.561773,,,,,,f,,12,34,4,20,4,2018-04-27 21:50:00.609012,received
28,2018-04-27 21:50:00.601298,,,,,,f,,12,35,4,20,4,2018-04-27 21:50:00.609088,received
30,2018-04-27 21:50:16.480323,,,,,,f,,6,38,7,14,7,,pending
29,2018-04-27 21:50:16.453626,,,,,,f,,13,37,7,21,7,2018-04-27 21:50:16.487,received
31,2018-04-27 21:50:16.482011,,,,,,f,,13,38,7,21,7,2018-04-27 21:50:16.487035,received
33,2018-04-27 21:50:33.305821,,,,,,f,,7,41,6,15,6,,pending
32,2018-04-27 21:50:33.28387,,,,,,f,,14,40,6,22,6,2018-04-27 21:50:33.312304,received
34,2018-04-27 21:50:33.307225,,,,,,f,,14,41,6,22,6,2018-04-27 21:50:33.31234,received
36,2018-04-27 21:50:45.967695,,,,,,f,,5,44,8,13,8,,pending
35,2018-04-27 21:50:45.935336,,,,,,f,,15,43,8,23,8,2018-04-27 21:50:45.977675,received
37,2018-04-27 21:50:45.969869,,,,,,f,,15,44,8,23,8,2018-04-27 21:50:45.97776,received
39,2018-04-27 21:51:00.474933,,,,,,f,,8,47,5,16,5,,pending
38,2018-04-27 21:51:00.417399,,,,,,f,,16,46,5,24,5,2018-04-27 21:51:00.495122,received
40,2018-04-27 21:51:00.479493,,,,,,f,,16,47,5,24,5,2018-04-27 21:51:00.495295,received
42,2018-04-27 22:01:23.303914,,,,,,f,,1,50,1,9,1,,pending
44,2018-04-27 22:01:23.307222,,,,,,f,,9,50,1,17,1,,pending
41,2018-04-27 22:01:23.268011,,,,,,f,,17,49,1,25,1,2018-04-27 22:01:23.313011,received
43,2018-04-27 22:01:23.305703,,,,,,f,,17,50,1,25,1,2018-04-27 22:01:23.31305,received
46,2018-04-27 22:02:53.164834,,,,,,f,,2,53,2,10,2,,pending
47,2018-04-27 22:02:53.167268,,,,,,f,,10,53,2,18,2,,pending
45,2018-04-27 22:02:53.115801,,,,,,f,,18,52,2,26,2,2018-04-27 22:02:53.180599,received
48,2018-04-27 22:02:53.169285,,,,,,f,,18,53,2,26,2,2018-04-27 22:02:53.180664,received
50,2018-04-27 22:03:34.591412,,,,,,f,,3,56,3,11,3,,pending
51,2018-04-27 22:03:34.593821,,,,,,f,,11,56,3,19,3,,pending
49,2018-04-27 22:03:34.528948,,,,,,f,,19,55,3,27,3,2018-04-27 22:03:34.606789,received
52,2018-04-27 22:03:34.59578,,,,,,f,,19,56,3,27,3,2018-04-27 22:03:34.606846,received
54,2018-04-27 22:04:04.443276,,,,,,f,,4,59,4,12,4,,pending
55,2018-04-27 22:04:04.445886,,,,,,f,,12,59,4,20,4,,pending
53,2018-04-27 22:04:04.398225,,,,,,f,,20,58,4,28,4,2018-04-27 22:04:04.464907,received
56,2018-04-27 22:04:04.448599,,,,,,f,,20,59,4,28,4,2018-04-27 22:04:04.464947,received
58,2018-04-27 22:04:37.992072,,,,,,f,,16,62,5,24,5,,pending
59,2018-04-27 22:04:37.993896,,,,,,f,,8,62,5,16,5,,pending
57,2018-04-27 22:04:37.968849,,,,,,f,,21,61,5,29,5,2018-04-27 22:04:38.0024,received
60,2018-04-27 22:04:37.995383,,,,,,f,,21,62,5,29,5,2018-04-27 22:04:38.002471,received
