id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-03-13 05:56:59.57054,,,,,,f,,1,1,1,9,1,2018-03-13 05:56:59.613596,received
2,2018-03-13 05:56:59.606546,,,,,,f,,1,2,1,9,1,2018-03-13 05:56:59.613644,received
3,2018-03-13 05:58:29.828903,,,,,,f,,2,4,2,10,2,2018-03-13 05:58:29.868463,received
4,2018-03-13 05:58:29.860963,,,,,,f,,2,5,2,10,2,2018-03-13 05:58:29.868509,received
5,2018-03-13 05:58:58.751061,,,,,,f,,3,7,3,11,3,2018-03-13 05:58:58.780783,received
6,2018-03-13 05:58:58.776445,,,,,,f,,3,8,3,11,3,2018-03-13 05:58:58.780816,received
7,2018-03-13 05:59:33.884218,,,,,,f,,4,10,4,12,4,2018-03-13 05:59:33.909674,received
8,2018-03-13 05:59:33.904659,,,,,,f,,4,11,4,12,4,2018-03-13 05:59:33.90973,received
9,2018-03-13 06:00:20.777167,,,,,,f,,5,13,6,13,6,2018-03-13 06:00:20.826109,received
10,2018-03-13 06:00:20.817705,,,,,,f,,5,14,6,13,6,2018-03-13 06:00:20.826197,received
11,2018-03-13 06:00:41.829168,,,,,,f,,6,16,5,14,5,2018-03-13 06:00:41.939008,received
12,2018-03-13 06:00:41.926787,,,,,,f,,6,17,5,14,5,2018-03-13 06:00:41.939082,received
13,2018-03-13 06:00:58.763042,,,,,,f,,7,19,7,15,7,2018-03-13 06:00:58.789881,received
14,2018-03-13 06:00:58.784618,,,,,,f,,7,20,7,15,7,2018-03-13 06:00:58.789942,received
15,2018-03-13 06:01:13.250856,,,,,,f,,8,22,8,16,8,2018-03-13 06:01:13.300247,received
16,2018-03-13 06:01:13.292662,,,,,,f,,8,23,8,16,8,2018-03-13 06:01:13.300307,received
18,2018-03-13 07:37:49.381052,,,,,,f,,1,26,1,9,1,,pending
17,2018-03-13 07:37:49.355095,,,,,,f,,9,25,1,17,1,2018-03-13 07:37:49.388469,received
19,2018-03-13 07:37:49.383033,,,,,,f,,9,26,1,17,1,2018-03-13 07:37:49.388505,received
22,2018-03-13 07:38:41.517377,,,,,,f,,2,29,2,10,2,,pending
20,2018-03-13 07:38:41.490672,,,,,,f,,10,28,2,18,2,2018-03-13 07:38:41.522493,received
21,2018-03-13 07:38:41.515269,,,,,,f,,10,29,2,18,2,2018-03-13 07:38:41.522525,received
24,2018-03-13 07:39:01.849897,,,,,,f,,3,32,3,11,3,,pending
23,2018-03-13 07:39:01.823039,,,,,,f,,11,31,3,19,3,2018-03-13 07:39:01.858245,received
25,2018-03-13 07:39:01.852065,,,,,,f,,11,32,3,19,3,2018-03-13 07:39:01.85828,received
27,2018-03-13 07:39:18.33784,,,,,,f,,4,35,4,12,4,,pending
26,2018-03-13 07:39:18.28978,,,,,,f,,12,34,4,20,4,2018-03-13 07:39:18.401224,received
28,2018-03-13 07:39:18.369617,,,,,,f,,12,35,4,20,4,2018-03-13 07:39:18.40129,received
30,2018-03-13 07:39:32.073022,,,,,,f,,7,38,7,15,7,,pending
29,2018-03-13 07:39:32.026065,,,,,,f,,13,37,7,21,7,2018-03-13 07:39:32.081401,received
31,2018-03-13 07:39:32.075184,,,,,,f,,13,38,7,21,7,2018-03-13 07:39:32.081445,received
33,2018-03-13 07:39:46.206575,,,,,,f,,8,41,8,16,8,,pending
32,2018-03-13 07:39:46.165506,,,,,,f,,14,40,8,22,8,2018-03-13 07:39:46.216783,received
34,2018-03-13 07:39:46.209096,,,,,,f,,14,41,8,22,8,2018-03-13 07:39:46.216844,received
37,2018-03-13 07:39:58.253938,,,,,,f,,6,44,5,14,5,,pending
35,2018-03-13 07:39:58.227118,,,,,,f,,15,43,5,23,5,2018-03-13 07:39:58.258464,received
36,2018-03-13 07:39:58.252062,,,,,,f,,15,44,5,23,5,2018-03-13 07:39:58.258495,received
