id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-05-04 19:04:37.76593,,,,,,f,,3Q5ZZ9ZEVP8FIBCYEMHEDDVLPQK58K,AssignmentAccepted
2,2018-05-04 20:04:58.810345,,,,,,f,,3Q5ZZ9ZEVP8FIBCYEMHEDDVLPQK58K,AssignmentAbandoned
3,2018-05-04 20:05:01.949853,,,,,,f,,3Q5ZZ9ZEVP8FIBCYEMHEDDVLPQK58K,AssignmentAccepted
4,2018-05-04 20:17:31.600919,,,,,,f,,3Q5ZZ9ZEVP8FIBCYEMHEDDVLPQK58K,AssignmentSubmitted
5,2018-05-04 20:17:42.107248,,,,,,f,,3WJ1OXY92B9COHOF9I8VLOB7H4OA8Y,AssignmentAccepted
6,2018-05-04 20:27:55.861775,,,,,,f,,3WJ1OXY92B9COHOF9I8VLOB7H4OA8Y,AssignmentSubmitted
7,2018-05-04 20:28:12.20383,,,,,,f,,3DUZQ9U6SNHEZP6MYB5WY2PLE8WSVH,AssignmentAccepted
8,2018-05-04 20:36:58.203016,,,,,,f,,3DUZQ9U6SNHEZP6MYB5WY2PLE8WSVH,AssignmentSubmitted
9,2018-05-04 20:37:26.116092,,,,,,f,,3GFK2QRXXAAQ8C8GCPXKRTY77XR5W3,AssignmentAccepted
10,2018-05-04 20:46:46.513926,,,,,,f,,3GFK2QRXXAAQ8C8GCPXKRTY77XR5W3,AssignmentSubmitted
11,2018-05-04 20:47:04.108135,,,,,,f,,31Q0U3WYDQ8CUF6W3UNWWNM92QD71L,AssignmentAccepted
12,2018-05-04 21:21:59.294178,,,,,,f,,31Q0U3WYDQ8CUF6W3UNWWNM92QD71L,AssignmentSubmitted
13,2018-05-04 21:22:12.426113,,,,,,f,,31QNSG6A5SMU5FQH2FWBBX9HGWL878,AssignmentAccepted
14,2018-05-04 22:22:28.088176,,,,,,f,,31QNSG6A5SMU5FQH2FWBBX9HGWL878,AssignmentAbandoned
15,2018-05-04 22:23:15.028812,,,,,,f,,3V5Q80FXIYK1IHN5KMKKOPKYPVC322,AssignmentAccepted
16,2018-05-04 22:52:40.225839,,,,,,f,,3V5Q80FXIYK1IHN5KMKKOPKYPVC322,AssignmentSubmitted
17,2018-05-04 22:52:56.830271,,,,,,f,,33CUSNVVNO5Y5TV0CKOHPX5CRH0886,AssignmentAccepted
18,2018-05-04 23:28:59.663032,,,,,,f,,33CUSNVVNO5Y5TV0CKOHPX5CRH0886,AssignmentReturned
19,2018-05-04 23:29:59.171105,,,,,,f,,37XITHEISX26Z109S5AMI0W070ARC8,AssignmentAccepted
20,2018-05-04 23:39:48.730412,,,,,,f,,37XITHEISX26Z109S5AMI0W070ARC8,AssignmentSubmitted
21,2018-05-04 23:40:02.353304,,,,,,f,,30OG32W0SV40H1SVVPZ0Z4RTRFZNEA,AssignmentAccepted
22,2018-05-04 23:41:43.913227,,,,,,f,,30OG32W0SV40H1SVVPZ0Z4RTRFZNEA,AssignmentReturned
23,2018-05-04 23:42:37.36848,,,,,,f,,3S3AMIZX3VYCYRH4A4F2DBFWSZKDCP,AssignmentAccepted
24,2018-05-04 23:48:40.327571,,,,,,f,,3S3AMIZX3VYCYRH4A4F2DBFWSZKDCP,AssignmentSubmitted
25,2018-05-04 23:49:53.963213,,,,,,f,,3SB4CE2TJWO23IPNHQKN1NS08EBXA9,AssignmentAccepted
26,2018-05-04 23:59:00.817553,,,,,,f,,3SB4CE2TJWO23IPNHQKN1NS08EBXA9,AssignmentSubmitted
27,2018-05-05 00:00:19.345411,,,,,,f,,31UV0MXWNR587HOBN8T5Q2PZSN75IC,AssignmentAccepted
28,2018-05-05 01:00:30.714242,,,,,,f,,31UV0MXWNR587HOBN8T5Q2PZSN75IC,AssignmentAbandoned
29,2018-05-05 01:01:22.713001,,,,,,f,,3TU5ZICBREU4BXVWYE5HBOQCLNS8QN,AssignmentAccepted
30,2018-05-05 01:07:37.901062,,,,,,f,,3TU5ZICBREU4BXVWYE5HBOQCLNS8QN,AssignmentSubmitted
31,2018-05-05 01:07:46.016462,,,,,,f,,3WLEIWSYHPAGCPU4Z79MSJL8804H2X,AssignmentAccepted
32,2018-05-05 01:23:14.621608,,,,,,f,,3WLEIWSYHPAGCPU4Z79MSJL8804H2X,AssignmentReturned
33,2018-05-05 01:23:51.427312,,,,,,f,,3QXNC7EIPJOG1997M8HGWEU5SPD90G,AssignmentAccepted
34,2018-05-05 01:32:41.259815,,,,,,f,,3QXNC7EIPJOG1997M8HGWEU5SPD90G,AssignmentSubmitted
35,2018-05-05 01:32:50.170413,,,,,,f,,3MTMREQS4WBNEIKX7LO1Z4ETZCAWAK,AssignmentAccepted
36,2018-05-05 01:39:01.278763,,,,,,f,,3MTMREQS4WBNEIKX7LO1Z4ETZCAWAK,AssignmentSubmitted
37,2018-05-05 01:39:10.051425,,,,,,f,,340UGXU9DZUUE2YQNG0WD379Z60UVK,AssignmentAccepted
38,2018-05-05 02:39:18.662514,,,,,,f,,340UGXU9DZUUE2YQNG0WD379Z60UVK,AssignmentAbandoned
39,2018-05-05 02:39:47.960662,,,,,,f,,3300DTYQT3ALKY5NBHRH3YMYWQTQE7,AssignmentAccepted
40,2018-05-05 02:56:33.863165,,,,,,f,,3300DTYQT3ALKY5NBHRH3YMYWQTQE7,AssignmentSubmitted
41,2018-05-05 02:56:52.240652,,,,,,f,,32AT8R96GM2EMAHMTLVR2GN2029USI,AssignmentAccepted
42,2018-05-05 03:57:20.006081,,,,,,f,,32AT8R96GM2EMAHMTLVR2GN2029USI,AssignmentAbandoned
43,2018-05-05 03:58:03.489073,,,,,,f,,3VNXK88KKDBWUAANP555H7KVMLVV9Z,AssignmentAccepted
44,2018-05-05 04:06:36.441409,,,,,,f,,3VNXK88KKDBWUAANP555H7KVMLVV9Z,AssignmentSubmitted
45,2018-05-05 04:06:58.699753,,,,,,f,,3NXNZ5RS1BQUJK9R772PBT4S03P97M,AssignmentAccepted
46,2018-05-05 05:07:15.061998,,,,,,f,,3NXNZ5RS1BQUJK9R772PBT4S03P97M,AssignmentAbandoned
47,2018-05-05 05:08:17.736304,,,,,,f,,3OF2M9AATHHXKQYOUZLXSMB7LQIKZN,AssignmentAccepted
48,2018-05-05 05:14:05.916671,,,,,,f,,3OF2M9AATHHXKQYOUZLXSMB7LQIKZN,AssignmentSubmitted
49,2018-05-05 05:14:20.293196,,,,,,f,,3UOUJI6MTE7MIR3LNV1E1O4UFHIXU0,AssignmentAccepted
50,2018-05-05 05:35:52.912097,,,,,,f,,3UOUJI6MTE7MIR3LNV1E1O4UFHIXU0,AssignmentSubmitted
51,2018-05-05 05:36:18.799423,,,,,,f,,3XLBSAQ9Z559PBR4B5WOOH6LF6J7Z5,AssignmentAccepted
52,2018-05-05 06:36:19.875726,,,,,,f,,3XLBSAQ9Z559PBR4B5WOOH6LF6J7Z5,AssignmentAbandoned
53,2018-05-05 06:37:04.978374,,,,,,f,,37Q970SNZF1YDDQORXL7REI5P5L1SZ,AssignmentAccepted
54,2018-05-05 06:41:46.586677,,,,,,f,,37Q970SNZF1YDDQORXL7REI5P5L1SZ,AssignmentSubmitted
55,2018-05-05 06:42:07.712948,,,,,,f,,3BEFOD78W7MC7HA2UI8ND3Q290D4M3,AssignmentAccepted
56,2018-05-05 06:55:27.931692,,,,,,f,,3BEFOD78W7MC7HA2UI8ND3Q290D4M3,AssignmentReturned
57,2018-05-05 06:57:54.835811,,,,,,f,,3TDXMTX3CCN4QLOPSR3AI83ZOIZI6M,AssignmentAccepted
58,2018-05-05 07:01:26.901613,,,,,,f,,3TDXMTX3CCN4QLOPSR3AI83ZOIZI6M,AssignmentSubmitted
59,2018-05-05 07:02:02.688128,,,,,,f,,3NLZY2D53QIZQ4FFS3ELGTCI5N5LQ0,AssignmentAccepted
60,2018-05-05 07:34:46.037559,,,,,,f,,3NLZY2D53QIZQ4FFS3ELGTCI5N5LQ0,AssignmentSubmitted
61,2018-05-05 07:35:19.208649,,,,,,f,,3P4MQ7TPPY509PREI8S171LE7TRBBS,AssignmentAccepted
62,2018-05-05 07:39:47.554474,,,,,,f,,3P4MQ7TPPY509PREI8S171LE7TRBBS,AssignmentSubmitted
63,2018-05-05 07:40:12.942253,,,,,,f,,3G5F9DBFOQQP9GS6NHTXUOIJ5YCVHY,AssignmentAccepted
64,2018-05-05 07:47:31.183119,,,,,,f,,3G5F9DBFOQQP9GS6NHTXUOIJ5YCVHY,AssignmentSubmitted
65,2018-05-05 07:47:49.847488,,,,,,f,,3NVC2EB65RSRJ2GCD7RFXTL34AX3Y9,AssignmentAccepted
66,2018-05-05 07:57:22.478456,,,,,,f,,3NVC2EB65RSRJ2GCD7RFXTL34AX3Y9,AssignmentSubmitted
67,2018-05-05 07:57:54.798338,,,,,,f,,3R5F3LQFV3DGAHJ3SRDQZ3SG5VWZOQ,AssignmentAccepted
68,2018-05-05 08:03:37.202503,,,,,,f,,3R5F3LQFV3DGAHJ3SRDQZ3SG5VWZOQ,AssignmentSubmitted
69,2018-05-05 08:05:29.76271,,,,,,f,,3KRVW3HTZOEV92CDKJ45B668NGIMSU,AssignmentAccepted
70,2018-05-05 08:12:19.129147,,,,,,f,,3KRVW3HTZOEV92CDKJ45B668NGIMSU,AssignmentSubmitted
71,2018-05-05 08:12:44.920889,,,,,,f,,3Y4W8Q93L0D8X0N41LA7333LD6KVDQ,AssignmentAccepted
72,2018-05-05 08:12:49.428413,,,,,,f,,3Y4W8Q93L0D8X0N41LA7333LD6KVDQ,AssignmentReturned
73,2018-05-05 08:13:38.419077,,,,,,f,,31LM9EDVOML8SHEN9QARWK4LWNFNJF,AssignmentAccepted
74,2018-05-05 08:14:37.552292,,,,,,f,,31LM9EDVOML8SHEN9QARWK4LWNFNJF,AssignmentReturned
75,2018-05-05 08:15:31.146278,,,,,,f,,3RSDURM96BFUT0W92R8BGKP0VZNYEV,AssignmentAccepted
76,2018-05-05 08:24:20.44685,,,,,,f,,3RSDURM96BFUT0W92R8BGKP0VZNYEV,AssignmentSubmitted
77,2018-05-05 08:25:04.344055,,,,,,f,,3STRJBFXOXK1YEPPO7WF6YAQ0U1TKL,AssignmentAccepted
78,2018-05-05 08:32:13.947408,,,,,,f,,3STRJBFXOXK1YEPPO7WF6YAQ0U1TKL,AssignmentSubmitted
79,2018-05-05 08:32:23.277585,,,,,,f,,3Z4AIRP3C7669UCNL7RUQMZX4KPX15,AssignmentAccepted
80,2018-05-05 08:59:11.773964,,,,,,f,,3Z4AIRP3C7669UCNL7RUQMZX4KPX15,AssignmentSubmitted
81,2018-05-05 09:00:02.183087,,,,,,f,,35H6S234SBTSEXTAL7KGTZZUJWW562,AssignmentAccepted
82,2018-05-05 09:10:36.626883,,,,,,f,,35H6S234SBTSEXTAL7KGTZZUJWW562,AssignmentReturned
83,2018-05-05 09:11:25.472315,,,,,,f,,3J4Q2Z4UTZWF1YREWHLNP4TY3UCQW1,AssignmentAccepted
84,2018-05-05 09:21:40.242868,,,,,,f,,3J4Q2Z4UTZWF1YREWHLNP4TY3UCQW1,AssignmentSubmitted
85,2018-05-05 09:22:16.466179,,,,,,f,,34S6N1K2ZWCMDBGC9DRR7FKHE0CLH7,AssignmentAccepted
86,2018-05-05 10:22:37.128646,,,,,,f,,34S6N1K2ZWCMDBGC9DRR7FKHE0CLH7,AssignmentAbandoned
87,2018-05-05 10:23:16.299433,,,,,,f,,3RU7GD8VPPM1U59QCZWXSA03SLWPSW,AssignmentAccepted
88,2018-05-05 10:31:57.810351,,,,,,f,,3RU7GD8VPPM1U59QCZWXSA03SLWPSW,AssignmentSubmitted
89,2018-05-05 10:32:09.568382,,,,,,f,,3DYGAII7PM1PHPUDKV7SXAL2AXBQP8,AssignmentAccepted
90,2018-05-05 11:12:18.123243,,,,,,f,,3DYGAII7PM1PHPUDKV7SXAL2AXBQP8,AssignmentSubmitted
91,2018-05-05 11:12:39.481297,,,,,,f,,3J2UYBXQQM5TJQ79O1E4C4332OO06F,AssignmentAccepted
92,2018-05-05 11:15:09.028599,,,,,,f,,3J2UYBXQQM5TJQ79O1E4C4332OO06F,AssignmentReturned
93,2018-05-05 11:15:55.063976,,,,,,f,,3K2755HG5TWJ131E1653LH0ZPC0FDQ,AssignmentAccepted
94,2018-05-05 11:24:22.075678,,,,,,f,,3K2755HG5TWJ131E1653LH0ZPC0FDQ,AssignmentSubmitted
95,2018-05-05 11:24:31.286498,,,,,,f,,31N2WW6R9SJLJBZH8HZR88ENYZB3FG,AssignmentAccepted
96,2018-05-05 12:14:26.145387,,,,,,f,,31N2WW6R9SJLJBZH8HZR88ENYZB3FG,AssignmentSubmitted
97,2018-05-05 12:27:24.747029,,,,,,f,,3U5JL4WY5L2N1T968PAWOK60G454XV,AssignmentAccepted
98,2018-05-05 12:51:10.769272,,,,,,f,,3U5JL4WY5L2N1T968PAWOK60G454XV,AssignmentSubmitted
99,2018-05-05 12:52:14.761807,,,,,,f,,34YB12FSQZHSJX3MPJAOMSN5Z5UMGG,AssignmentAccepted
100,2018-05-05 12:58:17.126498,,,,,,f,,34YB12FSQZHSJX3MPJAOMSN5Z5UMGG,AssignmentSubmitted
101,2018-05-05 12:59:20.15331,,,,,,f,,3LBXNTKX0SOOYZFIPK6N5SHG2WK9XX,AssignmentAccepted
102,2018-05-05 13:27:44.283409,,,,,,f,,3LBXNTKX0SOOYZFIPK6N5SHG2WK9XX,AssignmentSubmitted
103,2018-05-05 13:27:53.54397,,,,,,f,,3ZGVPD4G6UAWN9OBO8ZPTDY343LZTK,AssignmentAccepted
104,2018-05-05 13:44:48.064714,,,,,,f,,3ZGVPD4G6UAWN9OBO8ZPTDY343LZTK,AssignmentReturned
105,2018-05-05 13:45:28.817818,,,,,,f,,3BWI6RSP7H2BEG08FIIB3753S1ME7L,AssignmentAccepted
106,2018-05-05 13:52:07.855031,,,,,,f,,3BWI6RSP7H2BEG08FIIB3753S1ME7L,AssignmentSubmitted
107,2018-05-05 13:52:22.786289,,,,,,f,,3TPWUS5F8AUB7XHVRZKS5Z4H0GIWCC,AssignmentAccepted
108,2018-05-05 14:41:28.157525,,,,,,f,,3TPWUS5F8AUB7XHVRZKS5Z4H0GIWCC,AssignmentReturned
109,2018-05-05 14:42:09.986897,,,,,,f,,3G0WWMR1UWDPE4I04GU0TLG7BJHNQJ,AssignmentAccepted
110,2018-05-05 14:50:28.500456,,,,,,f,,3G0WWMR1UWDPE4I04GU0TLG7BJHNQJ,AssignmentSubmitted
111,2018-05-05 14:50:38.772972,,,,,,f,,3PIWWX1FJKZC9RN2USIZ3DN4O4KJJK,AssignmentAccepted
112,2018-05-05 15:07:33.574187,,,,,,f,,3PIWWX1FJKZC9RN2USIZ3DN4O4KJJK,AssignmentSubmitted
113,2018-05-05 15:07:47.900919,,,,,,f,,3RGU30DZTB12AZTNXPVRJ5FLSYGJMP,AssignmentAccepted
114,2018-05-05 15:17:57.756872,,,,,,f,,3RGU30DZTB12AZTNXPVRJ5FLSYGJMP,AssignmentSubmitted
115,2018-05-05 15:18:12.029816,,,,,,f,,37UQDCYH6YOSGRMUA87L3BTPSWT7VO,AssignmentAccepted
116,2018-05-05 15:23:57.73341,,,,,,f,,37UQDCYH6YOSGRMUA87L3BTPSWT7VO,AssignmentSubmitted
117,2018-05-05 15:24:18.433315,,,,,,f,,3YDTZAI2WY9FBSOD1WPPTB2ZCQW149,AssignmentAccepted
118,2018-05-05 16:10:29.777149,,,,,,f,,3YDTZAI2WY9FBSOD1WPPTB2ZCQW149,AssignmentReturned
119,2018-05-05 16:10:54.130528,,,,,,f,,3FDJT1UU751ZDCEZNBEH3I4CLSU5KO,AssignmentAccepted
120,2018-05-05 16:17:11.126105,,,,,,f,,3FDJT1UU751ZDCEZNBEH3I4CLSU5KO,AssignmentSubmitted
121,2018-05-05 16:17:49.763036,,,,,,f,,3HQUKB7LNG7KRFXMISCTFNRAYKHHHD,AssignmentAccepted
122,2018-05-05 16:43:16.034128,,,,,,f,,3HQUKB7LNG7KRFXMISCTFNRAYKHHHD,AssignmentSubmitted
123,2018-05-05 16:43:42.859738,,,,,,f,,3ZSY5X72NY478QXCIAJDD0QHXFURO9,AssignmentAccepted
124,2018-05-05 17:08:47.355087,,,,,,f,,3ZSY5X72NY478QXCIAJDD0QHXFURO9,AssignmentReturned
125,2018-05-05 17:10:18.82136,,,,,,f,,30BXRYBRP5Q2O5SBDRYTGQ1XD8WHWF,AssignmentAccepted
126,2018-05-05 17:13:42.222583,,,,,,f,,30BXRYBRP5Q2O5SBDRYTGQ1XD8WHWF,AssignmentReturned
127,2018-05-05 17:14:01.658111,,,,,,f,,30BXRYBRP5Q2O5SBDRYTGQ1XD8WHWF,AssignmentAccepted
128,2018-05-05 18:14:04.133039,,,,,,f,,30BXRYBRP5Q2O5SBDRYTGQ1XD8WHWF,AssignmentAbandoned
129,2018-05-05 18:14:59.59912,,,,,,f,,384PI804XTUY6O56VEH7D9ZVLE20SL,AssignmentAccepted
130,2018-05-05 19:14:49.757378,,,,,,f,,384PI804XTUY6O56VEH7D9ZVLE20SL,AssignmentAbandoned
131,2018-05-05 19:16:04.278632,,,,,,f,,3R2UR8A0IB9R5MJOR9P52IC5YWLOX8,AssignmentAccepted
132,2018-05-05 20:16:05.656774,,,,,,f,,3R2UR8A0IB9R5MJOR9P52IC5YWLOX8,AssignmentAbandoned
133,2018-05-05 20:17:53.761443,,,,,,f,,33LKR6A5KFDZSD33GXQX1JERSPQ1TI,AssignmentAccepted
134,2018-05-05 20:23:52.979975,,,,,,f,,33LKR6A5KFDZSD33GXQX1JERSPQ1TI,AssignmentSubmitted
135,2018-05-05 20:24:02.306455,,,,,,f,,3OCHAWUVGPD8FVY9THXCV1VWEREKXN,AssignmentAccepted
136,2018-05-05 20:36:46.983859,,,,,,f,,3OCHAWUVGPD8FVY9THXCV1VWEREKXN,AssignmentReturned
