id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-05-04 20:13:13.289093,,,,,,f,,participant,1,3Q5ZZ9ZEVP8FIBCYEMHEDDVLPQK58K,1:3Q5ZZ9ZEVP8FIBCYEMHEDDVLPQK58K,3XDJY5RK5SESX5HHDIU7GTBBI5KU49,live,2018-05-04 20:17:31.612027,1.8,0,approved
29,2018-05-05 08:15:48.171051,,,,,,f,,participant,29,3RSDURM96BFUT0W92R8BGKP0VZNYEV,29:3RSDURM96BFUT0W92R8BGKP0VZNYEV,3PEG1BH7AEKYF8XEYJ0SIK8JQ7BKBI,live,2018-05-05 08:24:20.472411,1.8,0,approved
2,2018-05-04 20:23:01.47698,,,,,,f,,participant,2,3WJ1OXY92B9COHOF9I8VLOB7H4OA8Y,2:3WJ1OXY92B9COHOF9I8VLOB7H4OA8Y,3Q9SPIIRWJFKRYM3HJJZBKI8VVSWAM,live,2018-05-04 20:27:55.871838,1.8,0,approved
163,2018-05-07 10:19:55.614654,,,,,,f,,participant,163,3483FV8BEFC0F0AN3OIIVSWI0P3263,163:3483FV8BEFC0F0AN3OIIVSWI0P3263,39O6Z4JLX2QJ8MUR2J6H9QASP83XVN,live,2018-05-07 10:23:55.778473,1.8,0,approved
11,2018-05-04 23:52:17.981283,,,,,,f,,participant,11,3SB4CE2TJWO23IPNHQKN1NS08EBXA9,11:3SB4CE2TJWO23IPNHQKN1NS08EBXA9,3ZQX1VYFTDYY31KMTZ8BYZZR25WO81,live,2018-05-04 23:59:00.832746,1.8,0,approved
30,2018-05-05 08:25:06.433349,,,,,,f,,participant,30,3STRJBFXOXK1YEPPO7WF6YAQ0U1TKL,30:3STRJBFXOXK1YEPPO7WF6YAQ0U1TKL,3VEI3XUCZRQM66BJ78RQEGZM23KPR1,live,2018-05-05 08:32:13.963724,1.8,0,approved
3,2018-05-04 20:32:22.808105,,,,,,f,,participant,3,3DUZQ9U6SNHEZP6MYB5WY2PLE8WSVH,3:3DUZQ9U6SNHEZP6MYB5WY2PLE8WSVH,33Q5P9PUSPFCE8O6CKZXGJ2EC0HZCH,live,2018-05-04 20:36:58.212632,1.8,0,approved
31,2018-05-05 08:51:05.024096,,,,,,f,,participant,31,3Z4AIRP3C7669UCNL7RUQMZX4KPX15,31:3Z4AIRP3C7669UCNL7RUQMZX4KPX15,3HA5ODM5KALBC58S890UAIT0AT4SVD,live,2018-05-05 08:59:11.792191,1.8,0,approved
4,2018-05-04 20:38:20.061898,,,,,,f,,participant,4,3GFK2QRXXAAQ8C8GCPXKRTY77XR5W3,4:3GFK2QRXXAAQ8C8GCPXKRTY77XR5W3,3ECKRY5B1QP3RBA64UVJRM09P51ZIJ,live,2018-05-04 20:46:46.578426,1.8,0,approved
23,2018-05-05 07:28:20.614045,,,,,,f,,participant,23,3NLZY2D53QIZQ4FFS3ELGTCI5N5LQ0,23:3NLZY2D53QIZQ4FFS3ELGTCI5N5LQ0,35NNO802AVP9AMWN16KPWZT0FS0NIZ,live,2018-05-05 07:34:46.050888,1.8,0,approved
