id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-05-04 20:14:24.815369,,,,,,f,,1,1,1,9,1,2018-05-04 20:14:24.858767,received
2,2018-05-04 20:14:24.850484,,,,,,f,,1,2,1,9,1,2018-05-04 20:14:24.858846,received
3,2018-05-04 20:15:04.116466,,,,,,f,,2,4,2,10,2,2018-05-04 20:15:04.170977,received
4,2018-05-04 20:15:04.160654,,,,,,f,,2,5,2,10,2,2018-05-04 20:15:04.171046,received
5,2018-05-04 20:15:23.069546,,,,,,f,,3,7,3,11,3,2018-05-04 20:15:23.114718,received
6,2018-05-04 20:15:23.106315,,,,,,f,,3,8,3,11,3,2018-05-04 20:15:23.11479,received
7,2018-05-04 20:15:37.031043,,,,,,f,,4,10,4,12,4,2018-05-04 20:15:37.088495,received
8,2018-05-04 20:15:37.075565,,,,,,f,,4,11,4,12,4,2018-05-04 20:15:37.088565,received
9,2018-05-04 20:15:53.541041,,,,,,f,,5,13,7,13,7,2018-05-04 20:15:53.648587,received
10,2018-05-04 20:15:53.630628,,,,,,f,,5,14,7,13,7,2018-05-04 20:15:53.648654,received
11,2018-05-04 20:16:05.318087,,,,,,f,,6,16,6,14,6,2018-05-04 20:16:05.393999,received
12,2018-05-04 20:16:05.378844,,,,,,f,,6,17,6,14,6,2018-05-04 20:16:05.394128,received
13,2018-05-04 20:16:16.477223,,,,,,f,,7,19,8,15,8,2018-05-04 20:16:16.530366,received
14,2018-05-04 20:16:16.514773,,,,,,f,,7,20,8,15,8,2018-05-04 20:16:16.530432,received
15,2018-05-04 20:16:28.607436,,,,,,f,,8,22,5,16,5,2018-05-04 20:16:28.668776,received
16,2018-05-04 20:16:28.659368,,,,,,f,,8,23,5,16,5,2018-05-04 20:16:28.668847,received
19,2018-05-04 20:24:51.143766,,,,,,f,,1,26,1,9,1,,pending
17,2018-05-04 20:24:51.092879,,,,,,f,,9,25,1,17,1,2018-05-04 20:24:51.149352,received
18,2018-05-04 20:24:51.141227,,,,,,f,,9,26,1,17,1,2018-05-04 20:24:51.149559,received
21,2018-05-04 20:25:41.312901,,,,,,f,,2,29,2,10,2,,pending
20,2018-05-04 20:25:41.287721,,,,,,f,,10,28,2,18,2,2018-05-04 20:25:41.318805,received
22,2018-05-04 20:25:41.314327,,,,,,f,,10,29,2,18,2,2018-05-04 20:25:41.318842,received
25,2018-05-04 20:25:57.158153,,,,,,f,,3,32,3,11,3,,pending
23,2018-05-04 20:25:57.067535,,,,,,f,,11,31,3,19,3,2018-05-04 20:25:57.170917,received
24,2018-05-04 20:25:57.149203,,,,,,f,,11,32,3,19,3,2018-05-04 20:25:57.170989,received
28,2018-05-04 20:26:10.997936,,,,,,f,,4,35,4,12,4,,pending
26,2018-05-04 20:26:10.973583,,,,,,f,,12,34,4,20,4,2018-05-04 20:26:11.00131,received
27,2018-05-04 20:26:10.996456,,,,,,f,,12,35,4,20,4,2018-05-04 20:26:11.001344,received
30,2018-05-04 20:26:20.811853,,,,,,f,,7,38,8,15,8,,pending
