id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
1,2018-01-25 13:00:45.917943,,,,,,f,,1,9,1
2,2018-01-25 13:03:28.639772,,,,,,f,,2,10,2
3,2018-01-25 13:04:35.418753,,,,,,f,,3,11,3
4,2018-01-25 13:05:23.72467,,,,,,f,,4,12,4
5,2018-01-25 13:05:46.02567,,,,,,f,,5,13,5
6,2018-01-25 13:06:08.009864,,,,,,f,,8,14,8
7,2018-01-25 13:06:33.427407,,,,,,f,,7,15,7
8,2018-01-25 13:06:55.161951,,,,,,f,,6,16,6
9,2018-01-25 14:32:16.942024,,,,,,f,,1,17,1
10,2018-01-25 14:33:14.30398,,,,,,f,,2,18,2
11,2018-01-25 14:33:45.3803,,,,,,f,,3,19,3
12,2018-01-25 14:33:56.344225,,,,,,f,,4,20,4
13,2018-01-25 14:34:07.182881,,,,,,f,,5,21,5
14,2018-01-25 14:34:18.500769,,,,,,f,,8,22,8
15,2018-01-25 14:34:30.938197,,,,,,f,,6,23,6
16,2018-01-25 14:34:40.751789,,,,,,f,,7,24,7
17,2018-01-25 16:27:16.714548,,,,,,f,,1,25,1
18,2018-01-25 16:28:24.25893,,,,,,f,,2,26,2
19,2018-01-25 16:28:44.515538,,,,,,f,,3,27,3
20,2018-01-25 16:29:00.736816,,,,,,f,,4,28,4
21,2018-01-25 16:29:15.929501,,,,,,f,,5,29,5
22,2018-01-25 16:29:34.286868,,,,,,f,,8,30,8
23,2018-01-25 16:29:46.707368,,,,,,f,,6,31,6
24,2018-01-25 16:30:01.032541,,,,,,f,,7,32,7
25,2018-01-25 17:21:08.12593,,,,,,f,,1,33,1
26,2018-01-25 17:21:43.786052,,,,,,f,,2,34,2
27,2018-01-25 17:22:02.067248,,,,,,f,,3,35,3
28,2018-01-25 17:22:25.041161,,,,,,f,,4,36,4
29,2018-01-25 17:22:44.395043,,,,,,f,,8,37,8
30,2018-01-25 17:23:10.793397,,,,,,f,,7,38,7
31,2018-01-25 17:23:28.60812,,,,,,f,,6,39,6
32,2018-01-25 17:23:43.808808,,,,,,f,,5,40,5
33,2018-01-25 17:53:42.567647,,,,,,f,,1,41,1
34,2018-01-25 17:54:11.74305,,,,,,f,,2,42,2
35,2018-01-25 17:54:26.280487,,,,,,f,,3,43,3
36,2018-01-25 17:54:34.072132,,,,,,f,,4,44,4
37,2018-01-25 17:54:44.421069,,,,,,f,,7,45,7
38,2018-01-25 17:54:59.324513,,,,,,f,,5,46,5
39,2018-01-25 17:55:11.145095,,,,,,f,,6,47,6
40,2018-01-25 17:55:26.41645,,,,,,f,,8,48,8
41,2018-01-25 18:23:21.069299,,,,,,f,,9,49,1
42,2018-01-25 18:23:35.693874,,,,,,f,,34,50,2
43,2018-01-25 18:23:53.243319,,,,,,f,,27,51,3
44,2018-01-25 18:24:03.408148,,,,,,f,,12,52,4
45,2018-01-25 18:24:10.167108,,,,,,f,,46,53,5
46,2018-01-25 18:24:22.258526,,,,,,f,,14,54,8
47,2018-01-25 18:24:33.221694,,,,,,f,,23,55,6
48,2018-01-25 18:24:42.221673,,,,,,f,,24,56,7
49,2018-01-25 18:27:21.394517,,,,,,f,,9,57,1
50,2018-01-25 18:27:53.685308,,,,,,f,,42,58,2
51,2018-01-25 18:28:10.730717,,,,,,f,,11,59,3
52,2018-01-25 18:28:42.408502,,,,,,f,,20,60,4
53,2018-01-25 18:29:13.30272,,,,,,f,,14,61,8
54,2018-01-25 18:29:46.8799,,,,,,f,,29,62,5
55,2018-01-25 18:30:10.656194,,,,,,f,,45,63,7
56,2018-01-25 18:30:45.278506,,,,,,f,,47,64,6
57,2018-01-25 19:07:30.650566,,,,,,f,,9,65,1
58,2018-01-25 19:08:14.364331,,,,,,f,,42,66,2
59,2018-01-25 19:08:36.763294,,,,,,f,,35,67,3
60,2018-01-25 19:09:12.75365,,,,,,f,,28,68,4
61,2018-01-25 19:13:40.649913,,,,,,f,,48,69,8
62,2018-01-25 19:13:53.279432,,,,,,f,,47,70,6
63,2018-01-25 19:14:05.957466,,,,,,f,,32,71,7
64,2018-01-25 19:14:16.83578,,,,,,f,,21,72,5
65,2018-01-25 21:00:41.571645,,,,,,f,,17,73,1
66,2018-01-25 21:01:38.453811,,,,,,f,,26,74,2
67,2018-01-25 21:02:22.051932,,,,,,f,,35,75,3
68,2018-01-25 21:02:41.186056,,,,,,f,,36,76,4
69,2018-01-25 21:02:55.922899,,,,,,f,,15,77,7
70,2018-01-25 21:03:08.53776,,,,,,f,,14,78,8
71,2018-01-25 21:03:22.653604,,,,,,f,,39,79,6
72,2018-01-25 21:03:32.92891,,,,,,f,,29,80,5
73,2018-01-25 21:08:45.498942,,,,,,f,,33,81,1
74,2018-01-25 21:09:59.961835,,,,,,f,,10,82,2
75,2018-01-25 21:10:43.176218,,,,,,f,,35,83,3
76,2018-01-25 21:11:23.663529,,,,,,f,,20,84,4
77,2018-01-25 21:13:56.774844,,,,,,f,,48,85,8
78,2018-01-25 21:14:20.151566,,,,,,f,,29,86,5
79,2018-01-25 21:14:45.715892,,,,,,f,,24,87,7
80,2018-01-25 21:15:21.011065,,,,,,f,,16,88,6
81,2018-01-25 21:48:37.799011,,,,,,f,,73,89,1
82,2018-01-25 21:50:28.777436,,,,,,f,,50,90,2
83,2018-01-25 21:50:57.852988,,,,,,f,,67,91,3
84,2018-01-25 21:51:22.074505,,,,,,f,,76,92,4
85,2018-01-25 21:51:46.470778,,,,,,f,,64,93,6
86,2018-01-25 21:52:08.090007,,,,,,f,,77,94,7
87,2018-01-25 21:52:33.988624,,,,,,f,,69,95,8
88,2018-01-25 21:52:54.374029,,,,,,f,,80,96,5
89,2018-01-25 22:05:23.789004,,,,,,f,,57,97,1
90,2018-01-25 22:06:16.830139,,,,,,f,,82,98,2
91,2018-01-25 22:06:41.999397,,,,,,f,,75,99,3
92,2018-01-25 22:07:12.66808,,,,,,f,,60,100,4
93,2018-01-25 22:07:58.051867,,,,,,f,,85,101,8
94,2018-01-25 22:08:26.221785,,,,,,f,,88,102,6
95,2018-01-25 22:08:50.222032,,,,,,f,,63,103,7
96,2018-01-25 22:09:23.140757,,,,,,f,,72,104,5
97,2018-01-25 22:51:37.358569,,,,,,f,,81,105,1
98,2018-01-25 22:53:09.362813,,,,,,f,,82,106,2
99,2018-01-25 22:53:38.286884,,,,,,f,,83,107,3
100,2018-01-25 22:54:08.607732,,,,,,f,,68,108,4
101,2018-01-25 22:54:37.387405,,,,,,f,,88,109,6
102,2018-01-25 22:55:06.499507,,,,,,f,,69,110,8
103,2018-01-25 22:55:28.257244,,,,,,f,,53,111,5
104,2018-01-25 22:55:44.226037,,,,,,f,,56,112,7
105,2018-01-25 23:00:46.604148,,,,,,f,,57,113,1
106,2018-01-25 23:02:17.310809,,,,,,f,,82,114,2
107,2018-01-25 23:02:54.756098,,,,,,f,,83,115,3
108,2018-01-25 23:03:21.718782,,,,,,f,,84,116,4
109,2018-01-25 23:03:54.992978,,,,,,f,,62,117,5
110,2018-01-25 23:04:18.166817,,,,,,f,,88,118,6
111,2018-01-25 23:04:36.597514,,,,,,f,,56,119,7
112,2018-01-25 23:04:56.48509,,,,,,f,,61,120,8
113,2018-01-26 01:48:44.394135,,,,,,f,,49,121,1
114,2018-01-26 01:49:52.643491,,,,,,f,,50,122,2
115,2018-01-26 01:50:40.897806,,,,,,f,,83,123,3
116,2018-01-26 01:51:47.350235,,,,,,f,,52,124,4
117,2018-01-26 01:52:50.464705,,,,,,f,,88,125,6
118,2018-01-26 01:54:30.272978,,,,,,f,,62,126,5
119,2018-01-26 01:55:14.835316,,,,,,f,,56,127,7
120,2018-01-26 01:55:55.266723,,,,,,f,,78,128,8
121,2018-01-26 02:01:07.404247,,,,,,f,,121,129,1
122,2018-01-26 02:03:33.30448,,,,,,f,,122,130,2
132,2018-01-26 03:33:37.110263,,,,,,f,,116,140,4
