id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
22,2018-01-27 03:28:54.099501,,,,,,f,,participant,22,34HJIJKLP6PVX44B8A9E0Z9FSQKV4S,22:34HJIJKLP6PVX44B8A9E0Z9FSQKV4S,30P8I9JKOIEA63AHWDNMH7J8U9AV5Q,live,2018-01-27 03:38:48.72035,1.8,0,approved
28,2018-01-27 05:57:17.468421,,,,,,f,,participant,28,3QILPRALQ6OJ80I4IMD07UV789JN8F,28:3QILPRALQ6OJ80I4IMD07UV789JN8F,3PEG1BH7AEKYF8XEYJ0SIK8JO7QBKM,live,2018-01-27 06:03:25.594142,1.8,0,approved
1,2018-01-26 12:11:48.680785,,,,,,f,,participant,1,3FIJLY1B6VXSQ0446FWYLBHOVP0FPH,1:3FIJLY1B6VXSQ0446FWYLBHOVP0FPH,3FBEFUUYRKYMXJ7XQ16VDQJV5TS6AM,live,2018-01-26 12:16:49.523388,1.8,0,approved
29,2018-01-27 06:04:16.108093,,,,,,f,,participant,29,3LRLIPTPER2WJIQGI75YBTKY42GKAD,29:3LRLIPTPER2WJIQGI75YBTKY42GKAD,36MUZ9VAE6VO853OGTGVFFJE7V6EDC,live,2018-01-27 06:14:34.855098,1.8,0,approved
3,2018-01-26 13:21:01.33575,,,,,,f,,participant,3,3Z7ISHFUH1ODPPWNLAOU2H2GIKV8ZF,3:3Z7ISHFUH1ODPPWNLAOU2H2GIKV8ZF,33BFF6QPI14K7DNI844POC42NLT3WO,live,2018-01-26 13:33:08.79607,1.8,0,approved
11,2018-01-26 19:00:28.595296,,,,,,f,,participant,11,3OSWBBLG1FQ01PSZ10BPRO06LCJXD4,11:3OSWBBLG1FQ01PSZ10BPRO06LCJXD4,3PKVGQTFIHDGFK3KYVN9R7SY47EYRR,live,2018-01-26 19:16:27.448406,1.8,0,approved
4,2018-01-26 14:38:43.656314,,,,,,f,,participant,4,3C8HJ7UOP8NSAEYRFBYD7Z3B2PNMZK,4:3C8HJ7UOP8NSAEYRFBYD7Z3B2PNMZK,3XT3KXP24ZR131QV2PY8UO7EI1XI62,live,2018-01-26 14:45:40.459698,1.8,0,approved
31,2018-01-27 06:17:23.423145,,,,,,f,,participant,31,379J5II41P9AT1PAJCJLMCN4EHJLEC,31:379J5II41P9AT1PAJCJLMCN4EHJLEC,3Q2T3FD0ON1O21T442Y2FE2BPK83MS,live,2018-01-27 06:22:55.899071,1.8,0,approved
5,2018-01-26 14:46:17.657632,,,,,,f,,participant,5,3R8YZBNQ9IB0BJQDO9DBXOUH2X9Q7L,5:3R8YZBNQ9IB0BJQDO9DBXOUH2X9Q7L,3P4C70TRMRA5QVN7Z547YVCVTJULGL,live,2018-01-26 14:49:15.255639,1.8,0,approved
32,2018-01-27 08:24:04.27442,,,,,,f,,participant,32,3VW6495TLKTSZ5D02SK5NNHG58SYYW,32:3VW6495TLKTSZ5D02SK5NNHG58SYYW,35ZRNT9RUIRC24EGHIDF7IRGKKN3O7,live,2018-01-27 08:31:23.940055,1.8,0,approved
