id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-26 12:16:32.924518,,,,,,f,,question,1,1,time,10
2,2018-01-26 12:16:33.009811,,,,,,f,,question,1,2,multi-confusing,no
3,2018-01-26 12:16:33.356433,,,,,,f,,question,1,3,"",""
4,2018-01-26 12:16:33.433532,,,,,,f,,question,1,4,"",""
5,2018-01-26 13:32:48.360499,,,,,,f,,question,3,1,time,12
6,2018-01-26 13:32:49.168397,,,,,,f,,question,3,2,multi-confusing,"No, just wish i had done better!"
7,2018-01-26 13:32:51.34413,,,,,,f,,question,3,3,"",""
8,2018-01-26 13:32:52.678563,,,,,,f,,question,3,4,"",""
9,2018-01-26 13:32:54.458606,,,,,,f,,question,3,1,time,12
10,2018-01-26 13:32:55.235811,,,,,,f,,question,3,2,multi-confusing,"No, just wish i had done better!"
11,2018-01-26 13:32:56.487228,,,,,,f,,question,3,3,"",""
12,2018-01-26 14:45:19.85358,,,,,,f,,question,4,1,time,7
13,2018-01-26 14:45:19.959858,,,,,,f,,question,4,2,multi-confusing,very clear 
14,2018-01-26 14:45:20.081618,,,,,,f,,question,4,3,"",""
15,2018-01-26 14:45:20.175529,,,,,,f,,question,4,4,"",""
16,2018-01-26 14:48:51.192765,,,,,,f,,question,5,1,time,5
17,2018-01-26 14:48:51.279521,,,,,,f,,question,5,2,multi-confusing,no
18,2018-01-26 14:48:51.35603,,,,,,f,,question,5,3,"",""
19,2018-01-26 14:48:51.430493,,,,,,f,,question,5,4,"",""
20,2018-01-26 15:24:18.429052,,,,,,f,,question,6,1,time,12
21,2018-01-26 15:24:18.504837,,,,,,f,,question,6,2,multi-confusing,yes - it did not seem that my choices made any impact.
22,2018-01-26 15:24:18.586968,,,,,,f,,question,6,3,"",""
23,2018-01-26 15:24:18.730398,,,,,,f,,question,6,4,"",""
24,2018-01-26 16:57:03.565185,,,,,,f,,question,7,1,time,10
25,2018-01-26 16:57:03.755382,,,,,,f,,question,7,2,multi-confusing,:| It was easy to understand....I suck at buiding ships
26,2018-01-26 16:57:03.872154,,,,,,f,,question,7,3,"",""
27,2018-01-26 16:57:03.983549,,,,,,f,,question,7,4,"",""
28,2018-01-26 17:22:42.348998,,,,,,f,,question,8,1,time,12
29,2018-01-26 17:22:42.512767,,,,,,f,,question,8,2,multi-confusing,No.
30,2018-01-26 17:22:42.671088,,,,,,f,,question,8,3,"",onlhphabpmijgblopkcjmphbbmeliagn
31,2018-01-26 17:22:42.812709,,,,,,f,,question,8,4,"",""
32,2018-01-26 17:22:42.956861,,,,,,f,,question,8,5,"",""
33,2018-01-26 18:36:32.382068,,,,,,f,,question,10,1,time,10
34,2018-01-26 18:36:32.577761,,,,,,f,,question,10,2,multi-confusing,no
35,2018-01-26 18:36:32.678805,,,,,,f,,question,10,3,"",""
36,2018-01-26 18:36:32.779271,,,,,,f,,question,10,4,"",""
37,2018-01-26 19:16:06.449075,,,,,,f,,question,11,1,time,10
38,2018-01-26 19:16:06.547792,,,,,,f,,question,11,2,multi-confusing,"it seemed direct and straighforward. i am not sure i made good choices about the spaceship building, however."
39,2018-01-26 19:16:06.639692,,,,,,f,,question,11,3,"",""
40,2018-01-26 19:16:06.717565,,,,,,f,,question,11,4,"",""
41,2018-01-26 20:14:51.098196,,,,,,f,,question,12,1,time,10
42,2018-01-26 20:14:51.193245,,,,,,f,,question,12,2,multi-confusing,"No, nothing confusing."
43,2018-01-26 20:14:51.256799,,,,,,f,,question,12,3,"",""
44,2018-01-26 20:14:51.340944,,,,,,f,,question,12,4,"",""
45,2018-01-26 20:23:17.287537,,,,,,f,,question,13,1,time,7
46,2018-01-26 20:23:17.455395,,,,,,f,,question,13,2,multi-confusing,no
47,2018-01-26 20:23:17.583028,,,,,,f,,question,13,3,"",""
48,2018-01-26 20:23:17.73959,,,,,,f,,question,13,4,"",""
49,2018-01-26 22:14:17.738989,,,,,,f,,question,14,1,time,5
50,2018-01-26 22:14:17.904597,,,,,,f,,question,14,2,multi-confusing,Everything seemed fine thanks!
51,2018-01-26 22:14:18.035948,,,,,,f,,question,14,3,"",""
52,2018-01-26 22:14:18.176268,,,,,,f,,question,14,4,"",""
53,2018-01-26 22:40:11.778977,,,,,,f,,question,15,1,time,7
54,2018-01-26 22:40:11.902985,,,,,,f,,question,15,2,multi-confusing,""
55,2018-01-26 22:40:12.02087,,,,,,f,,question,15,3,"",""
56,2018-01-26 22:40:12.113368,,,,,,f,,question,15,4,"",""
57,2018-01-27 00:33:49.548568,,,,,,f,,question,16,1,time,10
58,2018-01-27 00:33:49.600301,,,,,,f,,question,16,2,multi-confusing,"Picking parts didn't seem to have any real logic to it, but maybe that was the point?"
59,2018-01-27 00:33:49.667988,,,,,,f,,question,16,3,"",""
60,2018-01-27 00:33:49.744118,,,,,,f,,question,16,4,"",""
61,2018-01-27 00:47:34.183514,,,,,,f,,question,18,1,time,10
62,2018-01-27 00:47:34.266726,,,,,,f,,question,18,2,multi-confusing,N/A
63,2018-01-27 00:47:34.349241,,,,,,f,,question,18,3,"",""
64,2018-01-27 00:47:34.424549,,,,,,f,,question,18,4,"",""
