id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
9,2018-01-29 04:19:41.107845,,,,,,f,,participant,9,3RU7GD8VPPM1U59QCZWXSA03KLMSPH,9:3RU7GD8VPPM1U59QCZWXSA03KLMSPH,30P8I9JKOIEA63AHWDNMH7J8U9OV54,live,2018-01-29 04:27:22.359849,1.8,0,approved
28,2018-01-29 22:20:18.753528,,,,,,f,,participant,28,3DI28L7YXB7X3UL6Q2122XEQHGR1EA,28:3DI28L7YXB7X3UL6Q2122XEQHGR1EA,3WA2XVDZEMAPNWO9668H999MQAAE6D,live,2018-01-29 22:33:57.334676,1.8,0,approved
1,2018-01-29 00:54:16.251208,,,,,,f,,participant,1,3SNVL38CI5LKCXNE2L1PHOAM48JCKV,1:3SNVL38CI5LKCXNE2L1PHOAM48JCKV,3TX9T2ZCB9ULS6UBTBZYSD9H2HXWZL,live,2018-01-29 00:59:57.915558,1.8,0,approved
2,2018-01-29 01:00:18.981649,,,,,,f,,participant,2,32Q90QCQ1TEZ9V7SYC7K7CAPPKZKEZ,2:32Q90QCQ1TEZ9V7SYC7K7CAPPKZKEZ,3D0LPO3EABSDI7B46365XCNTTLVOYB,live,2018-01-29 01:04:20.363107,1.8,0,approved
29,2018-01-29 22:35:09.470432,,,,,,f,,participant,29,3U5NZHP4LSVC4WVA15KYOWT1CC0PHT,29:3U5NZHP4LSVC4WVA15KYOWT1CC0PHT,3X2LT8FDHWB68ATOKLZLFTCD39CW84,live,2018-01-29 22:38:51.697854,1.8,0,approved
16,2018-01-29 14:47:02.204236,,,,,,f,,participant,16,3OS4RQUCRA8QM63UNAEXQRCZFSWFBM,16:3OS4RQUCRA8QM63UNAEXQRCZFSWFBM,3BDORL6HKK63CH2F235KUG0F1L7CRC,live,2018-01-29 14:52:08.926028,1.8,0,approved
3,2018-01-29 01:04:43.690432,,,,,,f,,participant,3,3C6FJU71TRMBIWTVSRNGK2B39N2UYL,3:3C6FJU71TRMBIWTVSRNGK2B39N2UYL,3T2HW4QDUV0X8H6T8M5Y3V0LVYRC9D,live,2018-01-29 01:10:13.831299,1.8,0,approved
30,2018-01-29 22:46:01.479515,,,,,,f,,participant,30,3F6KKYWMNCUVPVEVZUOGTM98K58DNE,30:3F6KKYWMNCUVPVEVZUOGTM98K58DNE,36MUZ9VAE6VO853OGTGVFFJE7W5EDD,live,2018-01-29 23:03:21.270025,1.8,0,approved
4,2018-01-29 01:12:53.876184,,,,,,f,,participant,4,3KWTYT0871WAXIWH8BQIIIHR1R65LN,4:3KWTYT0871WAXIWH8BQIIIHR1R65LN,3YGYP136412M3LZ6RTEYARUR0OBRNX,live,2018-01-29 01:28:47.164755,1.8,0,approved
10,2018-01-29 05:57:09.98095,,,,,,f,,participant,10,3OHYZ19UGDYF99BVGZXRIA17OANAOQ,10:3OHYZ19UGDYF99BVGZXRIA17OANAOQ,3V8JSVE8YYJR6GYFCP39S0TFPJPYEH,live,2018-01-29 06:00:31.447431,1.8,0,approved
5,2018-01-29 01:31:10.814785,,,,,,f,,participant,5,3UWN2HHPUZY1RKXDWKJ5OLV8K6ENS9,5:3UWN2HHPUZY1RKXDWKJ5OLV8K6ENS9,3W3RSPVVGSKOVDO2JATO2ADM2SFUL2,live,2018-01-29 01:36:53.111573,1.8,0,approved
32,2018-01-30 00:20:01.583843,,,,,,f,,participant,32,3WI0P0II62LG4T6NS15X26EIL3FRD0,32:3WI0P0II62LG4T6NS15X26EIL3FRD0,36GJS3V78VJZV5Z7WKSUIGZ3PWNJGJ,live,2018-01-30 00:31:20.308667,1.8,0,approved
33,2018-01-30 00:33:09.254557,,,,,,f,,participant,33,39OWYR0EPLKMZEW5X2SHY2A003FYFP,33:39OWYR0EPLKMZEW5X2SHY2A003FYFP,368IUKXGA51TKNDZFKOS3L8Q4HWP6T,live,2018-01-30 00:41:17.850908,1.8,0,approved
6,2018-01-29 02:00:58.441591,,,,,,f,,participant,6,3RANCT1ZVGAF5O0KIZ9WCRD2OEMBUP,6:3RANCT1ZVGAF5O0KIZ9WCRD2OEMBUP,3VMHWJRYHV9UCP81241DR476ZEAFXA,live,2018-01-29 02:16:54.536834,1.8,0,approved
34,2018-01-30 00:44:29.530421,,,,,,f,,participant,34,3A4TN5196LBTA7M6W0YS4WUUDUDHC1,34:3A4TN5196LBTA7M6W0YS4WUUDUDHC1,3W1K7D6QSBAT43W0YK325ZWWSHEZB9,live,2018-01-30 00:56:56.100812,1.8,0,approved
