id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-29 00:59:30.838026,,,,,,f,,question,1,1,time,12
2,2018-01-29 00:59:31.001776,,,,,,f,,question,1,2,multi-confusing,no
3,2018-01-29 00:59:31.105895,,,,,,f,,question,1,3,"",""
4,2018-01-29 00:59:31.203915,,,,,,f,,question,1,4,"",""
5,2018-01-29 01:04:02.065988,,,,,,f,,question,2,1,time,5
6,2018-01-29 01:04:02.146349,,,,,,f,,question,2,2,multi-confusing,no
7,2018-01-29 01:04:02.276665,,,,,,f,,question,2,3,"",""
8,2018-01-29 01:04:02.34523,,,,,,f,,question,2,4,"",""
9,2018-01-29 01:09:50.087382,,,,,,f,,question,3,1,time,5
10,2018-01-29 01:09:50.22143,,,,,,f,,question,3,2,multi-confusing,I could not figure out a pattern or probability for how to choose parts.
11,2018-01-29 01:09:50.356474,,,,,,f,,question,3,3,"",""
12,2018-01-29 01:09:50.492705,,,,,,f,,question,3,4,"",""
13,2018-01-29 01:28:39.543404,,,,,,f,,question,4,1,time,12
14,2018-01-29 01:28:39.685474,,,,,,f,,question,4,2,multi-confusing,Not really
15,2018-01-29 01:28:39.762304,,,,,,f,,question,4,3,"",""
16,2018-01-29 01:28:39.845923,,,,,,f,,question,4,4,"",""
17,2018-01-29 01:36:33.199551,,,,,,f,,question,5,1,time,5
18,2018-01-29 01:36:33.310933,,,,,,f,,question,5,2,multi-confusing,I couldn't change any parts between flights.  I thought in the directions it said we could. 
19,2018-01-29 01:36:33.429223,,,,,,f,,question,5,3,"",""
20,2018-01-29 01:36:33.536854,,,,,,f,,question,5,4,"",""
21,2018-01-29 02:16:29.431049,,,,,,f,,question,6,1,time,12
22,2018-01-29 02:16:29.555443,,,,,,f,,question,6,2,multi-confusing,No
23,2018-01-29 02:16:29.63313,,,,,,f,,question,6,3,"",""
24,2018-01-29 02:16:29.689166,,,,,,f,,question,6,4,"",""
25,2018-01-29 02:55:34.972671,,,,,,f,,question,7,1,time,7
26,2018-01-29 02:55:35.180229,,,,,,f,,question,7,2,multi-confusing,Nope
27,2018-01-29 02:55:35.346502,,,,,,f,,question,7,3,"",""
28,2018-01-29 02:55:35.491107,,,,,,f,,question,7,4,"",""
29,2018-01-29 04:09:49.418064,,,,,,f,,question,8,1,time,12
30,2018-01-29 04:09:49.562762,,,,,,f,,question,8,2,multi-confusing,What the point of knowing what failed in the past if failures are completely random.
31,2018-01-29 04:09:49.670196,,,,,,f,,question,8,3,"",""
32,2018-01-29 04:09:49.774851,,,,,,f,,question,8,4,"",""
33,2018-01-29 04:27:03.108162,,,,,,f,,question,9,1,time,7
