id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-01-29 00:55:27.815766,,,,,,f,,1,1,1,9,1,2018-01-29 00:55:27.919868,received
2,2018-01-29 00:55:27.905844,,,,,,f,,1,2,1,9,1,2018-01-29 00:55:27.919944,received
3,2018-01-29 00:57:07.852352,,,,,,f,,2,4,2,10,2,2018-01-29 00:57:07.894988,received
4,2018-01-29 00:57:07.889452,,,,,,f,,2,5,2,10,2,2018-01-29 00:57:07.895022,received
5,2018-01-29 00:57:30.149105,,,,,,f,,3,7,3,11,3,2018-01-29 00:57:30.197826,received
6,2018-01-29 00:57:30.189457,,,,,,f,,3,8,3,11,3,2018-01-29 00:57:30.197867,received
7,2018-01-29 00:57:47.134675,,,,,,f,,4,10,4,12,4,2018-01-29 00:57:47.21248,received
8,2018-01-29 00:57:47.197029,,,,,,f,,4,11,4,12,4,2018-01-29 00:57:47.212565,received
9,2018-01-29 00:58:05.199325,,,,,,f,,5,13,6,13,6,2018-01-29 00:58:05.265295,received
10,2018-01-29 00:58:05.255138,,,,,,f,,5,14,6,13,6,2018-01-29 00:58:05.265454,received
11,2018-01-29 00:58:20.316849,,,,,,f,,6,16,7,14,7,2018-01-29 00:58:20.354239,received
12,2018-01-29 00:58:20.347599,,,,,,f,,6,17,7,14,7,2018-01-29 00:58:20.354291,received
13,2018-01-29 00:58:35.191497,,,,,,f,,7,19,5,15,5,2018-01-29 00:58:35.23583,received
14,2018-01-29 00:58:35.227747,,,,,,f,,7,20,5,15,5,2018-01-29 00:58:35.235886,received
15,2018-01-29 00:58:50.47674,,,,,,f,,8,22,8,16,8,2018-01-29 00:58:50.514838,received
16,2018-01-29 00:58:50.508684,,,,,,f,,8,23,8,16,8,2018-01-29 00:58:50.51489,received
19,2018-01-29 01:01:11.634971,,,,,,f,,1,26,1,9,1,,pending
17,2018-01-29 01:01:11.58318,,,,,,f,,9,25,1,17,1,2018-01-29 01:01:11.648307,received
18,2018-01-29 01:01:11.632295,,,,,,f,,9,26,1,17,1,2018-01-29 01:01:11.648365,received
22,2018-01-29 01:01:59.730789,,,,,,f,,2,29,2,10,2,,pending
20,2018-01-29 01:01:59.664349,,,,,,f,,10,28,2,18,2,2018-01-29 01:01:59.741556,received
21,2018-01-29 01:01:59.728742,,,,,,f,,10,29,2,18,2,2018-01-29 01:01:59.74164,received
24,2018-01-29 01:02:22.130404,,,,,,f,,3,32,3,11,3,,pending
23,2018-01-29 01:02:22.106822,,,,,,f,,11,31,3,19,3,2018-01-29 01:02:22.136659,received
25,2018-01-29 01:02:22.132102,,,,,,f,,11,32,3,19,3,2018-01-29 01:02:22.136694,received
28,2018-01-29 01:02:37.516871,,,,,,f,,4,35,4,12,4,,pending
26,2018-01-29 01:02:37.353382,,,,,,f,,12,34,4,20,4,2018-01-29 01:02:37.53672,received
27,2018-01-29 01:02:37.514239,,,,,,f,,12,35,4,20,4,2018-01-29 01:02:37.536853,received
30,2018-01-29 01:02:53.093022,,,,,,f,,6,38,7,14,7,,pending
29,2018-01-29 01:02:53.06097,,,,,,f,,13,37,7,21,7,2018-01-29 01:02:53.10278,received
31,2018-01-29 01:02:53.094981,,,,,,f,,13,38,7,21,7,2018-01-29 01:02:53.10284,received
34,2018-01-29 01:03:07.178856,,,,,,f,,5,41,6,13,6,,pending
