id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
31,2018-01-20 17:08:42.775275,,,,,,f,,participant,31,3B837J3LDPPM6IP5PR0MX50ILNUSRX,31:3B837J3LDPPM6IP5PR0MX50ILNUSRX,356TQKY9XFQRIVSNCDR9NDDWADH87I,live,2018-01-20 17:20:49.125559,1.8,0,approved
3,2018-01-20 07:52:13.052956,,,,,,f,,participant,3,33OOO72IVIEJFGD1WUFHIFXIN4NTCX,3:33OOO72IVIEJFGD1WUFHIFXIN4NTCX,30Z7M1Q8UYD91XQLJG3TX4FMBLJ8A5,live,2018-01-20 07:55:56.763151,1.8,0,approved
4,2018-01-20 08:28:38.100691,,,,,,f,,participant,4,3R08VXYT7DO5VGMZ0ICHPDC3QNF7W9,4:3R08VXYT7DO5VGMZ0ICHPDC3QNF7W9,3A3KKYU7P3ALTZVSEM94KBD8N9AWMR,live,2018-01-20 08:32:09.993889,,,returned
34,2018-01-20 17:54:45.964761,,,,,,f,,participant,34,3NPI0JQDAPY295M51Z1N2FWPMOMPTT,34:3NPI0JQDAPY295M51Z1N2FWPMOMPTT,3C8QQOM6JPUJMMT2PT4AJ7PB8TRIL9,live,2018-01-20 18:06:43.79818,1.8,0,approved
33,2018-01-20 17:27:52.390054,,,,,,f,,participant,33,3YMU66OBIO16RJ2BYMUBUNF9A34HG7,33:3YMU66OBIO16RJ2BYMUBUNF9A34HG7,3MJ28H2Y1E1FGJ1KV118MFP0YCQ5O3,live,2018-01-20 17:34:12.597289,1.8,0,approved
5,2018-01-20 08:33:36.601977,,,,,,f,,participant,5,3OWEPKL08A5F8MDL8HLUTUZCXBB7NI,5:3OWEPKL08A5F8MDL8HLUTUZCXBB7NI,3A3KKYU7P3ALTZVSEM94KBD8N9AWMR,live,2018-01-20 08:39:15.961098,1.8,0,approved
13,2018-01-20 10:57:55.541269,,,,,,f,,participant,13,37QW5D2ZRHFGODA9QIUM6O5DVUR8SK,13:37QW5D2ZRHFGODA9QIUM6O5DVUR8SK,3CZH926SIC7B89KVNIF2CBP8UEL4EP,live,2018-01-20 11:00:32.771121,1.8,0,approved
6,2018-01-20 08:40:08.912762,,,,,,f,,participant,6,37QW5D2ZRHFGODA9QIUM6O5DVUPS82,6:37QW5D2ZRHFGODA9QIUM6O5DVUPS82,34YWR3PJ2833FLTBZMISOXK2T8FX0A,live,2018-01-20 08:47:42.676179,1.8,0,approved
8,2018-01-20 08:50:15.956337,,,,,,f,,participant,8,3WYGZ5XF3X80JECAZ7RPWTE4QUJSKL,8:3WYGZ5XF3X80JECAZ7RPWTE4QUJSKL,3W1K7D6QSBAT43W0YK325ZWWSCBBZ8,live,2018-01-20 08:57:43.181527,1.8,0,approved
19,2018-01-20 13:16:02.609079,,,,,,f,,participant,19,33NF62TLXKV7KBTKCDIB4SNHUBAKJ1,19:33NF62TLXKV7KBTKCDIB4SNHUBAKJ1,3UY4PIS8QREYAG0PTZZJ40CEWMCN1K,live,2018-01-20 13:19:52.022456,1.8,0,approved
