id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
9,2018-01-29 04:44:51.865911,,,,,,f,,participant,9,3YDGXNSEO0NXMS8Y0HY48LP7HVM485,9:3YDGXNSEO0NXMS8Y0HY48LP7HVM485,3JMNNNO3B1XVMVRZ44QK52ZAH8ZW2E,live,2018-01-29 04:53:34.271613,1.8,0,approved
1,2018-01-29 02:06:29.334053,,,,,,f,,participant,1,32M8BPYGAUF6NEDV44CWUZGOAWSGI4,1:32M8BPYGAUF6NEDV44CWUZGOAWSGI4,3RHLQY6EDTX6G36VRN4I6T7NU6OD4H,live,2018-01-29 02:11:14.838191,1.8,0,approved
29,2018-01-29 12:46:56.033557,,,,,,f,,participant,29,3ZAK8W07I57EL1XAKJC7SAHJYBBU0B,29:3ZAK8W07I57EL1XAKJC7SAHJYBBU0B,3EKTG13IZUW5I5JTA822B0WSP7KMLC,live,2018-01-29 12:53:53.620529,1.8,0,approved
2,2018-01-29 02:17:23.128822,,,,,,f,,participant,2,3LEIZ60CDKSD3UFXQ2U82DXR2WZ9Z3,2:3LEIZ60CDKSD3UFXQ2U82DXR2WZ9Z3,3GONHBMNHVRPNU0XP9TBJF7Q4FKMZL,live,2018-01-29 02:36:41.527435,1.8,0,approved
16,2018-01-29 09:45:29.588882,,,,,,f,,participant,16,3JJVG1YBECQYK9A5HY1O4FLMPXA5BI,16:3JJVG1YBECQYK9A5HY1O4FLMPXA5BI,3QI9WAYOGQ4QXFTR71SMYQD1R066SR,live,2018-01-29 09:53:11.614685,1.8,0,approved
3,2018-01-29 02:38:54.896338,,,,,,f,,participant,3,3B1NLC6UG0PY400ZHZ2G3WH0WAOGPH,3:3B1NLC6UG0PY400ZHZ2G3WH0WAOGPH,32PT7WK7DM8LY7NRR9ZZWOFHG6TD3X,live,2018-01-29 02:45:55.350967,1.8,0,approved
30,2018-01-29 14:16:49.986238,,,,,,f,,participant,30,3SEPORI8WOSR8DP2I888Y88B9F3ZAX,30:3SEPORI8WOSR8DP2I888Y88B9F3ZAX,3X2YVV51PUXOXA93L0Q60JP5P3U1WD,live,2018-01-29 14:24:38.269437,1.8,0,approved
31,2018-01-29 15:29:13.819532,,,,,,f,,participant,31,3X3OR7WPZ0TTK0FJ69XLU2RI4I08LO,31:3X3OR7WPZ0TTK0FJ69XLU2RI4I08LO,3QXFBUZ4ZK989LA18JW8PI8E6C2UG7,live,2018-01-29 15:33:02.335052,1.8,0,approved
4,2018-01-29 03:12:12.82779,,,,,,f,,participant,4,3JJVG1YBECQYK9A5HY1O4FLMPXV5B3,4:3JJVG1YBECQYK9A5HY1O4FLMPXV5B3,362E9TQF2HJ30UF1E27U6FK3CG6IGC,live,2018-01-29 03:15:14.369066,1.8,0,approved
10,2018-01-29 05:02:15.691951,,,,,,f,,participant,10,36WLNQG7803YGS3YSZUR89RZ2Q1EBK,10:36WLNQG7803YGS3YSZUR89RZ2Q1EBK,32CAVSKPCEIB56KYQ0B5IV484MAU1W,live,2018-01-29 05:16:25.068288,1.8,0,approved
5,2018-01-29 03:17:48.165717,,,,,,f,,participant,5,37UQDCYH6YOSGRMUA87L3BTPJV77VR,5:37UQDCYH6YOSGRMUA87L3BTPJV77VR,3VDI8GSXAFMABO3O5GV3TQQP9K1G82,live,2018-01-29 03:23:19.143037,1.8,0,approved
32,2018-01-29 15:38:30.170974,,,,,,f,,participant,32,392CY0QWG2KQBYKB93AVLAJLLSA4IZ,32:392CY0QWG2KQBYKB93AVLAJLLSA4IZ,3D1TUISJWITM5CGWY7WBAULULPVUI0,live,2018-01-29 15:46:09.978678,1.8,0,approved
