id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
1,2018-01-29 02:10:42.225023,,,,,,f,,question,1,1,time,10
2,2018-01-29 02:10:42.290279,,,,,,f,,question,1,2,multi-confusing,It was impossible to know which parts had a greater or smaller likelihood of failing. I had no idea what I was doing.
3,2018-01-29 02:10:42.357523,,,,,,f,,question,1,3,"",""
4,2018-01-29 02:10:42.423724,,,,,,f,,question,1,4,"",""
5,2018-01-29 02:36:27.364526,,,,,,f,,question,2,1,time,7
6,2018-01-29 02:36:27.456485,,,,,,f,,question,2,2,multi-confusing,no
7,2018-01-29 02:36:27.550851,,,,,,f,,question,2,3,"",""
8,2018-01-29 02:36:27.661546,,,,,,f,,question,2,4,"",""
9,2018-01-29 02:45:44.797819,,,,,,f,,question,3,1,time,12
10,2018-01-29 02:45:44.998023,,,,,,f,,question,3,2,multi-confusing,nope
11,2018-01-29 02:45:45.140343,,,,,,f,,question,3,3,"",""
12,2018-01-29 02:45:45.420386,,,,,,f,,question,3,4,"",""
13,2018-01-29 03:14:58.006729,,,,,,f,,question,4,1,time,7
14,2018-01-29 03:14:58.102622,,,,,,f,,question,4,2,multi-confusing,""
15,2018-01-29 03:14:58.20766,,,,,,f,,question,4,3,"",""
16,2018-01-29 03:14:58.304687,,,,,,f,,question,4,4,"",""
17,2018-01-29 03:22:47.934561,,,,,,f,,question,5,1,time,12
18,2018-01-29 03:22:48.017084,,,,,,f,,question,5,2,multi-confusing,Most of it. How was i supposed to know what parts were good or bad? It seemed like each round had completely different parts?
19,2018-01-29 03:22:48.098682,,,,,,f,,question,5,3,"",""
20,2018-01-29 03:22:48.181825,,,,,,f,,question,5,4,"",""
21,2018-01-29 03:36:27.692495,,,,,,f,,question,6,1,time,5
22,2018-01-29 03:36:27.827892,,,,,,f,,question,6,2,multi-confusing,"use of red and green colors. couldn't tell what was going on. even if I wasn't red-green colorblind, parts too small to see. Picked stuff at random."
23,2018-01-29 03:36:27.903028,,,,,,f,,question,6,3,"",""
24,2018-01-29 03:36:27.980857,,,,,,f,,question,6,4,"",""
25,2018-01-29 04:19:56.321775,,,,,,f,,question,7,1,time,12
26,2018-01-29 04:19:56.494844,,,,,,f,,question,7,2,multi-confusing,"i found this hit to be really fun, it felt like a game instead of a chore"
27,2018-01-29 04:19:56.609875,,,,,,f,,question,7,3,"",""
28,2018-01-29 04:19:56.712708,,,,,,f,,question,7,4,"",""
29,2018-01-29 04:37:22.781328,,,,,,f,,question,8,1,time,5
30,2018-01-29 04:37:22.879209,,,,,,f,,question,8,2,multi-confusing,no 
